Date,Closing price
31/05/2022,29650.0
30/05/2022,29950.0
27/05/2022,29600.0
26/05/2022,28900.0
25/05/2022,29500.0
24/05/2022,29200.0
23/05/2022,29150.0
20/05/2022,28700.0
19/05/2022,28200.0
18/05/2022,28000.0
17/05/2022,27800.0
16/05/2022,27450.0
13/05/2022,28850.0
12/05/2022,31000.0
11/05/2022,32900.0
10/05/2022,33500.0
09/05/2022,32650.0
06/05/2022,35100.0
05/05/2022,35500.0
04/05/2022,35800.0
29/04/2022,36000.0
28/04/2022,35100.0
27/04/2022,35500.0
26/04/2022,35200.0
25/04/2022,35000.0
22/04/2022,37500.0
21/04/2022,37600.0
20/04/2022,37300.0
19/04/2022,37000.0
18/04/2022,38200.0
15/04/2022,38400.0
14/04/2022,38150.0
13/04/2022,37900.0
12/04/2022,37200.0
08/04/2022,37300.0
07/04/2022,37400.0
06/04/2022,37400.0
05/04/2022,37100.0
04/04/2022,36800.0
01/04/2022,36800.0
31/03/2022,36950.0
30/03/2022,36500.0
29/03/2022,36800.0
28/03/2022,36950.0
25/03/2022,36950.0
24/03/2022,36300.0
23/03/2022,35600.0
22/03/2022,35450.0
21/03/2022,35700.0
18/03/2022,35900.0
17/03/2022,36150.0
16/03/2022,36000.0
15/03/2022,33800.0
14/03/2022,33450.0
11/03/2022,33900.0
10/03/2022,33900.0
09/03/2022,33300.0
08/03/2022,33400.0
07/03/2022,33900.0
04/03/2022,33400.0
03/03/2022,32750.0
02/03/2022,32800.0
01/03/2022,32549.999999999996
28/02/2022,32299.999999999996
25/02/2022,32299.999999999996
24/02/2022,31900.0
23/02/2022,30800.0
22/02/2022,30700.0
21/02/2022,31600.0
18/02/2022,31450.0
17/02/2022,31700.0
16/02/2022,31500.0
15/02/2022,30900.0
14/02/2022,28900.0
11/02/2022,28800.0
10/02/2022,28900.0
09/02/2022,29000.0
08/02/2022,29200.0
07/02/2022,28800.0
28/01/2022,29000.0
27/01/2022,28350.0
26/01/2022,28400.0
25/01/2022,27950.0
24/01/2022,27000.0
21/01/2022,27850.0
20/01/2022,27800.0
19/01/2022,27400.0
18/01/2022,28500.0
17/01/2022,29100.0
14/01/2022,31150.0
13/01/2022,30750.0
12/01/2022,32000.0
11/01/2022,31350.0
10/01/2022,33150.0
07/01/2022,35600.0
06/01/2022,35750.0
05/01/2022,36000.0
