Date,Closing price
31/05/2022,13050.0
30/05/2022,13300.0
27/05/2022,13100.0
26/05/2022,13150.0
25/05/2022,12800.0
24/05/2022,12300.0
23/05/2022,12200.0
20/05/2022,12700.0
19/05/2022,12650.0
18/05/2022,12650.0
17/05/2022,12500.0
16/05/2022,11700.0
13/05/2022,11600.0
12/05/2022,12450.0
11/05/2022,13350.0
10/05/2022,13500.0
09/05/2022,12850.0
06/05/2022,13800.0
05/05/2022,14800.0
04/05/2022,14950.0
29/04/2022,15300.0
28/04/2022,15200.0
27/04/2022,15100.0
26/04/2022,14800.0
25/04/2022,14450.0
22/04/2022,15500.0
21/04/2022,15600.0
20/04/2022,15600.0
19/04/2022,15650.0
18/04/2022,16700.0
15/04/2022,17950.0
14/04/2022,18700.0
13/04/2022,19000.0
12/04/2022,18500.0
08/04/2022,19750.0
07/04/2022,20200.0
06/04/2022,20750.0
05/04/2022,20800.0
04/04/2022,21400.0
01/04/2022,20000.0
31/03/2022,19850.0
30/03/2022,19900.0
29/03/2022,20100.0
28/03/2022,20000.0
25/03/2022,20350.0
24/03/2022,20500.0
23/03/2022,20700.0
22/03/2022,20650.0
21/03/2022,20500.0
18/03/2022,20300.0
17/03/2022,20300.0
16/03/2022,20050.0
15/03/2022,19950.0
14/03/2022,19850.0
11/03/2022,20700.0
10/03/2022,21300.0
09/03/2022,21200.0
08/03/2022,21250.0
07/03/2022,21500.0
04/03/2022,21850.0
03/03/2022,21450.0
02/03/2022,21050.0
01/03/2022,21300.0
28/02/2022,21100.0
25/02/2022,21300.0
24/02/2022,20600.0
23/02/2022,21150.0
22/02/2022,20850.0
21/02/2022,21450.0
18/02/2022,20700.0
17/02/2022,20350.0
16/02/2022,20100.0
15/02/2022,19900.0
14/02/2022,19800.0
11/02/2022,20600.0
10/02/2022,20600.0
09/02/2022,20700.0
08/02/2022,20250.0
07/02/2022,20200.0
28/01/2022,19100.0
27/01/2022,19000.0
26/01/2022,18850.0
25/01/2022,19200.0
24/01/2022,19700.0
21/01/2022,21150.0
20/01/2022,21500.0
19/01/2022,21000.0
18/01/2022,20400.0
17/01/2022,21900.0
14/01/2022,23500.0
13/01/2022,23650.0
12/01/2022,24500.0
11/01/2022,23600.0
10/01/2022,24000.0
07/01/2022,25100.0
06/01/2022,24850.0
05/01/2022,25200.0
04/01/2022,25500.0
31/12/2021,25500.0
30/12/2021,25650.0
29/12/2021,24000.0
28/12/2021,23000.0
27/12/2021,23200.0
24/12/2021,23300.0
23/12/2021,22900.0
22/12/2021,24000.0
21/12/2021,24400.0
20/12/2021,25000.0
17/12/2021,24600.0
16/12/2021,23400.0
15/12/2021,23900.0
14/12/2021,24400.0
13/12/2021,24700.0
10/12/2021,24400.0
09/12/2021,25000.0
08/12/2021,24550.0
07/12/2021,24500.0
06/12/2021,23500.0
03/12/2021,25250.0
02/12/2021,27100.0
01/12/2021,27700.0
30/11/2021,27700.0
29/11/2021,26950.0
26/11/2021,26050.0
25/11/2021,26800.0
24/11/2021,26300.0
23/11/2021,25650.0
22/11/2021,24000.0
19/11/2021,25000.0
18/11/2021,25750.0
17/11/2021,24100.0
16/11/2021,23050.0
15/11/2021,22200.0
12/11/2021,20750.0
11/11/2021,19400.0
10/11/2021,19400.0
09/11/2021,19350.0
08/11/2021,19750.0
05/11/2021,19200.0
04/11/2021,19300.0
03/11/2021,18200.0
02/11/2021,19050.0
01/11/2021,18500.0
29/10/2021,17500.0
28/10/2021,17450.0
27/10/2021,17200.0
26/10/2021,16850.0
25/10/2021,16800.0
22/10/2021,16700.0
21/10/2021,16900.0
20/10/2021,16900.0
19/10/2021,16950.0
18/10/2021,17100.0
15/10/2021,17500.0
14/10/2021,17500.0
13/10/2021,17200.0
12/10/2021,17450.0
11/10/2021,17050.0
08/10/2021,16700.0
07/10/2021,16800.0
06/10/2021,16750.0
05/10/2021,16900.0
04/10/2021,15850.0
01/10/2021,16050.0
30/09/2021,16200.0
29/09/2021,16300.0
28/09/2021,16450.0
27/09/2021,16000.0
24/09/2021,16800.0
23/09/2021,17000.0
22/09/2021,17000.0
21/09/2021,16650.0
20/09/2021,17000.0
17/09/2021,17100.0
16/09/2021,16450.0
15/09/2021,16500.0
14/09/2021,16250.0
13/09/2021,16750.0
10/09/2021,17150.0
09/09/2021,17300.0
08/09/2021,17150.0
07/09/2021,17450.0
06/09/2021,17900.0
01/09/2021,16750.0
31/08/2021,16500.0
30/08/2021,16800.0
27/08/2021,16600.0
26/08/2021,16149.999999999998
25/08/2021,16500.0
24/08/2021,16300.0
23/08/2021,17200.0
20/08/2021,16100.000000000002
19/08/2021,15950.0
18/08/2021,15000.0
17/08/2021,14900.0
16/08/2021,15300.0
13/08/2021,14300.0
12/08/2021,14000.0
11/08/2021,14200.0
10/08/2021,14400.0
09/08/2021,14400.0
06/08/2021,14050.0
05/08/2021,14400.0
04/08/2021,14200.0
03/08/2021,14000.0
02/08/2021,13300.0
30/07/2021,13300.0
29/07/2021,13150.0
28/07/2021,12300.0
27/07/2021,12300.0
26/07/2021,12150.0
23/07/2021,12200.0
22/07/2021,12500.0
21/07/2021,12400.0
20/07/2021,12700.0
19/07/2021,11900.0
16/07/2021,12750.0
15/07/2021,13100.0
14/07/2021,12300.0
13/07/2021,12800.0
12/07/2021,12600.0
09/07/2021,13500.0
08/07/2021,14500.0
07/07/2021,14750.0
06/07/2021,15100.0
05/07/2021,16200.0
02/07/2021,15750.0
01/07/2021,14750.0
30/06/2021,13800.0
29/06/2021,14150.0
28/06/2021,14000.0
25/06/2021,14200.0
24/06/2021,13450.0
23/06/2021,13450.0
22/06/2021,13300.0
21/06/2021,13250.0
18/06/2021,13550.0
17/06/2021,13500.0
16/06/2021,13500.0
15/06/2021,13900.0
14/06/2021,13950.0
11/06/2021,13250.0
10/06/2021,13100.0
09/06/2021,13550.0
08/06/2021,13050.0
