Date,Closing price
31/05/2022,3840.0
30/05/2022,3930.0
27/05/2022,3680.0
26/05/2022,3560.0
25/05/2022,3820.0
24/05/2022,3820.0
23/05/2022,3900.0
20/05/2022,3930.0
19/05/2022,3950.0
18/05/2022,3990.0
17/05/2022,4050.0
16/05/2022,3810.0
13/05/2022,3740.0
12/05/2022,4019.9999999999995
11/05/2022,4320.0
10/05/2022,4150.0
09/05/2022,3970.0
06/05/2022,4260.0
05/05/2022,4400.0
04/05/2022,4600.0
29/04/2022,4940.0
28/04/2022,4620.0
27/04/2022,4440.0
26/04/2022,4170.0
25/04/2022,3900.0
22/04/2022,3810.0
21/04/2022,3570.0
20/04/2022,3830.0
19/04/2022,4110.0
18/04/2022,4410.0
15/04/2022,4740.0
14/04/2022,5090.0
13/04/2022,4960.0
12/04/2022,4870.0
08/04/2022,5230.0
07/04/2022,5450.0
06/04/2022,5420.0
05/04/2022,5800.0
04/04/2022,6130.0
01/04/2022,5730.0
31/03/2022,5360.0
30/03/2022,5760.0
29/03/2022,6190.0
28/03/2022,6650.0
25/03/2022,7150.0
24/03/2022,7100.0
23/03/2022,7110.0
22/03/2022,7150.0
21/03/2022,7150.0
18/03/2022,7030.0
17/03/2022,7110.0
16/03/2022,6870.0
15/03/2022,6550.0
14/03/2022,6450.0
11/03/2022,6800.0
10/03/2022,6990.0
09/03/2022,6870.0
08/03/2022,7080.0
07/03/2022,6770.0
04/03/2022,6330.0
03/03/2022,6250.0
02/03/2022,6240.0
01/03/2022,6250.0
28/02/2022,6110.0
25/02/2022,6110.0
24/02/2022,6010.0
23/02/2022,6280.0
22/02/2022,6280.0
21/02/2022,6320.0
18/02/2022,6130.0
17/02/2022,6110.0
16/02/2022,6190.0
15/02/2022,5820.0
14/02/2022,5800.0
11/02/2022,5890.0
10/02/2022,6030.0
09/02/2022,5980.0
08/02/2022,5950.0
07/02/2022,5770.0
28/01/2022,5400.0
27/01/2022,5200.0
26/01/2022,5200.0
25/01/2022,5570.0
24/01/2022,5980.0
21/01/2022,6420.0
20/01/2022,6000.0
19/01/2022,6220.0
18/01/2022,6680.0
17/01/2022,7180.0
14/01/2022,7710.0
13/01/2022,8290.0
12/01/2022,8910.0
11/01/2022,9580.0
10/01/2022,10300.0
07/01/2022,10250.0
06/01/2022,9580.0
05/01/2022,8960.0
04/01/2022,8600.0
31/12/2021,8200.0
30/12/2021,8370.0
29/12/2021,8510.0
28/12/2021,8650.0
27/12/2021,8470.0
24/12/2021,8130.000000000001
23/12/2021,8380.0
22/12/2021,9000.0
21/12/2021,8600.0
20/12/2021,8250.0
17/12/2021,8150.0
16/12/2021,8430.0
15/12/2021,7880.0
14/12/2021,7470.0
13/12/2021,7440.0
10/12/2021,6970.0
09/12/2021,6730.0
08/12/2021,6620.0
07/12/2021,6400.0
06/12/2021,6310.0
03/12/2021,6550.0
02/12/2021,6560.0
01/12/2021,6540.0
30/11/2021,6120.0
29/11/2021,6040.0
26/11/2021,6030.0
25/11/2021,6150.0
24/11/2021,6030.0
23/11/2021,6070.0
22/11/2021,6120.0
19/11/2021,6580.0
18/11/2021,6800.0
17/11/2021,6590.0
16/11/2021,6560.0
15/11/2021,7050.0
12/11/2021,6600.0
11/11/2021,6380.0
10/11/2021,6090.0
09/11/2021,6160.0
08/11/2021,6090.0
05/11/2021,5700.0
04/11/2021,5330.0
03/11/2021,5310.0
02/11/2021,5430.0
01/11/2021,5400.0
29/10/2021,5190.0
28/10/2021,5220.0
27/10/2021,5280.0
26/10/2021,5280.0
25/10/2021,5150.0
22/10/2021,5180.0
21/10/2021,5300.0
20/10/2021,5060.0
19/10/2021,4940.0
18/10/2021,4950.0
15/10/2021,4960.0
14/10/2021,4990.0
13/10/2021,4920.0
12/10/2021,4980.0
11/10/2021,5060.0
08/10/2021,4970.0
07/10/2021,4910.0
06/10/2021,4880.0
05/10/2021,4840.0
04/10/2021,4980.0
01/10/2021,4710.0
30/09/2021,4800.0
29/09/2021,4770.0
28/09/2021,4890.0
27/09/2021,4910.0
24/09/2021,5240.0
23/09/2021,5270.0
22/09/2021,5470.0
21/09/2021,5120.0
20/09/2021,5120.0
17/09/2021,5070.0
16/09/2021,5260.0
15/09/2021,5000.0
14/09/2021,5080.0
13/09/2021,4750.0
10/09/2021,4510.0
09/09/2021,4420.0
08/09/2021,4400.0
07/09/2021,4400.0
06/09/2021,4650.0
01/09/2021,4350.0
31/08/2021,4400.0
30/08/2021,4300.0
27/08/2021,4170.0
26/08/2021,4160.0
25/08/2021,4110.0
24/08/2021,4110.0
23/08/2021,4200.0
20/08/2021,4160.0
19/08/2021,4430.0
18/08/2021,4500.0
17/08/2021,4560.0
16/08/2021,4630.0
13/08/2021,4670.0
12/08/2021,4680.0
11/08/2021,4500.0
10/08/2021,4470.0
09/08/2021,4550.0
06/08/2021,4510.0
05/08/2021,4800.0
04/08/2021,4680.0
03/08/2021,4380.0
02/08/2021,4100.0
30/07/2021,4010.0
29/07/2021,4000.0
28/07/2021,3970.0
27/07/2021,3970.0
26/07/2021,3940.0
23/07/2021,3930.0
22/07/2021,3990.0
21/07/2021,3950.0
20/07/2021,4059.9999999999995
19/07/2021,3830.0
16/07/2021,4110.0
15/07/2021,4270.0
14/07/2021,4280.0
13/07/2021,4030.0000000000005
12/07/2021,3770.0
09/07/2021,4050.0
08/07/2021,4350.0
07/07/2021,4290.0
06/07/2021,4600.0
05/07/2021,4860.0
02/07/2021,5100.0
01/07/2021,5260.0
30/06/2021,5320.0
29/06/2021,5300.0
28/06/2021,5300.0
25/06/2021,5340.0
24/06/2021,5370.0
23/06/2021,5390.0
22/06/2021,5470.0
21/06/2021,5430.0
18/06/2021,5580.0
17/06/2021,5690.0
16/06/2021,5370.0
15/06/2021,5260.0
14/06/2021,5400.0
11/06/2021,5500.0
10/06/2021,5420.0
09/06/2021,5430.0
08/06/2021,5470.0
07/06/2021,5510.0
04/06/2021,5820.0
03/06/2021,5990.0
02/06/2021,5690.0
01/06/2021,5430.0
31/05/2021,5550.0
28/05/2021,5750.0
27/05/2021,5400.0
26/05/2021,5680.0
25/05/2021,6100.0
24/05/2021,6290.0
21/05/2021,6330.0
20/05/2021,6220.0
19/05/2021,6600.0
18/05/2021,6600.0
17/05/2021,7000.0
14/05/2021,6750.0
13/05/2021,6700.0
12/05/2021,6750.0
11/05/2021,6600.0
10/05/2021,6870.0
07/05/2021,7380.0
06/05/2021,7010.0
05/05/2021,7520.0
04/05/2021,7030.0
29/04/2021,7000.0
28/04/2021,7240.0
27/04/2021,6770.0
26/04/2021,7260.0
23/04/2021,7800.0
22/04/2021,7430.0
20/04/2021,6950.0
19/04/2021,6500.0
16/04/2021,6580.0
15/04/2021,6350.0
14/04/2021,5940.0
13/04/2021,5560.0
12/04/2021,5240.0
09/04/2021,4900.0
08/04/2021,4580.0
07/04/2021,4770.0
06/04/2021,4480.0
05/04/2021,4190.0
02/04/2021,3920.0
01/04/2021,3850.0
31/03/2021,4019.9999999999995
30/03/2021,4030.0000000000005
29/03/2021,3770.0
26/03/2021,3530.0
25/03/2021,3530.0
24/03/2021,3590.0
23/03/2021,3700.0
22/03/2021,3670.0
19/03/2021,3450.0
18/03/2021,3300.0
17/03/2021,3260.0
16/03/2021,3370.0
15/03/2021,3480.0
12/03/2021,3260.0
11/03/2021,3240.0
10/03/2021,3290.0
09/03/2021,3250.0
08/03/2021,3170.0
05/03/2021,3170.0
04/03/2021,3170.0
03/03/2021,3200.0
02/03/2021,3150.0
01/03/2021,3150.0
26/02/2021,3100.0
25/02/2021,3120.0
24/02/2021,3150.0
23/02/2021,3250.0
22/02/2021,3040.0
19/02/2021,2990.0
18/02/2021,3000.0
17/02/2021,3010.0
09/02/2021,2850.0
08/02/2021,2800.0
05/02/2021,2990.0
04/02/2021,2930.0
03/02/2021,2870.0
02/02/2021,2870.0
01/02/2021,2790.0
29/01/2021,2900.0
28/01/2021,3060.0
27/01/2021,3290.0
26/01/2021,3300.0
25/01/2021,3540.0
22/01/2021,3550.0
21/01/2021,3540.0
20/01/2021,3310.0
19/01/2021,3440.0
18/01/2021,3690.0
15/01/2021,3450.0
14/01/2021,3230.0
13/01/2021,3240.0
12/01/2021,3330.0
11/01/2021,3210.0
08/01/2021,3000.0
07/01/2021,2880.0
06/01/2021,2800.0
05/01/2021,2830.0
04/01/2021,2870.0
31/12/2020,2860.0
30/12/2020,2820.0
29/12/2020,2760.0
28/12/2020,2750.0
25/12/2020,2780.0
24/12/2020,2740.0
23/12/2020,2830.0
22/12/2020,2850.0
21/12/2020,2670.0
18/12/2020,2670.0
17/12/2020,2680.0
16/12/2020,2690.0
15/12/2020,2680.0
14/12/2020,2660.0
11/12/2020,2660.0
10/12/2020,2680.0
09/12/2020,2710.0
08/12/2020,2690.0
07/12/2020,2670.0
04/12/2020,2670.0
03/12/2020,2680.0
02/12/2020,2640.0
01/12/2020,2640.0
30/11/2020,2670.0
27/11/2020,2670.0
26/11/2020,2640.0
25/11/2020,2650.0
24/11/2020,2660.0
23/11/2020,2690.0
20/11/2020,2670.0
19/11/2020,2680.0
18/11/2020,2700.0
17/11/2020,2710.0
16/11/2020,2720.0
13/11/2020,2750.0
12/11/2020,2700.0
11/11/2020,2730.0
10/11/2020,2730.0
09/11/2020,2750.0
06/11/2020,2780.0
05/11/2020,2740.0
04/11/2020,2780.0
03/11/2020,2780.0
02/11/2020,2840.0
30/10/2020,2710.0
29/10/2020,2710.0
28/10/2020,2720.0
27/10/2020,2720.0
26/10/2020,2810.0
23/10/2020,3020.0
22/10/2020,2830.0
21/10/2020,2750.0
20/10/2020,2690.0
19/10/2020,2660.0
16/10/2020,2670.0
15/10/2020,2710.0
14/10/2020,2750.0
13/10/2020,2740.0
12/10/2020,2750.0
09/10/2020,2690.0
08/10/2020,2800.0
07/10/2020,2900.0
06/10/2020,2810.0
05/10/2020,2630.0
02/10/2020,2570.0
01/10/2020,2590.0
30/09/2020,2600.0
29/09/2020,2600.0
28/09/2020,2630.0
25/09/2020,2560.0
24/09/2020,2570.0
23/09/2020,2590.0
22/09/2020,2550.0
21/09/2020,2580.0
18/09/2020,2580.0
17/09/2020,2590.0
16/09/2020,2610.0
15/09/2020,2600.0
14/09/2020,2630.0
11/09/2020,2620.0
10/09/2020,2600.0
09/09/2020,2590.0
08/09/2020,2570.0
07/09/2020,2550.0
04/09/2020,2600.0
03/09/2020,2640.0
01/09/2020,2650.0
31/08/2020,2580.0
28/08/2020,2600.0
27/08/2020,2590.0
26/08/2020,2570.0
25/08/2020,2620.0
24/08/2020,2630.0
21/08/2020,2620.0
20/08/2020,2540.0
19/08/2020,2560.0
18/08/2020,2570.0
17/08/2020,2580.0
14/08/2020,2590.0
13/08/2020,2600.0
12/08/2020,2570.0
11/08/2020,2600.0
10/08/2020,2640.0
07/08/2020,2540.0
06/08/2020,2440.0
05/08/2020,2540.0
04/08/2020,2560.0
03/08/2020,2400.0
31/07/2020,2250.0
30/07/2020,2410.0
29/07/2020,2420.0
28/07/2020,2600.0
27/07/2020,2490.0
24/07/2020,2670.0
23/07/2020,2870.0
22/07/2020,2990.0
21/07/2020,3050.0
20/07/2020,3000.0
17/07/2020,3100.0
16/07/2020,3140.0
15/07/2020,3160.0
14/07/2020,3200.0
13/07/2020,3190.0
10/07/2020,3180.0
09/07/2020,3260.0
08/07/2020,3050.0
07/07/2020,3060.0
06/07/2020,3090.0
03/07/2020,3090.0
02/07/2020,3050.0
01/07/2020,3200.0
30/06/2020,3000.0
29/06/2020,3170.0
26/06/2020,3400.0
25/06/2020,3410.0
24/06/2020,3400.0
23/06/2020,3640.0
22/06/2020,3420.0
19/06/2020,3570.0
18/06/2020,3550.0
17/06/2020,3640.0
16/06/2020,3410.0
15/06/2020,3290.0
12/06/2020,3300.0
11/06/2020,3280.0
10/06/2020,3520.0
09/06/2020,3610.0
08/06/2020,3830.0
05/06/2020,3580.0
04/06/2020,3350.0
03/06/2020,3150.0
02/06/2020,3120.0
01/06/2020,3280.0
29/05/2020,3130.0
28/05/2020,3110.0
27/05/2020,3080.0
26/05/2020,3150.0
25/05/2020,3160.0
22/05/2020,3130.0
21/05/2020,3200.0
20/05/2020,3280.0
19/05/2020,3110.0
18/05/2020,3120.0
15/05/2020,3200.0
14/05/2020,3310.0
13/05/2020,3220.0
12/05/2020,3140.0
11/05/2020,3120.0
08/05/2020,3100.0
07/05/2020,3140.0
06/05/2020,3250.0
05/05/2020,3060.0
04/05/2020,3120.0
29/04/2020,3350.0
28/04/2020,3220.0
27/04/2020,3300.0
24/04/2020,3280.0
23/04/2020,3070.0
22/04/2020,3070.0
21/04/2020,2980.0
20/04/2020,2860.0
17/04/2020,2860.0
