Date,Closing price
31/05/2022,52800.0
30/05/2022,52700.0
27/05/2022,50800.0
26/05/2022,47500.0
25/05/2022,47050.0
24/05/2022,44000.0
23/05/2022,42400.0
20/05/2022,40850.0
19/05/2022,42000.0
18/05/2022,42000.0
17/05/2022,41350.0
16/05/2022,38650.0
13/05/2022,41550.0
12/05/2022,44650.0
11/05/2022,48000.0
10/05/2022,48400.0
09/05/2022,45250.0
06/05/2022,48650.0
05/05/2022,45500.0
04/05/2022,47400.0
29/04/2022,46000.0
28/04/2022,43000.0
27/04/2022,41800.0
26/04/2022,39100.0
25/04/2022,41150.0
22/04/2022,44200.0
21/04/2022,47500.0
20/04/2022,48750.0
19/04/2022,45600.0
18/04/2022,46900.0
15/04/2022,43850.0
14/04/2022,41000.0
13/04/2022,40700.0
12/04/2022,40200.0
08/04/2022,39800.0
07/04/2022,40300.0
06/04/2022,43000.0
05/04/2022,43200.0
04/04/2022,42700.0
01/04/2022,42400.0
31/03/2022,43750.0
30/03/2022,44300.0
29/03/2022,43800.0
28/03/2022,44800.0
25/03/2022,43000.0
24/03/2022,42500.0
23/03/2022,41500.0
22/03/2022,40500.0
21/03/2022,40550.0
18/03/2022,39800.0
17/03/2022,40150.0
16/03/2022,41500.0
15/03/2022,41500.0
14/03/2022,41500.0
11/03/2022,41500.0
10/03/2022,41350.0
09/03/2022,38650.0
08/03/2022,37650.0
07/03/2022,39250.0
04/03/2022,39250.0
03/03/2022,39300.0
02/03/2022,39300.0
01/03/2022,37400.0
28/02/2022,36400.0
25/02/2022,35250.0
24/02/2022,35000.0
23/02/2022,35900.0
22/02/2022,34500.0
21/02/2022,34500.0
18/02/2022,34700.0
17/02/2022,34300.0
16/02/2022,33900.0
15/02/2022,33000.0
14/02/2022,32700.000000000004
11/02/2022,30600.0
10/02/2022,30450.0
09/02/2022,30600.0
08/02/2022,30450.0
07/02/2022,28500.0
28/01/2022,27200.0
27/01/2022,27700.0
26/01/2022,27500.0
25/01/2022,28400.0
24/01/2022,27800.0
21/01/2022,29850.0
20/01/2022,29900.0
19/01/2022,29000.0
18/01/2022,28100.0
17/01/2022,28400.0
14/01/2022,30300.0
13/01/2022,30400.0
12/01/2022,31150.0
11/01/2022,32000.0
10/01/2022,33450.0
07/01/2022,35300.0
06/01/2022,35400.0
05/01/2022,35850.0
04/01/2022,34100.0
31/12/2021,33300.0
30/12/2021,33150.0
29/12/2021,33500.0
28/12/2021,34100.0
27/12/2021,34400.0
24/12/2021,34100.0
23/12/2021,34000.0
22/12/2021,36000.0
21/12/2021,36700.0
20/12/2021,36700.0
17/12/2021,35400.0
16/12/2021,34600.0
15/12/2021,34550.0
14/12/2021,34800.0
13/12/2021,35300.0
10/12/2021,34000.0
09/12/2021,34000.0
08/12/2021,33400.0
07/12/2021,33900.0
06/12/2021,33150.0
03/12/2021,35000.0
02/12/2021,36600.0
01/12/2021,35100.0
30/11/2021,34500.0
29/11/2021,34600.0
26/11/2021,35200.0
25/11/2021,35700.0
24/11/2021,37100.0
23/11/2021,36450.0
22/11/2021,34100.0
19/11/2021,34000.0
18/11/2021,36000.0
17/11/2021,37000.0
16/11/2021,37100.0
15/11/2021,37100.0
12/11/2021,39000.0
11/11/2021,39400.0
10/11/2021,37700.0
09/11/2021,37400.0
08/11/2021,38200.0
05/11/2021,38000.0
04/11/2021,36550.0
03/11/2021,34200.0
02/11/2021,36000.0
01/11/2021,35500.0
29/10/2021,35800.0
28/10/2021,35000.0
27/10/2021,34900.0
26/10/2021,34200.0
25/10/2021,32000.0
22/10/2021,31550.0
21/10/2021,32299.999999999996
20/10/2021,32900.0
19/10/2021,32299.999999999996
18/10/2021,32000.0
15/10/2021,32450.000000000004
14/10/2021,31200.0
13/10/2021,31200.0
12/10/2021,30900.0
11/10/2021,30900.0
08/10/2021,31700.0
07/10/2021,31800.0
06/10/2021,30650.0
05/10/2021,30650.0
04/10/2021,31000.0
01/10/2021,29000.0
30/09/2021,28650.0
29/09/2021,28500.0
28/09/2021,28600.0
27/09/2021,28000.0
24/09/2021,29250.0
23/09/2021,29900.0
22/09/2021,30500.0
21/09/2021,30000.0
20/09/2021,29600.0
17/09/2021,30600.0
16/09/2021,30400.0
15/09/2021,30800.0
14/09/2021,29400.0
13/09/2021,30300.0
10/09/2021,32500.0
09/09/2021,32500.0
08/09/2021,32000.0
07/09/2021,32100.0
06/09/2021,34000.0
01/09/2021,32100.0
31/08/2021,31400.0
30/08/2021,31800.0
27/08/2021,31000.0
26/08/2021,29900.0
25/08/2021,28600.0
24/08/2021,28750.0
23/08/2021,28600.0
20/08/2021,30700.0
19/08/2021,32750.0
18/08/2021,32700.000000000004
17/08/2021,32000.0
16/08/2021,31900.0
13/08/2021,31200.0
12/08/2021,29400.0
11/08/2021,29500.0
10/08/2021,30550.0
09/08/2021,30550.0
06/08/2021,28800.0
05/08/2021,29250.0
04/08/2021,27900.0
03/08/2021,26750.0
02/08/2021,27000.0
30/07/2021,27500.0
29/07/2021,27850.0
28/07/2021,27850.0
27/07/2021,27850.0
26/07/2021,27900.0
23/07/2021,26500.0
22/07/2021,27050.0
21/07/2021,25600.0
20/07/2021,26400.0
19/07/2021,25000.0
16/07/2021,26800.0
15/07/2021,26950.0
14/07/2021,25650.0
13/07/2021,26700.0
12/07/2021,26600.0
09/07/2021,28600.0
08/07/2021,28550.0
07/07/2021,28850.0
06/07/2021,29700.0
05/07/2021,31500.0
02/07/2021,32350.0
01/07/2021,33350.0
