Date,Closing price
31/05/2022,9750.0
30/05/2022,9800.0
27/05/2022,9770.0
26/05/2022,9730.0
25/05/2022,9640.0
24/05/2022,9190.0
23/05/2022,9200.0
20/05/2022,9500.0
19/05/2022,9450.0
18/05/2022,9630.0
17/05/2022,9630.0
16/05/2022,9000.0
13/05/2022,8800.0
12/05/2022,9040.0
11/05/2022,9720.0
10/05/2022,9600.0
09/05/2022,9440.0
06/05/2022,10150.0
05/05/2022,10900.0
04/05/2022,11200.0
29/04/2022,11400.0
28/04/2022,10850.0
27/04/2022,10550.0
26/04/2022,10400.0
25/04/2022,9720.0
22/04/2022,10450.0
21/04/2022,11200.0
20/04/2022,12000.0
19/04/2022,12900.0
18/04/2022,13850.0
15/04/2022,14850.0
14/04/2022,15600.0
13/04/2022,15500.0
12/04/2022,15650.0
08/04/2022,15850.0
07/04/2022,16200.0
06/04/2022,16700.0
05/04/2022,16850.0
04/04/2022,17000.0
01/04/2022,16300.0
31/03/2022,15850.0
30/03/2022,16700.0
29/03/2022,17100.0
28/03/2022,16950.0
25/03/2022,17300.0
24/03/2022,17400.0
23/03/2022,17550.0
22/03/2022,17300.0
21/03/2022,17100.0
18/03/2022,17100.0
17/03/2022,16850.0
16/03/2022,16900.0
15/03/2022,16750.0
14/03/2022,16550.0
11/03/2022,17100.0
10/03/2022,17700.0
09/03/2022,17550.0
08/03/2022,17800.0
07/03/2022,18000.0
04/03/2022,18200.0
03/03/2022,18000.0
02/03/2022,18350.0
01/03/2022,18800.0
28/02/2022,18750.0
25/02/2022,19000.0
24/02/2022,18500.0
23/02/2022,19300.0
22/02/2022,19350.0
21/02/2022,19500.0
18/02/2022,18700.0
17/02/2022,18350.0
16/02/2022,18500.0
15/02/2022,18500.0
14/02/2022,18650.0
11/02/2022,19000.0
10/02/2022,17900.0
09/02/2022,17950.0
08/02/2022,17900.0
07/02/2022,18000.0
28/01/2022,17400.0
27/01/2022,17300.0
26/01/2022,17300.0
25/01/2022,17100.0
24/01/2022,17050.0
21/01/2022,18300.0
20/01/2022,18200.0
19/01/2022,17500.0
18/01/2022,16650.0
17/01/2022,17900.0
14/01/2022,19200.0
13/01/2022,19200.0
12/01/2022,19800.0
11/01/2022,19500.0
10/01/2022,19700.0
07/01/2022,20300.0
06/01/2022,20100.0
05/01/2022,20400.0
04/01/2022,20700.0
31/12/2021,20650.0
30/12/2021,20650.0
29/12/2021,19300.0
28/12/2021,19200.0
27/12/2021,19500.0
24/12/2021,19300.0
23/12/2021,19250.0
22/12/2021,19350.0
21/12/2021,19700.0
20/12/2021,20100.0
17/12/2021,19750.0
16/12/2021,18750.0
15/12/2021,18900.0
14/12/2021,18850.0
13/12/2021,19100.0
10/12/2021,19100.0
09/12/2021,19200.0
08/12/2021,18900.0
07/12/2021,19300.0
06/12/2021,18950.0
03/12/2021,20350.0
02/12/2021,19050.0
01/12/2021,25700.0
30/11/2021,26000.0
29/11/2021,26500.0
26/11/2021,26000.0
25/11/2021,26900.0
24/11/2021,27200.0
23/11/2021,26350.0
22/11/2021,25100.0
19/11/2021,23500.0
18/11/2021,25250.0
17/11/2021,23600.0
16/11/2021,22700.0
15/11/2021,21550.0
12/11/2021,20150.0
11/11/2021,19850.0
10/11/2021,19900.0
09/11/2021,19700.0
08/11/2021,19500.0
05/11/2021,19500.0
04/11/2021,19500.0
03/11/2021,19000.0
02/11/2021,19350.0
01/11/2021,18100.0
29/10/2021,17350.0
28/10/2021,17600.0
27/10/2021,17700.0
26/10/2021,17800.0
25/10/2021,18050.0
22/10/2021,18000.0
21/10/2021,17750.0
20/10/2021,17700.0
19/10/2021,18100.0
18/10/2021,17650.0
15/10/2021,18150.0
14/10/2021,18550.0
13/10/2021,17350.0
12/10/2021,17200.0
11/10/2021,16750.0
08/10/2021,16750.0
07/10/2021,17300.0
06/10/2021,17300.0
05/10/2021,17200.0
04/10/2021,17000.0
01/10/2021,17700.0
30/09/2021,18700.0
29/09/2021,17500.0
28/09/2021,18550.0
27/09/2021,19900.0
24/09/2021,21350.0
23/09/2021,22950.0
22/09/2021,24650.0
21/09/2021,26500.0
20/09/2021,26500.0
17/09/2021,24800.0
16/09/2021,26650.0
15/09/2021,28650.0
14/09/2021,26800.0
13/09/2021,25050.0
10/09/2021,23450.0
09/09/2021,21950.0
08/09/2021,20550.0
07/09/2021,20550.0
06/09/2021,19250.0
01/09/2021,18000.0
31/08/2021,16850.0
30/08/2021,17150.0
27/08/2021,17000.0
26/08/2021,16300.0
25/08/2021,15250.0
24/08/2021,16350.000000000002
23/08/2021,17150.0
20/08/2021,16050.0
19/08/2021,15000.0
18/08/2021,14050.0
17/08/2021,13150.0
16/08/2021,12300.0
13/08/2021,11500.0
12/08/2021,10750.0
11/08/2021,10800.0
10/08/2021,10400.0
09/08/2021,10500.0
06/08/2021,10300.0
05/08/2021,9940.0
04/08/2021,9900.0
03/08/2021,9730.0
02/08/2021,9720.0
30/07/2021,9700.0
29/07/2021,9690.0
28/07/2021,9640.0
27/07/2021,9560.0
26/07/2021,9480.0
23/07/2021,9480.0
22/07/2021,9710.0
21/07/2021,9310.0
20/07/2021,9350.0
19/07/2021,9130.0
16/07/2021,9810.0
15/07/2021,9900.0
14/07/2021,9750.0
13/07/2021,9810.0
12/07/2021,9550.0
09/07/2021,10200.0
08/07/2021,10350.0
07/07/2021,10300.0
06/07/2021,10250.0
05/07/2021,11000.0
02/07/2021,11200.0
01/07/2021,11200.0
30/06/2021,10750.0
29/06/2021,11000.0
28/06/2021,10800.0
25/06/2021,10950.0
24/06/2021,10300.0
23/06/2021,10550.0
22/06/2021,10800.0
21/06/2021,10850.0
18/06/2021,11850.0
17/06/2021,12050.0
16/06/2021,11300.0
15/06/2021,11650.0
14/06/2021,11200.0
11/06/2021,10650.0
10/06/2021,10550.0
09/06/2021,10650.0
08/06/2021,10350.0
07/06/2021,11050.0
04/06/2021,11200.0
03/06/2021,10700.0
02/06/2021,10000.0
01/06/2021,10350.0
31/05/2021,9680.0
28/05/2021,9050.0
27/05/2021,9000.0
26/05/2021,9080.0
25/05/2021,9200.0
24/05/2021,9010.0
21/05/2021,8990.0
20/05/2021,8970.0
19/05/2021,8800.0
18/05/2021,8850.0
17/05/2021,9000.0
14/05/2021,9000.0
13/05/2021,8920.0
12/05/2021,9050.0
11/05/2021,8950.0
10/05/2021,8940.0
07/05/2021,8900.0
06/05/2021,9090.0
05/05/2021,9250.0
04/05/2021,8900.0
29/04/2021,9060.0
28/04/2021,8980.0
27/04/2021,8840.0
26/04/2021,9030.0
23/04/2021,9290.0
22/04/2021,9200.0
20/04/2021,9600.0
19/04/2021,9800.0
16/04/2021,9480.0
15/04/2021,9800.0
14/04/2021,10100.0
13/04/2021,10050.0
12/04/2021,10300.0
09/04/2021,9800.0
08/04/2021,9810.0
07/04/2021,9690.0
06/04/2021,9720.0
05/04/2021,9890.0
02/04/2021,9850.0
01/04/2021,9700.0
31/03/2021,9280.0
30/03/2021,9230.0
29/03/2021,9290.0
26/03/2021,9000.0
25/03/2021,9120.0
24/03/2021,9010.0
23/03/2021,9330.0
22/03/2021,9520.0
19/03/2021,9640.0
18/03/2021,9680.0
17/03/2021,9700.0
16/03/2021,9680.0
15/03/2021,9770.0
12/03/2021,9860.0
11/03/2021,9900.0
10/03/2021,9700.0
09/03/2021,9770.0
08/03/2021,9870.0
05/03/2021,9390.0
04/03/2021,9340.0
03/03/2021,9110.0
02/03/2021,9120.0
01/03/2021,9180.0
26/02/2021,8690.0
