Date,Closing price
31/05/2022,9510.0
30/05/2022,9020.0
27/05/2022,8750.0
26/05/2022,8530.0
25/05/2022,8390.0
24/05/2022,8210.0
23/05/2022,8260.0
20/05/2022,8240.0
19/05/2022,8200.0
18/05/2022,8300.0
17/05/2022,8320.0
16/05/2022,7800.0
13/05/2022,7790.0
12/05/2022,8370.0
11/05/2022,9000.0
10/05/2022,9090.0
09/05/2022,9260.0
06/05/2022,9950.0
05/05/2022,10400.0
04/05/2022,10400.0
29/04/2022,10150.0
28/04/2022,9900.0
27/04/2022,9900.0
26/04/2022,9800.0
25/04/2022,9540.0
22/04/2022,10250.0
21/04/2022,11000.0
20/04/2022,11800.0
19/04/2022,12650.0
18/04/2022,13200.0
15/04/2022,13350.0
14/04/2022,13300.0
13/04/2022,12900.0
12/04/2022,12600.0
08/04/2022,13500.0
07/04/2022,14000.0
06/04/2022,14600.0
05/04/2022,14350.0
04/04/2022,14000.0
01/04/2022,13950.0
31/03/2022,14400.0
30/03/2022,14500.0
29/03/2022,15050.0
28/03/2022,14800.0
25/03/2022,14850.0
24/03/2022,15000.0
23/03/2022,14950.0
22/03/2022,15150.0
21/03/2022,14200.0
18/03/2022,14000.0
17/03/2022,14200.0
16/03/2022,14700.0
15/03/2022,14400.0
14/03/2022,14550.0
11/03/2022,15600.0
10/03/2022,16000.0
09/03/2022,16900.0
08/03/2022,16200.0
07/03/2022,17400.0
04/03/2022,16300.0
03/03/2022,16850.0
02/03/2022,15750.0
01/03/2022,15400.0
28/02/2022,15600.0
25/02/2022,15200.0
24/02/2022,15750.0
23/02/2022,14750.0
22/02/2022,13800.0
21/02/2022,12900.0
18/02/2022,12800.0
17/02/2022,13150.0
16/02/2022,13300.0
15/02/2022,13300.0
14/02/2022,13550.0
11/02/2022,12700.0
10/02/2022,12400.0
09/02/2022,12250.0
08/02/2022,12050.0
07/02/2022,12050.0
28/01/2022,11300.0
27/01/2022,11300.0
26/01/2022,11300.0
25/01/2022,11550.0
24/01/2022,11700.0
21/01/2022,12150.0
20/01/2022,11750.0
19/01/2022,11750.0
18/01/2022,12600.0
17/01/2022,13400.0
14/01/2022,13600.0
13/01/2022,13600.0
12/01/2022,13600.0
11/01/2022,13300.0
10/01/2022,13550.0
07/01/2022,14050.0
06/01/2022,13350.0
05/01/2022,13500.0
04/01/2022,13800.0
31/12/2021,13850.0
30/12/2021,14100.0
29/12/2021,13200.0
28/12/2021,13100.0
27/12/2021,13150.0
24/12/2021,13300.0
23/12/2021,13250.0
22/12/2021,13100.0
21/12/2021,13100.0
20/12/2021,13050.0
17/12/2021,13300.0
16/12/2021,13500.0
15/12/2021,13000.0
14/12/2021,13100.0
13/12/2021,13300.0
10/12/2021,12950.0
09/12/2021,13100.0
08/12/2021,13250.0
07/12/2021,13700.0
06/12/2021,13000.0
03/12/2021,13550.0
02/12/2021,13700.0
01/12/2021,13650.0
30/11/2021,13650.0
29/11/2021,13700.0
26/11/2021,13800.0
25/11/2021,14000.0
24/11/2021,14000.0
23/11/2021,14050.0
22/11/2021,13800.0
19/11/2021,14250.0
18/11/2021,15000.0
17/11/2021,15750.0
16/11/2021,14950.0
15/11/2021,14750.0
12/11/2021,14950.0
11/11/2021,15400.0
10/11/2021,15650.0
09/11/2021,14650.0
08/11/2021,14200.0
05/11/2021,14150.0
04/11/2021,14050.0
03/11/2021,13900.0
02/11/2021,14250.0
01/11/2021,14200.0
29/10/2021,14100.0
28/10/2021,14550.0
27/10/2021,14750.0
26/10/2021,15200.0
25/10/2021,14450.0
22/10/2021,13550.0
21/10/2021,13750.0
20/10/2021,14000.0
19/10/2021,14000.0
18/10/2021,14500.0
15/10/2021,14850.0
14/10/2021,14900.0
13/10/2021,14500.0
12/10/2021,14000.0
11/10/2021,14700.0
08/10/2021,15200.0
07/10/2021,15200.0
06/10/2021,16300.0
05/10/2021,16400.0
04/10/2021,15900.0
01/10/2021,14900.0
30/09/2021,13950.0
29/09/2021,13700.0
28/09/2021,12850.0
27/09/2021,12050.0
24/09/2021,11300.0
23/09/2021,12100.0
22/09/2021,12550.0
21/09/2021,11750.0
20/09/2021,11000.0
17/09/2021,10450.0
16/09/2021,9790.0
15/09/2021,9150.0
14/09/2021,8560.0
13/09/2021,8000.0
10/09/2021,8100.0
09/09/2021,8020.0
08/09/2021,7560.0
07/09/2021,7650.0
06/09/2021,7750.0
01/09/2021,7460.0
31/08/2021,7200.0
30/08/2021,7200.0
27/08/2021,7030.0
26/08/2021,7020.0
25/08/2021,7000.0
24/08/2021,6920.0
