Date,Closing price
31/05/2022,11150.0
30/05/2022,11150.0
27/05/2022,11150.0
26/05/2022,11150.0
25/05/2022,10850.0
24/05/2022,10450.0
23/05/2022,10450.0
20/05/2022,10550.0
19/05/2022,10500.0
18/05/2022,10550.0
17/05/2022,10700.0
16/05/2022,10050.0
13/05/2022,10050.0
12/05/2022,10800.0
11/05/2022,11600.0
10/05/2022,11350.0
09/05/2022,11300.0
06/05/2022,12100.0
05/05/2022,12500.0
04/05/2022,12800.0
29/04/2022,12700.0
28/04/2022,12300.0
27/04/2022,12000.0
26/04/2022,12000.0
25/04/2022,11650.0
22/04/2022,12500.0
21/04/2022,12500.0
20/04/2022,13200.0
19/04/2022,13650.0
18/04/2022,14400.0
15/04/2022,15150.0
14/04/2022,15250.0
13/04/2022,15600.0
12/04/2022,15600.0
08/04/2022,16200.0
07/04/2022,16800.0
06/04/2022,17000.0
05/04/2022,17200.0
04/04/2022,17150.0
01/04/2022,17000.0
31/03/2022,16600.0
30/03/2022,16900.0
29/03/2022,18000.0
28/03/2022,17700.0
25/03/2022,18350.0
24/03/2022,17500.0
23/03/2022,17450.0
22/03/2022,17600.0
21/03/2022,17400.0
18/03/2022,17300.0
17/03/2022,17650.0
16/03/2022,17550.0
15/03/2022,17700.0
14/03/2022,17000.0
11/03/2022,16800.0
10/03/2022,17450.0
09/03/2022,16750.0
08/03/2022,16400.0
07/03/2022,16900.0
04/03/2022,15800.0
03/03/2022,15450.0
02/03/2022,15350.0
01/03/2022,15500.0
28/02/2022,15600.0
25/02/2022,15450.0
24/02/2022,15100.0
23/02/2022,16000.0
22/02/2022,15800.0
21/02/2022,16100.000000000002
18/02/2022,15750.0
17/02/2022,15700.0
16/02/2022,15800.0
15/02/2022,15250.0
14/02/2022,15100.0
11/02/2022,15350.0
10/02/2022,14950.0
09/02/2022,15250.0
08/02/2022,15350.0
07/02/2022,14950.0
28/01/2022,14000.0
27/01/2022,14050.0
26/01/2022,13950.0
25/01/2022,14800.0
24/01/2022,14650.0
21/01/2022,15700.0
20/01/2022,16200.0
19/01/2022,15350.0
18/01/2022,16500.0
17/01/2022,17700.0
14/01/2022,19000.0
13/01/2022,19050.0
12/01/2022,20200.0
11/01/2022,19450.0
10/01/2022,19000.0
07/01/2022,19000.0
06/01/2022,19300.0
05/01/2022,19300.0
04/01/2022,19650.0
31/12/2021,18400.0
30/12/2021,18350.0
29/12/2021,18300.0
28/12/2021,19000.0
27/12/2021,19550.0
24/12/2021,20050.0
23/12/2021,20900.0
22/12/2021,20850.0
21/12/2021,19500.0
20/12/2021,19000.0
17/12/2021,19550.0
16/12/2021,19750.0
15/12/2021,19150.0
14/12/2021,19850.0
13/12/2021,19550.0
10/12/2021,18300.0
09/12/2021,17650.0
08/12/2021,17200.0
07/12/2021,17200.0
06/12/2021,16400.0
03/12/2021,17500.0
02/12/2021,18200.0
01/12/2021,18400.0
30/11/2021,18700.0
29/11/2021,18000.0
26/11/2021,18000.0
25/11/2021,18350.0
24/11/2021,18700.0
23/11/2021,18600.0
22/11/2021,17800.0
19/11/2021,19100.0
18/11/2021,20500.0
17/11/2021,21200.0
16/11/2021,21100.0
15/11/2021,21750.0
12/11/2021,21900.0
11/11/2021,22200.0
10/11/2021,21900.0
09/11/2021,21400.0
08/11/2021,22000.0
05/11/2021,21900.0
04/11/2021,22500.0
03/11/2021,21300.0
02/11/2021,22850.0
01/11/2021,21400.0
29/10/2021,20000.0
28/10/2021,20000.0
27/10/2021,20450.0
26/10/2021,19150.0
25/10/2021,17900.0
22/10/2021,17500.0
21/10/2021,17100.0
20/10/2021,16350.000000000002
19/10/2021,15300.0
