Date,Closing price
31/05/2022,21000.0
30/05/2022,21050.0
27/05/2022,20850.0
26/05/2022,21400.0
25/05/2022,21850.0
24/05/2022,20500.0
23/05/2022,19900.0
20/05/2022,19900.0
19/05/2022,19600.0
18/05/2022,19300.0
17/05/2022,19250.0
16/05/2022,18000.0
13/05/2022,17700.0
12/05/2022,19000.0
11/05/2022,20400.0
10/05/2022,19900.0
09/05/2022,18600.0
06/05/2022,20000.0
05/05/2022,20450.0
04/05/2022,20800.0
29/04/2022,20100.0
28/04/2022,18800.0
27/04/2022,18500.0
26/04/2022,17300.0
25/04/2022,16200.0
22/04/2022,17400.0
21/04/2022,17800.0
20/04/2022,19100.0
19/04/2022,20300.0
18/04/2022,21700.0
15/04/2022,23300.0
14/04/2022,23800.0
13/04/2022,24400.0
12/04/2022,23000.0
08/04/2022,23250.0
07/04/2022,25000.0
06/04/2022,26400.0
05/04/2022,27000.0
04/04/2022,26850.0
01/04/2022,26900.0
31/03/2022,26400.0
30/03/2022,26550.0
29/03/2022,27300.0
28/03/2022,27100.0
25/03/2022,28300.0
24/03/2022,28350.0
23/03/2022,26500.0
22/03/2022,26550.0
21/03/2022,27100.0
18/03/2022,27400.0
17/03/2022,27000.0
16/03/2022,26400.0
15/03/2022,26750.0
14/03/2022,27200.0
11/03/2022,26050.0
10/03/2022,26550.0
09/03/2022,24850.0
08/03/2022,24850.0
07/03/2022,24900.0
04/03/2022,25000.0
03/03/2022,25300.0
02/03/2022,24050.0
01/03/2022,24350.0
28/02/2022,23900.0
25/02/2022,24000.0
24/02/2022,23550.0
23/02/2022,24650.0
22/02/2022,24550.0
21/02/2022,24900.0
18/02/2022,25100.0
17/02/2022,24200.0
16/02/2022,23450.0
15/02/2022,23000.0
14/02/2022,22850.0
11/02/2022,23650.0
10/02/2022,23200.0
09/02/2022,23200.0
08/02/2022,22650.0
07/02/2022,22600.0
28/01/2022,21700.0
27/01/2022,21150.0
26/01/2022,21700.0
25/01/2022,21900.0
24/01/2022,21150.0
21/01/2022,22700.0
20/01/2022,21250.0
19/01/2022,19900.0
18/01/2022,20250.0
