Date,Closing price
31/05/2022,31000.0
30/05/2022,29750.0
27/05/2022,28800.0
26/05/2022,28450.0
25/05/2022,28600.0
24/05/2022,27000.0
23/05/2022,27000.0
20/05/2022,27700.0
19/05/2022,27000.0
18/05/2022,26600.0
17/05/2022,25600.0
16/05/2022,23950.0
13/05/2022,23550.0
12/05/2022,25300.0
11/05/2022,27200.0
10/05/2022,27000.0
09/05/2022,25400.0
06/05/2022,27300.0
05/05/2022,29350.0
04/05/2022,31550.0
29/04/2022,33900.0
28/04/2022,32500.0
27/04/2022,32000.0
26/04/2022,33400.0
25/04/2022,33800.0
22/04/2022,36300.0
21/04/2022,39000.0
20/04/2022,39000.0
19/04/2022,41900.0
18/04/2022,41100.0
15/04/2022,40900.0
14/04/2022,42100.0
13/04/2022,40500.0
12/04/2022,39700.0
08/04/2022,38600.0
07/04/2022,41400.0
06/04/2022,40200.0
05/04/2022,43200.0
04/04/2022,43200.0
01/04/2022,46400.0
31/03/2022,44500.0
30/03/2022,44300.0
29/03/2022,47600.0
28/03/2022,47400.0
25/03/2022,45000.0
24/03/2022,42800.0
23/03/2022,41700.0
22/03/2022,39000.0
21/03/2022,38000.0
18/03/2022,38500.0
17/03/2022,37000.0
16/03/2022,39700.0
15/03/2022,39600.0
14/03/2022,39000.0
11/03/2022,41900.0
10/03/2022,39300.0
09/03/2022,39050.0
08/03/2022,36500.0
07/03/2022,37550.0
04/03/2022,35100.0
03/03/2022,35200.0
02/03/2022,34500.0
01/03/2022,33500.0
28/02/2022,34800.0
25/02/2022,33650.0
24/02/2022,32800.0
23/02/2022,31100.0
22/02/2022,30400.0
21/02/2022,30900.0
18/02/2022,30900.0
17/02/2022,31000.0
16/02/2022,31050.0
15/02/2022,30750.0
14/02/2022,30450.0
11/02/2022,30800.0
10/02/2022,30400.0
09/02/2022,29750.0
08/02/2022,29150.0
07/02/2022,28400.0
28/01/2022,27050.0
27/01/2022,27650.0
26/01/2022,26800.0
25/01/2022,26100.0
24/01/2022,25700.0
21/01/2022,27400.0
20/01/2022,28100.0
19/01/2022,27500.0
18/01/2022,26700.0
17/01/2022,27000.0
14/01/2022,29000.0
13/01/2022,29800.0
12/01/2022,30500.0
11/01/2022,30050.0
10/01/2022,30700.0
07/01/2022,32100.0
06/01/2022,32800.0
05/01/2022,33400.0
