Date,Closing price
31/05/2022,35300.0
30/05/2022,35750.0
27/05/2022,35300.0
26/05/2022,35100.0
25/05/2022,34900.0
24/05/2022,33750.0
23/05/2022,33350.0
20/05/2022,34500.0
19/05/2022,34650.0
18/05/2022,34900.0
17/05/2022,34450.0
16/05/2022,32200.000000000004
13/05/2022,31800.0
12/05/2022,33600.0
11/05/2022,36100.0
10/05/2022,35800.0
09/05/2022,34450.0
06/05/2022,37000.0
05/05/2022,38200.0
04/05/2022,37250.0
29/04/2022,37250.0
28/04/2022,36700.0
27/04/2022,37200.0
26/04/2022,36900.0
25/04/2022,35850.0
22/04/2022,38500.0
21/04/2022,38500.0
20/04/2022,37950.0
19/04/2022,37950.0
18/04/2022,37950.0
15/04/2022,39300.0
14/04/2022,40500.0
13/04/2022,40900.0
12/04/2022,40450.0
08/04/2022,41900.0
07/04/2022,43050.0
06/04/2022,43500.0
05/04/2022,43300.0
04/04/2022,44250.0
01/04/2022,44350.0
31/03/2022,43500.0
30/03/2022,43550.0
29/03/2022,42400.0
28/03/2022,41600.0
25/03/2022,43450.0
24/03/2022,43100.0
23/03/2022,43400.0
22/03/2022,43500.0
21/03/2022,43800.0
18/03/2022,43900.0
17/03/2022,43500.0
16/03/2022,41600.0
15/03/2022,42100.0
14/03/2022,41300.0
11/03/2022,41850.0
10/03/2022,40950.0
09/03/2022,40500.0
08/03/2022,41600.0
07/03/2022,42250.0
04/03/2022,43300.0
03/03/2022,42800.0
02/03/2022,42450.0
01/03/2022,44100.0
28/02/2022,43700.0
25/02/2022,44550.0
24/02/2022,44600.0
23/02/2022,45600.0
22/02/2022,46000.0
21/02/2022,45250.0
18/02/2022,44700.0
17/02/2022,46000.0
16/02/2022,45150.0
15/02/2022,46200.0
14/02/2022,44750.0
11/02/2022,47900.0
10/02/2022,48400.0
09/02/2022,48400.0
08/02/2022,47350.0
07/02/2022,47400.0
28/01/2022,47950.0
27/01/2022,47600.0
26/01/2022,48100.0
25/01/2022,49000.0
24/01/2022,46900.0
21/01/2022,47350.0
20/01/2022,46700.0
19/01/2022,43650.0
18/01/2022,44900.0
17/01/2022,43650.0
14/01/2022,44250.0
13/01/2022,44000.0
12/01/2022,42150.0
11/01/2022,39400.0
10/01/2022,38850.0
07/01/2022,39200.0
06/01/2022,38000.0
05/01/2022,37050.0
04/01/2022,37400.0
31/12/2021,37100.0
30/12/2021,35400.0
29/12/2021,35200.0
28/12/2021,35200.0
27/12/2021,35300.0
24/12/2021,35000.0
23/12/2021,34500.0
22/12/2021,43300.0
21/12/2021,43800.0
20/12/2021,44600.0
17/12/2021,44900.0
16/12/2021,44900.0
15/12/2021,44900.0
14/12/2021,45300.0
13/12/2021,45500.0
10/12/2021,44600.0
09/12/2021,44000.0
08/12/2021,44000.0
07/12/2021,43600.0
06/12/2021,41950.0
03/12/2021,42000.0
02/12/2021,44200.0
01/12/2021,44300.0
30/11/2021,44400.0
29/11/2021,44500.0
26/11/2021,45450.0
25/11/2021,45350.0
24/11/2021,46050.0
23/11/2021,44700.0
22/11/2021,45550.0
19/11/2021,44400.0
18/11/2021,44500.0
17/11/2021,43600.0
16/11/2021,42800.0
15/11/2021,42800.0
12/11/2021,43200.0
11/11/2021,42800.0
10/11/2021,43000.0
09/11/2021,43000.0
08/11/2021,43900.0
05/11/2021,43600.0
04/11/2021,44000.0
03/11/2021,43050.0
02/11/2021,41950.0
01/11/2021,41800.0
29/10/2021,41500.0
28/10/2021,39850.0
27/10/2021,39900.0
26/10/2021,39200.0
25/10/2021,39200.0
22/10/2021,39300.0
21/10/2021,39500.0
20/10/2021,39750.0
19/10/2021,40050.0
18/10/2021,39300.0
15/10/2021,39500.0
14/10/2021,39550.0
13/10/2021,39900.0
12/10/2021,40250.0
11/10/2021,40000.0
08/10/2021,39200.0
07/10/2021,39150.0
06/10/2021,39400.0
05/10/2021,39300.0
04/10/2021,38900.0
01/10/2021,38800.0
30/09/2021,39450.0
29/09/2021,39900.0
28/09/2021,40100.0
27/09/2021,39400.0
24/09/2021,39700.0
23/09/2021,39450.0
22/09/2021,39600.0
21/09/2021,39650.0
20/09/2021,39900.0
