Date,Closing price
31/05/2022,30700.0
30/05/2022,31600.0
27/05/2022,32800.0
26/05/2022,32500.0
25/05/2022,32000.0
24/05/2022,31000.0
23/05/2022,30500.0
20/05/2022,30800.0
19/05/2022,31000.0
18/05/2022,30000.0
17/05/2022,29000.0
16/05/2022,27750.0
13/05/2022,29800.0
12/05/2022,32000.0
11/05/2022,34400.0
10/05/2022,35000.0
09/05/2022,34200.0
06/05/2022,36750.0
05/05/2022,38000.0
04/05/2022,37650.0
29/04/2022,37400.0
28/04/2022,36400.0
27/04/2022,36500.0
26/04/2022,35600.0
25/04/2022,34250.0
22/04/2022,36800.0
21/04/2022,37500.0
20/04/2022,37050.0
19/04/2022,38500.0
18/04/2022,40100.0
15/04/2022,41400.0
14/04/2022,39400.0
13/04/2022,39600.0
12/04/2022,38600.0
08/04/2022,41100.0
07/04/2022,42600.0
06/04/2022,43500.0
05/04/2022,43400.0
04/04/2022,43500.0
01/04/2022,43500.0
31/03/2022,42500.0
30/03/2022,42800.0
29/03/2022,43600.0
28/03/2022,42350.0
25/03/2022,42300.0
24/03/2022,42150.0
23/03/2022,42500.0
22/03/2022,42000.0
21/03/2022,42300.0
18/03/2022,39900.0
17/03/2022,39800.0
16/03/2022,39500.0
15/03/2022,38700.0
14/03/2022,38700.0
11/03/2022,39900.0
10/03/2022,40650.0
09/03/2022,40300.0
08/03/2022,39850.0
07/03/2022,40100.0
04/03/2022,40000.0
03/03/2022,40000.0
02/03/2022,39800.0
01/03/2022,40650.0
28/02/2022,39000.0
25/02/2022,38000.0
24/02/2022,38000.0
23/02/2022,38200.0
22/02/2022,37900.0
21/02/2022,38900.0
18/02/2022,38950.0
17/02/2022,39000.0
16/02/2022,39300.0
15/02/2022,37950.0
14/02/2022,37400.0
11/02/2022,38250.0
10/02/2022,38950.0
09/02/2022,39050.0
08/02/2022,38850.0
07/02/2022,36800.0
28/01/2022,35500.0
27/01/2022,35250.0
26/01/2022,35650.0
25/01/2022,34000.0
24/01/2022,35350.0
21/01/2022,38000.0
20/01/2022,38800.0
