Date,Closing price
31/05/2022,51600.0
30/05/2022,51000.0
27/05/2022,50200.0
26/05/2022,49900.0
25/05/2022,51000.0
24/05/2022,48500.0
23/05/2022,48600.0
20/05/2022,48550.0
19/05/2022,48800.0
18/05/2022,49600.0
17/05/2022,50000.0
16/05/2022,47600.0
13/05/2022,48000.0
12/05/2022,48800.0
11/05/2022,51900.0
10/05/2022,49550.0
09/05/2022,47100.0
06/05/2022,50600.0
05/05/2022,53800.0
04/05/2022,53700.0
29/04/2022,53300.0
28/04/2022,52000.0
27/04/2022,52900.0
26/04/2022,54300.0
25/04/2022,53500.0
22/04/2022,56000.0
21/04/2022,55500.0
20/04/2022,59000.0
19/04/2022,61500.0
18/04/2022,60400.0
15/04/2022,59000.0
14/04/2022,57700.0
13/04/2022,54000.0
12/04/2022,53200.0
08/04/2022,53000.0
07/04/2022,53000.0
06/04/2022,53900.0
05/04/2022,53000.0
04/04/2022,52900.0
01/04/2022,52400.0
31/03/2022,51900.0
30/03/2022,52500.0
29/03/2022,53200.0
28/03/2022,51700.0
25/03/2022,51000.0
24/03/2022,50500.0
23/03/2022,49000.0
22/03/2022,49250.0
21/03/2022,49500.0
18/03/2022,49150.0
17/03/2022,49100.0
16/03/2022,49050.0
15/03/2022,47900.0
14/03/2022,46500.0
11/03/2022,47550.0
10/03/2022,49000.0
09/03/2022,48100.0
08/03/2022,49250.0
07/03/2022,50000.0
04/03/2022,49400.0
03/03/2022,49400.0
02/03/2022,48850.0
01/03/2022,49500.0
28/02/2022,48750.0
25/02/2022,49800.0
24/02/2022,49500.0
23/02/2022,51500.0
22/02/2022,51500.0
21/02/2022,50900.0
18/02/2022,47600.0
17/02/2022,47800.0
16/02/2022,47800.0
15/02/2022,47900.0
14/02/2022,47850.0
11/02/2022,46900.0
10/02/2022,47500.0
09/02/2022,46500.0
08/02/2022,44600.0
07/02/2022,44000.0
28/01/2022,44200.0
27/01/2022,44300.0
26/01/2022,44350.0
25/01/2022,44600.0
24/01/2022,44300.0
21/01/2022,44800.0
20/01/2022,44900.0
19/01/2022,44800.0
18/01/2022,44250.0
17/01/2022,44700.0
14/01/2022,45450.0
13/01/2022,45450.0
12/01/2022,44700.0
11/01/2022,43800.0
10/01/2022,44200.0
07/01/2022,44100.0
06/01/2022,42500.0
05/01/2022,43000.0
04/01/2022,43400.0
31/12/2021,42900.0
30/12/2021,44600.0
29/12/2021,44700.0
28/12/2021,45400.0
27/12/2021,44200.0
24/12/2021,44600.0
23/12/2021,44950.0
22/12/2021,45800.0
21/12/2021,45600.0
20/12/2021,44600.0
17/12/2021,45500.0
16/12/2021,46200.0
15/12/2021,47250.0
14/12/2021,47500.0
13/12/2021,47250.0
10/12/2021,45900.0
09/12/2021,45300.0
08/12/2021,45200.0
07/12/2021,45200.0
06/12/2021,45200.0
03/12/2021,45500.0
02/12/2021,47000.0
01/12/2021,47000.0
30/11/2021,47000.0
29/11/2021,47500.0
26/11/2021,47700.0
25/11/2021,48500.0
24/11/2021,48800.0
23/11/2021,47000.0
22/11/2021,45550.0
19/11/2021,45600.0
18/11/2021,45350.0
17/11/2021,45800.0
16/11/2021,44500.0
15/11/2021,44500.0
12/11/2021,45300.0
11/11/2021,45200.0
10/11/2021,45250.0
09/11/2021,45100.0
08/11/2021,45600.0
05/11/2021,44700.0
04/11/2021,44100.0
03/11/2021,44000.0
02/11/2021,45000.0
01/11/2021,44700.0
29/10/2021,44400.0
28/10/2021,44100.0
27/10/2021,43100.0
26/10/2021,42900.0
25/10/2021,43500.0
22/10/2021,43900.0
21/10/2021,43900.0
20/10/2021,42700.0
19/10/2021,43200.0
18/10/2021,41800.0
15/10/2021,42300.0
14/10/2021,43200.0
13/10/2021,43000.0
12/10/2021,43350.0
11/10/2021,43150.0
08/10/2021,42700.0
07/10/2021,43100.0
06/10/2021,43350.0
05/10/2021,40550.0
04/10/2021,40500.0
01/10/2021,40200.0
30/09/2021,40700.0
29/09/2021,39700.0
28/09/2021,40200.0
27/09/2021,39200.0
24/09/2021,40400.0
23/09/2021,41100.0
22/09/2021,40600.0
21/09/2021,39850.0
20/09/2021,40000.0
17/09/2021,40150.0
16/09/2021,40400.0
15/09/2021,39900.0
14/09/2021,39400.0
13/09/2021,40200.0
10/09/2021,41150.0
09/09/2021,41500.0
08/09/2021,40650.0
07/09/2021,40700.0
06/09/2021,41750.0
01/09/2021,40900.0
31/08/2021,40650.0
30/08/2021,41500.0
27/08/2021,41100.0
26/08/2021,40200.0
25/08/2021,37600.0
24/08/2021,37800.0
23/08/2021,38100.0
20/08/2021,37500.0
19/08/2021,38400.0
18/08/2021,37800.0
17/08/2021,37700.0
16/08/2021,38500.0
13/08/2021,37350.0
12/08/2021,37550.0
11/08/2021,38300.0
10/08/2021,38700.0
09/08/2021,38350.0
06/08/2021,38250.0
05/08/2021,39400.0
04/08/2021,38500.0
03/08/2021,38500.0
02/08/2021,37900.0
30/07/2021,36750.0
29/07/2021,36900.0
28/07/2021,36500.0
27/07/2021,37700.0
26/07/2021,38550.0
23/07/2021,37900.0
22/07/2021,38400.0
21/07/2021,38300.0
20/07/2021,36400.0
19/07/2021,36400.0
16/07/2021,36900.0
15/07/2021,34600.0
14/07/2021,34000.0
13/07/2021,34400.0
12/07/2021,34350.0
09/07/2021,34350.0
08/07/2021,33800.0
07/07/2021,34200.0
06/07/2021,34100.0
05/07/2021,33850.0
02/07/2021,33800.0
01/07/2021,35000.0
30/06/2021,35350.0
29/06/2021,35350.0
28/06/2021,35500.0
25/06/2021,35350.0
24/06/2021,35350.0
23/06/2021,35100.0
22/06/2021,35600.0
21/06/2021,35450.0
18/06/2021,35950.0
17/06/2021,35900.0
16/06/2021,35800.0
15/06/2021,35700.0
14/06/2021,34350.0
11/06/2021,33500.0
10/06/2021,33200.0
09/06/2021,33850.0
08/06/2021,32350.0
07/06/2021,31900.0
04/06/2021,31850.0
03/06/2021,32150.0
02/06/2021,32150.0
01/06/2021,30900.0
31/05/2021,29950.0
28/05/2021,29950.0
27/05/2021,29400.0
26/05/2021,29350.0
25/05/2021,29700.0
24/05/2021,29800.0
21/05/2021,28900.0
20/05/2021,28800.0
19/05/2021,28900.0
18/05/2021,28800.0
17/05/2021,28800.0
14/05/2021,29500.0
13/05/2021,30000.0
12/05/2021,29400.0
11/05/2021,29000.0
10/05/2021,28900.0
07/05/2021,29150.0
06/05/2021,29400.0
05/05/2021,29400.0
04/05/2021,29100.0
29/04/2021,28850.0
28/04/2021,28850.0
27/04/2021,28900.0
26/04/2021,29000.0
23/04/2021,29600.0
22/04/2021,29600.0
20/04/2021,29850.0
19/04/2021,30000.0
16/04/2021,29700.0
15/04/2021,30750.0
14/04/2021,31200.0
13/04/2021,31300.0
12/04/2021,31700.0
09/04/2021,31250.0
08/04/2021,31500.0
07/04/2021,31800.0
06/04/2021,31450.0
05/04/2021,31700.0
02/04/2021,31800.0
01/04/2021,31900.0
31/03/2021,31700.0
30/03/2021,31900.0
29/03/2021,31150.0
26/03/2021,30000.0
25/03/2021,30600.0
24/03/2021,30700.0
23/03/2021,31650.0
22/03/2021,31950.0
19/03/2021,31650.0
18/03/2021,31700.0
17/03/2021,31500.0
16/03/2021,31600.0
15/03/2021,32400.0
12/03/2021,32900.0
11/03/2021,32900.0
10/03/2021,32600.0
09/03/2021,32600.0
08/03/2021,32000.0
05/03/2021,31900.0
04/03/2021,31700.0
03/03/2021,32500.0
02/03/2021,30650.0
01/03/2021,30700.0
26/02/2021,30750.0
25/02/2021,30400.0
24/02/2021,30450.0
23/02/2021,30500.0
22/02/2021,30800.0
19/02/2021,31000.0
18/02/2021,30050.0
17/02/2021,29700.0
09/02/2021,27800.0
08/02/2021,27600.0
05/02/2021,28300.0
04/02/2021,28050.0
03/02/2021,28500.0
02/02/2021,27150.0
01/02/2021,26200.0
29/01/2021,27650.0
28/01/2021,26050.0
27/01/2021,28000.0
26/01/2021,29300.0
25/01/2021,30600.0
22/01/2021,30600.0
21/01/2021,29900.0
20/01/2021,29000.0
19/01/2021,29400.0
18/01/2021,31250.0
15/01/2021,31700.0
14/01/2021,31600.0
13/01/2021,31750.0
12/01/2021,32150.0
11/01/2021,31800.0
08/01/2021,32700.000000000004
07/01/2021,33500.0
06/01/2021,32700.000000000004
05/01/2021,34000.0
04/01/2021,34150.0
31/12/2020,33800.0
30/12/2020,33800.0
29/12/2020,31600.0
28/12/2020,30750.0
25/12/2020,30850.0
24/12/2020,30600.0
23/12/2020,32000.0
22/12/2020,32500.0
21/12/2020,32600.0
18/12/2020,31900.0
17/12/2020,31050.0
16/12/2020,31700.0
15/12/2020,31700.0
14/12/2020,30850.0
11/12/2020,30200.0
10/12/2020,30000.0
09/12/2020,31500.0
08/12/2020,31200.0
07/12/2020,31200.0
04/12/2020,31050.0
03/12/2020,31500.0
02/12/2020,31200.0
01/12/2020,31700.0
30/11/2020,31000.0
27/11/2020,29000.0
26/11/2020,28950.0
25/11/2020,29500.0
24/11/2020,28100.0
23/11/2020,26300.0
20/11/2020,26200.0
19/11/2020,26400.0
18/11/2020,25600.0
17/11/2020,25900.0
16/11/2020,25750.0
13/11/2020,25600.0
12/11/2020,25000.0
11/11/2020,25000.0
10/11/2020,25000.0
09/11/2020,25000.0
06/11/2020,25000.0
05/11/2020,25150.0
04/11/2020,24700.0
03/11/2020,24650.0
02/11/2020,24550.0
30/10/2020,24700.0
29/10/2020,24750.0
28/10/2020,25150.0
27/10/2020,25450.0
26/10/2020,25500.0
23/10/2020,25500.0
22/10/2020,25500.0
21/10/2020,25500.0
20/10/2020,25750.0
19/10/2020,25700.0
16/10/2020,25900.0
15/10/2020,26000.0
14/10/2020,25900.0
13/10/2020,25850.0
12/10/2020,25850.0
09/10/2020,25500.0
08/10/2020,25900.0
07/10/2020,26000.0
06/10/2020,26000.0
05/10/2020,26400.0
02/10/2020,26400.0
01/10/2020,26400.0
30/09/2020,26500.0
29/09/2020,26600.0
28/09/2020,26600.0
25/09/2020,26450.0
24/09/2020,26400.0
23/09/2020,26300.0
22/09/2020,26300.0
