Date,Closing price
31/05/2022,9330.0
30/05/2022,9450.0
27/05/2022,9060.0
26/05/2022,9050.0
25/05/2022,9020.0
24/05/2022,8600.0
23/05/2022,8890.0
20/05/2022,9050.0
19/05/2022,9150.0
18/05/2022,9400.0
17/05/2022,9450.0
16/05/2022,9000.0
13/05/2022,8890.0
12/05/2022,9490.0
11/05/2022,10200.0
10/05/2022,10000.0
09/05/2022,9580.0
06/05/2022,10300.0
05/05/2022,11050.0
04/05/2022,11600.0
29/04/2022,11000.0
28/04/2022,10300.0
27/04/2022,9630.0
26/04/2022,9000.0
25/04/2022,8890.0
22/04/2022,9400.0
21/04/2022,9440.0
20/04/2022,10150.0
19/04/2022,10550.0
18/04/2022,11300.0
15/04/2022,12100.0
14/04/2022,13000.0
13/04/2022,13350.0
12/04/2022,12800.0
08/04/2022,13750.0
07/04/2022,14750.0
06/04/2022,15850.0
05/04/2022,17000.0
04/04/2022,17100.0
01/04/2022,16000.0
31/03/2022,15950.0
30/03/2022,17100.0
29/03/2022,16650.0
28/03/2022,15600.0
25/03/2022,14600.0
24/03/2022,13650.0
23/03/2022,14000.0
22/03/2022,13700.0
21/03/2022,14000.0
18/03/2022,13100.0
17/03/2022,13100.0
16/03/2022,12850.0
15/03/2022,12650.0
14/03/2022,12650.0
11/03/2022,12650.0
10/03/2022,12800.0
09/03/2022,12450.0
08/03/2022,12500.0
07/03/2022,12700.0
04/03/2022,13600.0
03/03/2022,14150.0
02/03/2022,14000.0
01/03/2022,13250.0
28/02/2022,13100.0
25/02/2022,12850.0
24/02/2022,12500.0
23/02/2022,12550.0
22/02/2022,11950.0
21/02/2022,12100.0
18/02/2022,12000.0
17/02/2022,11450.0
16/02/2022,11100.0
15/02/2022,11450.0
14/02/2022,11850.0
11/02/2022,11100.0
10/02/2022,10400.0
09/02/2022,9790.0
08/02/2022,9400.0
07/02/2022,9200.0
28/01/2022,8600.0
27/01/2022,8350.0
26/01/2022,8970.0
25/01/2022,9100.0
24/01/2022,9300.0
21/01/2022,10000.0
20/01/2022,10100.0
19/01/2022,9540.0
18/01/2022,10250.0
17/01/2022,11000.0
14/01/2022,11800.0
13/01/2022,12650.0
12/01/2022,13600.0
11/01/2022,14000.0
10/01/2022,14950.0
07/01/2022,14100.0
06/01/2022,14300.0
05/01/2022,13500.0
04/01/2022,13700.0
31/12/2021,13700.0
30/12/2021,13700.0
29/12/2021,13900.0
28/12/2021,13500.0
27/12/2021,13500.0
24/12/2021,13300.0
23/12/2021,13300.0
22/12/2021,14100.0
21/12/2021,15100.0
20/12/2021,14150.0
17/12/2021,15200.0
16/12/2021,15950.0
15/12/2021,15450.0
14/12/2021,14450.0
13/12/2021,13550.0
10/12/2021,14200.0
09/12/2021,13700.0
08/12/2021,12850.0
07/12/2021,12050.0
06/12/2021,12250.0
03/12/2021,13150.0
02/12/2021,12300.0
01/12/2021,11500.0
30/11/2021,10750.0
29/11/2021,10900.0
26/11/2021,10750.0
25/11/2021,10750.0
24/11/2021,10850.0
23/11/2021,10800.0
22/11/2021,11200.0
19/11/2021,11600.0
18/11/2021,11500.0
17/11/2021,11400.0
16/11/2021,11300.0
15/11/2021,12000.0
12/11/2021,11300.0
11/11/2021,11400.0
10/11/2021,11500.0
09/11/2021,11000.0
08/11/2021,11700.0
05/11/2021,11400.0
04/11/2021,10700.0
03/11/2021,11500.0
02/11/2021,12300.0
01/11/2021,11500.0
29/10/2021,10750.0
28/10/2021,10050.0
27/10/2021,9400.0
26/10/2021,8790.0
25/10/2021,8220.0
22/10/2021,7690.0
21/10/2021,7290.0
20/10/2021,7290.0
19/10/2021,7230.0
18/10/2021,7250.0
15/10/2021,7480.0
14/10/2021,7300.0
13/10/2021,7160.0
12/10/2021,7310.0
11/10/2021,7400.0
08/10/2021,7590.0
07/10/2021,7550.0
06/10/2021,7480.0
05/10/2021,7410.0
04/10/2021,7040.0
01/10/2021,7200.0
30/09/2021,7080.0
29/09/2021,7390.0
28/09/2021,7100.0
27/09/2021,7520.0
24/09/2021,8000.0
23/09/2021,8230.0
22/09/2021,7700.0
21/09/2021,7200.0
20/09/2021,7060.0
17/09/2021,7490.0
16/09/2021,7400.0
15/09/2021,7450.0
14/09/2021,7500.0
13/09/2021,7300.0
10/09/2021,7570.0
09/09/2021,7600.0
08/09/2021,7600.0
07/09/2021,7790.0
06/09/2021,7500.0
01/09/2021,7600.0
31/08/2021,7600.0
30/08/2021,7800.0
27/08/2021,7600.0
26/08/2021,7600.0
25/08/2021,8000.0
24/08/2021,8200.0
23/08/2021,8200.0
20/08/2021,8250.0
19/08/2021,8250.0
18/08/2021,7810.0
17/08/2021,7300.0
16/08/2021,7300.0
13/08/2021,7200.0
12/08/2021,7120.0
11/08/2021,7100.0
10/08/2021,7000.0
09/08/2021,7300.0
06/08/2021,7250.0
05/08/2021,7350.0
04/08/2021,7000.0
03/08/2021,7140.0
02/08/2021,7150.0
