Date,Closing price
31/05/2022,60200.0
30/05/2022,60800.0
27/05/2022,60800.0
26/05/2022,59000.0
25/05/2022,59000.0
24/05/2022,55800.0
23/05/2022,57500.0
20/05/2022,58500.0
19/05/2022,56300.0
18/05/2022,59000.0
17/05/2022,57000.0
16/05/2022,54000.0
13/05/2022,56900.0
12/05/2022,59000.0
11/05/2022,62300.0
10/05/2022,61400.0
09/05/2022,62500.0
06/05/2022,63200.0
05/05/2022,64700.0
04/05/2022,63700.0
29/04/2022,64800.0
28/04/2022,64300.0
27/04/2022,63700.0
26/04/2022,63200.0
25/04/2022,62100.0
22/04/2022,66700.0
21/04/2022,69000.0
20/04/2022,70000.0
19/04/2022,65800.0
18/04/2022,70700.0
15/04/2022,68900.0
14/04/2022,65900.0
13/04/2022,64900.00000000001
12/04/2022,64000.0
08/04/2022,63700.0
07/04/2022,65500.0
06/04/2022,65000.0
05/04/2022,63300.0
04/04/2022,62800.0
01/04/2022,63500.0
31/03/2022,63000.0
30/03/2022,61100.0
29/03/2022,59700.0
28/03/2022,55800.0
25/03/2022,56200.0
24/03/2022,56500.0
23/03/2022,56200.0
22/03/2022,55200.0
21/03/2022,59000.0
18/03/2022,59500.0
17/03/2022,59300.0
16/03/2022,55500.0
15/03/2022,55500.0
14/03/2022,55300.0
11/03/2022,55600.0
10/03/2022,55800.0
09/03/2022,54000.0
08/03/2022,54200.0
07/03/2022,55500.0
04/03/2022,55900.0
03/03/2022,55800.0
02/03/2022,54700.0
01/03/2022,54700.0
28/02/2022,55000.0
25/02/2022,55500.0
24/02/2022,56300.0
23/02/2022,57100.0
22/02/2022,56700.0
21/02/2022,57200.0
18/02/2022,56700.0
17/02/2022,56700.0
16/02/2022,56000.0
15/02/2022,54900.0
14/02/2022,55300.0
11/02/2022,55500.0
10/02/2022,56000.0
09/02/2022,60000.0
08/02/2022,58600.0
07/02/2022,58200.0
28/01/2022,54400.0
27/01/2022,51800.0
26/01/2022,51500.0
25/01/2022,51600.0
24/01/2022,51600.0
21/01/2022,54500.0
20/01/2022,54700.0
19/01/2022,53000.0
18/01/2022,49600.0
17/01/2022,51000.0
14/01/2022,54300.0
13/01/2022,54800.0
12/01/2022,55000.0
11/01/2022,55000.0
10/01/2022,57000.0
07/01/2022,59000.0
06/01/2022,60000.0
05/01/2022,62200.0
04/01/2022,61000.0
31/12/2021,60000.0
30/12/2021,59500.0
29/12/2021,60000.0
28/12/2021,60000.0
27/12/2021,59700.0
24/12/2021,59000.0
23/12/2021,58000.0
22/12/2021,59400.0
21/12/2021,59300.0
20/12/2021,59300.0
17/12/2021,60400.0
16/12/2021,60100.0
15/12/2021,60300.0
14/12/2021,60500.0
13/12/2021,61500.0
10/12/2021,62000.0
09/12/2021,61000.0
08/12/2021,60700.0
07/12/2021,60800.0
06/12/2021,60100.0
03/12/2021,60900.0
02/12/2021,62400.0
01/12/2021,62500.0
30/11/2021,62000.0
29/11/2021,63800.0
26/11/2021,65500.0
25/11/2021,68500.0
24/11/2021,68300.0
23/11/2021,66400.0
22/11/2021,66900.0
19/11/2021,69900.0
18/11/2021,69000.0
17/11/2021,64599.99999999999
16/11/2021,63900.0
15/11/2021,63800.0
12/11/2021,64099.99999999999
11/11/2021,64000.0
10/11/2021,64800.0
09/11/2021,65000.0
08/11/2021,64300.0
05/11/2021,63500.0
04/11/2021,62900.0
03/11/2021,62400.0
02/11/2021,63800.0
01/11/2021,64000.0
29/10/2021,63000.0
28/10/2021,61800.0
27/10/2021,60500.0
26/10/2021,59600.0
25/10/2021,60000.0
22/10/2021,60900.0
21/10/2021,61000.0
20/10/2021,59600.0
19/10/2021,59700.0
18/10/2021,61000.0
15/10/2021,62000.0
14/10/2021,61800.0
13/10/2021,60700.0
12/10/2021,60900.0
11/10/2021,61000.0
08/10/2021,61300.0
07/10/2021,61300.0
06/10/2021,59400.0
05/10/2021,59400.0
04/10/2021,57700.0
01/10/2021,57800.0
30/09/2021,58800.0
29/09/2021,58900.0
28/09/2021,59000.0
27/09/2021,57300.0
24/09/2021,60500.0
23/09/2021,62500.0
22/09/2021,64200.0
21/09/2021,61800.0
20/09/2021,62900.0
17/09/2021,60400.0
16/09/2021,60400.0
15/09/2021,61200.0
14/09/2021,59900.0
13/09/2021,56000.0
10/09/2021,54600.0
09/09/2021,54500.0
08/09/2021,53000.0
07/09/2021,53700.0
06/09/2021,53600.0
01/09/2021,52700.0
31/08/2021,52800.0
30/08/2021,51000.0
27/08/2021,50800.0
26/08/2021,50100.0
25/08/2021,50200.0
24/08/2021,50800.0
23/08/2021,49100.0
20/08/2021,45900.0
19/08/2021,44900.0
18/08/2021,44900.0
17/08/2021,45450.0
16/08/2021,45750.0
13/08/2021,44000.0
12/08/2021,43550.0
11/08/2021,43400.0
10/08/2021,46150.0
09/08/2021,46950.0
06/08/2021,45300.0
05/08/2021,45000.0
04/08/2021,44100.0
03/08/2021,44750.0
02/08/2021,45400.0
30/07/2021,42450.0
29/07/2021,39700.0
28/07/2021,39800.0
27/07/2021,39550.0
26/07/2021,38400.0
23/07/2021,35900.0
22/07/2021,36000.0
21/07/2021,35450.0
20/07/2021,35600.0
19/07/2021,34750.0
16/07/2021,35600.0
15/07/2021,35550.0
14/07/2021,36300.0
13/07/2021,36900.0
12/07/2021,35400.0
09/07/2021,37000.0
08/07/2021,37300.0
07/07/2021,37300.0
06/07/2021,37600.0
05/07/2021,39000.0
02/07/2021,39400.0
01/07/2021,38600.0
30/06/2021,37300.0
29/06/2021,36500.0
28/06/2021,36600.0
25/06/2021,36900.0
24/06/2021,36250.0
23/06/2021,36250.0
22/06/2021,35500.0
21/06/2021,35500.0
18/06/2021,35400.0
17/06/2021,35100.0
16/06/2021,35500.0
15/06/2021,36000.0
14/06/2021,36300.0
11/06/2021,36250.0
10/06/2021,36150.0
09/06/2021,36300.0
08/06/2021,35400.0
07/06/2021,36700.0
04/06/2021,37400.0
03/06/2021,36200.0
02/06/2021,36350.0
01/06/2021,36400.0
31/05/2021,37350.0
28/05/2021,37850.0
27/05/2021,36100.0
26/05/2021,36800.0
25/05/2021,37250.0
24/05/2021,36950.0
21/05/2021,35150.0
20/05/2021,35700.0
19/05/2021,35300.0
18/05/2021,35500.0
17/05/2021,35800.0
14/05/2021,36000.0
13/05/2021,34300.0
12/05/2021,34450.0
11/05/2021,34350.0
10/05/2021,34400.0
07/05/2021,34700.0
06/05/2021,34700.0
05/05/2021,34700.0
04/05/2021,34100.0
29/04/2021,34400.0
28/04/2021,34400.0
