Date,Closing price
31/05/2022,48900.0
30/05/2022,47500.0
27/05/2022,47000.0
26/05/2022,46250.0
25/05/2022,44700.0
24/05/2022,41800.0
23/05/2022,42900.0
20/05/2022,43200.0
19/05/2022,43200.0
18/05/2022,41700.0
17/05/2022,40050.0
16/05/2022,37450.0
13/05/2022,40250.0
12/05/2022,43250.0
11/05/2022,46500.0
10/05/2022,46400.0
09/05/2022,47100.0
06/05/2022,50600.0
05/05/2022,51300.0
04/05/2022,53200.0
29/04/2022,52600.0
28/04/2022,50200.0
27/04/2022,49000.0
26/04/2022,48600.0
25/04/2022,48100.0
22/04/2022,51700.0
21/04/2022,55500.0
20/04/2022,57900.0
19/04/2022,59000.0
18/04/2022,57000.0
15/04/2022,58200.0
14/04/2022,60000.0
13/04/2022,57100.0
12/04/2022,53400.0
08/04/2022,56000.0
07/04/2022,60200.0
06/04/2022,61700.0
05/04/2022,61500.0
04/04/2022,60600.0
01/04/2022,63800.0
31/03/2022,62500.0
30/03/2022,64000.0
29/03/2022,66000.0
28/03/2022,67000.0
25/03/2022,63000.0
24/03/2022,62500.0
23/03/2022,62000.0
22/03/2022,60000.0
21/03/2022,56600.0
18/03/2022,55900.0
17/03/2022,56000.0
16/03/2022,56700.0
15/03/2022,53000.0
14/03/2022,55800.0
11/03/2022,60000.0
10/03/2022,60800.0
09/03/2022,61700.0
08/03/2022,58700.0
07/03/2022,59900.0
04/03/2022,56000.0
03/03/2022,56700.0
02/03/2022,53800.0
01/03/2022,52400.0
28/02/2022,53500.0
25/02/2022,52900.0
24/02/2022,49450.0
23/02/2022,48700.0
22/02/2022,48500.0
21/02/2022,47000.0
18/02/2022,48250.0
17/02/2022,47550.0
16/02/2022,46400.0
15/02/2022,46300.0
14/02/2022,46200.0
11/02/2022,44000.0
10/02/2022,41650.0
09/02/2022,42350.0
08/02/2022,41300.0
07/02/2022,38600.0
28/01/2022,36800.0
27/01/2022,36800.0
26/01/2022,37600.0
25/01/2022,37600.0
24/01/2022,38000.0
21/01/2022,38500.0
20/01/2022,38000.0
19/01/2022,36550.0
18/01/2022,36400.0
17/01/2022,35200.0
14/01/2022,37800.0
13/01/2022,38400.0
12/01/2022,39350.0
11/01/2022,38100.0
10/01/2022,39850.0
07/01/2022,41550.0
06/01/2022,42200.0
05/01/2022,42500.0
04/01/2022,42500.0
31/12/2021,42550.0
30/12/2021,42000.0
29/12/2021,41800.0
28/12/2021,42500.0
27/12/2021,41500.0
24/12/2021,42200.0
23/12/2021,43050.0
22/12/2021,44300.0
21/12/2021,45000.0
20/12/2021,45350.0
17/12/2021,45700.0
16/12/2021,46400.0
15/12/2021,46700.0
14/12/2021,47500.0
13/12/2021,48200.0
10/12/2021,47900.0
09/12/2021,47000.0
08/12/2021,45850.0
07/12/2021,45600.0
06/12/2021,44250.0
03/12/2021,47500.0
02/12/2021,49000.0
01/12/2021,50500.0
30/11/2021,49800.0
29/11/2021,50400.0
26/11/2021,49100.0
25/11/2021,48900.0
24/11/2021,48500.0
23/11/2021,49400.0
22/11/2021,46900.0
19/11/2021,50000.0
18/11/2021,53700.0
17/11/2021,55500.0
16/11/2021,55000.0
15/11/2021,53600.0
12/11/2021,53000.0
11/11/2021,55300.0
10/11/2021,56800.0
09/11/2021,56000.0
08/11/2021,57500.0
05/11/2021,57800.0
04/11/2021,54300.0
03/11/2021,52300.0
02/11/2021,55800.0
01/11/2021,54300.0
29/10/2021,51100.0
28/10/2021,47800.0
27/10/2021,48700.0
26/10/2021,49900.0
25/10/2021,47700.0
22/10/2021,44600.0
21/10/2021,46500.0
20/10/2021,46800.0
19/10/2021,46800.0
18/10/2021,48000.0
15/10/2021,50500.0
14/10/2021,51300.0
13/10/2021,50700.0
12/10/2021,50800.0
11/10/2021,50000.0
08/10/2021,51100.0
07/10/2021,51200.0
06/10/2021,50000.0
05/10/2021,53300.0
04/10/2021,55000.0
01/10/2021,56400.0
30/09/2021,52800.0
29/09/2021,54200.0
28/09/2021,52200.0
27/09/2021,56100.0
