Date,Closing price
31/05/2022,54400.0
30/05/2022,50900.0
27/05/2022,49400.0
26/05/2022,49400.0
25/05/2022,49000.0
24/05/2022,45800.0
23/05/2022,46450.0
20/05/2022,47800.0
19/05/2022,47750.0
18/05/2022,47800.0
17/05/2022,46150.0
16/05/2022,43150.0
13/05/2022,42950.0
12/05/2022,46150.0
11/05/2022,49600.0
10/05/2022,48800.0
09/05/2022,49800.0
06/05/2022,53500.0
05/05/2022,56500.0
04/05/2022,57800.0
29/04/2022,55500.0
28/04/2022,58000.0
27/04/2022,58800.0
26/04/2022,58700.0
25/04/2022,54900.0
22/04/2022,57000.0
21/04/2022,61200.0
20/04/2022,64000.0
19/04/2022,66100.0
18/04/2022,65000.0
15/04/2022,69800.0
14/04/2022,75000.0
13/04/2022,76200.0
12/04/2022,80000.0
08/04/2022,86000.0
07/04/2022,86000.0
06/04/2022,88900.0
05/04/2022,95000.0
04/04/2022,99000.0
01/04/2022,98200.0
31/03/2022,96600.0
30/03/2022,97700.0
29/03/2022,97100.0
28/03/2022,90800.0
25/03/2022,91800.0
24/03/2022,92500.0
23/03/2022,91000.0
22/03/2022,87500.0
21/03/2022,86400.0
18/03/2022,87000.0
17/03/2022,87200.0
16/03/2022,86800.0
15/03/2022,87400.0
14/03/2022,86100.0
11/03/2022,85000.0
10/03/2022,85000.0
09/03/2022,85800.0
08/03/2022,89000.0
07/03/2022,90500.0
04/03/2022,93000.0
03/03/2022,90100.0
02/03/2022,92500.0
01/03/2022,95800.0
28/02/2022,96800.0
25/02/2022,98400.0
24/02/2022,97100.0
23/02/2022,98300.0
22/02/2022,96100.0
21/02/2022,94800.0
18/02/2022,94000.0
17/02/2022,95000.0
16/02/2022,94300.0
15/02/2022,92500.0
14/02/2022,92800.0
11/02/2022,95000.0
10/02/2022,97000.0
09/02/2022,97000.0
08/02/2022,94500.0
07/02/2022,95600.0
28/01/2022,99000.0
27/01/2022,102700.0
26/01/2022,108700.0
25/01/2022,110000.0
24/01/2022,105300.0
21/01/2022,109900.0
20/01/2022,106000.0
19/01/2022,99100.0
18/01/2022,99000.0
17/01/2022,101000.0
14/01/2022,107000.0
13/01/2022,106900.0
12/01/2022,112000.0
