Date,Closing price
31/05/2022,21650.0
30/05/2022,21950.0
27/05/2022,22050.0
26/05/2022,22300.0
25/05/2022,21700.0
24/05/2022,20500.0
23/05/2022,20000.0
20/05/2022,21300.0
19/05/2022,21200.0
18/05/2022,19900.0
17/05/2022,19250.0
16/05/2022,18000.0
13/05/2022,17600.0
12/05/2022,18900.0
11/05/2022,20300.0
10/05/2022,19800.0
09/05/2022,20600.0
06/05/2022,22100.0
05/05/2022,23750.0
04/05/2022,24000.0
29/04/2022,25200.0
28/04/2022,24800.0
27/04/2022,24900.0
26/04/2022,24900.0
25/04/2022,24950.0
22/04/2022,26800.0
21/04/2022,26800.0
20/04/2022,26100.0
19/04/2022,27650.0
18/04/2022,29700.0
15/04/2022,31900.0
14/04/2022,32650.0
13/04/2022,33500.0
12/04/2022,32800.0
08/04/2022,33500.0
07/04/2022,35500.0
06/04/2022,36500.0
05/04/2022,36300.0
04/04/2022,37050.0
01/04/2022,34650.0
31/03/2022,33650.0
30/03/2022,33800.0
29/03/2022,34200.0
28/03/2022,33650.0
25/03/2022,37100.0
24/03/2022,37450.0
23/03/2022,37700.0
22/03/2022,38400.0
21/03/2022,37500.0
18/03/2022,36950.0
17/03/2022,36450.0
16/03/2022,36500.0
15/03/2022,36000.0
14/03/2022,35600.0
11/03/2022,37200.0
10/03/2022,38600.0
09/03/2022,38100.0
08/03/2022,38700.0
07/03/2022,39300.0
04/03/2022,40000.0
03/03/2022,40000.0
02/03/2022,39400.0
01/03/2022,40500.0
28/02/2022,40800.0
25/02/2022,40600.0
24/02/2022,38400.0
23/02/2022,37950.0
22/02/2022,37650.0
21/02/2022,38600.0
18/02/2022,37200.0
17/02/2022,36450.0
16/02/2022,36650.0
15/02/2022,35800.0
14/02/2022,35500.0
11/02/2022,37600.0
10/02/2022,37450.0
09/02/2022,37950.0
08/02/2022,36550.0
07/02/2022,35600.0
28/01/2022,34900.0
27/01/2022,35500.0
26/01/2022,34700.0
25/01/2022,33800.0
24/01/2022,35550.0
21/01/2022,38200.0
20/01/2022,39600.0
19/01/2022,38600.0
18/01/2022,38550.0
17/01/2022,41400.0
14/01/2022,44500.0
13/01/2022,43300.0
12/01/2022,44900.0
11/01/2022,42000.0
10/01/2022,44650.0
07/01/2022,48000.0
06/01/2022,49200.0
05/01/2022,49900.0
04/01/2022,47800.0
31/12/2021,46350.0
30/12/2021,46050.0
29/12/2021,43050.0
28/12/2021,40250.0
27/12/2021,40100.0
24/12/2021,39700.0
23/12/2021,38300.0
22/12/2021,40800.0
21/12/2021,41750.0
20/12/2021,42650.0
17/12/2021,41400.0
16/12/2021,39100.0
15/12/2021,40100.0
14/12/2021,40750.0
13/12/2021,40600.0
10/12/2021,39600.0
09/12/2021,40600.0
08/12/2021,39500.0
07/12/2021,38500.0
06/12/2021,38000.0
03/12/2021,40850.0
02/12/2021,43900.0
01/12/2021,44600.0
30/11/2021,46000.0
29/11/2021,47400.0
26/11/2021,47000.0
25/11/2021,47500.0
24/11/2021,45000.0
23/11/2021,44500.0
22/11/2021,42600.0
19/11/2021,44500.0
18/11/2021,45750.0
17/11/2021,42800.0
16/11/2021,43000.0
15/11/2021,42000.0
12/11/2021,40650.0
11/11/2021,38000.0
10/11/2021,36250.0
09/11/2021,36200.0
08/11/2021,34700.0
05/11/2021,32450.000000000004
04/11/2021,31650.0
03/11/2021,29600.0
02/11/2021,31700.0
01/11/2021,30850.0
29/10/2021,28850.0
28/10/2021,28700.0
27/10/2021,28000.0
26/10/2021,27700.0
25/10/2021,27300.0
22/10/2021,27300.0
21/10/2021,28300.0
20/10/2021,28750.0
19/10/2021,29600.0
18/10/2021,29200.0
15/10/2021,28500.0
14/10/2021,28600.0
13/10/2021,28200.0
12/10/2021,28500.0
11/10/2021,28700.0
08/10/2021,28250.0
07/10/2021,28450.0
06/10/2021,27900.0
05/10/2021,27900.0
04/10/2021,26100.0
01/10/2021,26400.0
30/09/2021,27100.0
29/09/2021,27000.0
28/09/2021,27600.0
27/09/2021,26300.0
24/09/2021,27600.0
23/09/2021,28150.0
22/09/2021,28150.0
21/09/2021,28000.0
20/09/2021,28800.0
17/09/2021,29600.0
16/09/2021,28400.0
15/09/2021,28450.0
14/09/2021,27800.0
13/09/2021,29100.0
10/09/2021,30150.0
09/09/2021,30700.0
08/09/2021,30500.0
07/09/2021,31600.0
06/09/2021,32000.0
01/09/2021,30350.0
31/08/2021,29400.0
30/08/2021,29750.0
27/08/2021,29300.0
26/08/2021,28600.0
25/08/2021,28900.0
24/08/2021,28250.0
23/08/2021,30350.0
20/08/2021,28400.0
19/08/2021,26850.0
18/08/2021,25100.0
17/08/2021,24800.0
16/08/2021,24600.0
13/08/2021,23000.0
12/08/2021,22500.0
11/08/2021,22500.0
10/08/2021,23000.0
09/08/2021,22950.0
06/08/2021,21900.0
05/08/2021,22450.0
04/08/2021,22300.0
03/08/2021,22300.0
02/08/2021,21500.0
30/07/2021,21700.0
29/07/2021,21200.0
28/07/2021,20450.0
27/07/2021,20600.0
26/07/2021,20350.0
23/07/2021,20200.0
22/07/2021,20400.0
21/07/2021,20000.0
20/07/2021,20600.0
19/07/2021,19300.0
16/07/2021,20700.0
15/07/2021,21050.0
14/07/2021,19700.0
13/07/2021,20300.0
12/07/2021,19950.0
09/07/2021,21400.0
08/07/2021,23000.0
07/07/2021,23800.0
06/07/2021,23550.0
05/07/2021,25300.0
02/07/2021,25900.0
01/07/2021,24800.0
30/06/2021,23200.0
29/06/2021,24000.0
28/06/2021,24150.0
25/06/2021,23900.0
24/06/2021,23100.0
23/06/2021,22300.0
22/06/2021,22000.0
21/06/2021,21900.0
18/06/2021,22000.0
17/06/2021,22000.0
16/06/2021,22300.0
15/06/2021,22850.0
14/06/2021,22600.0
11/06/2021,21500.0
10/06/2021,21200.0
09/06/2021,22200.0
08/06/2021,20800.0
07/06/2021,22350.0
04/06/2021,24000.0
03/06/2021,22550.0
02/06/2021,21100.0
01/06/2021,20350.0
31/05/2021,19050.0
28/05/2021,17850.0
27/05/2021,16700.0
26/05/2021,17400.0
25/05/2021,17250.0
24/05/2021,16550.0
21/05/2021,16200.0
20/05/2021,15900.0
19/05/2021,14900.0
18/05/2021,15050.0
17/05/2021,15400.0
14/05/2021,15750.0
13/05/2021,15650.0
12/05/2021,15500.0
11/05/2021,15450.0
10/05/2021,15500.0
07/05/2021,14750.0
06/05/2021,15150.0
05/05/2021,15450.0
04/05/2021,14450.0
29/04/2021,14600.0
28/04/2021,14600.0
27/04/2021,14600.0
26/04/2021,15000.0
23/04/2021,15900.0
22/04/2021,15400.0
20/04/2021,16550.0
19/04/2021,16750.0
16/04/2021,16550.0
15/04/2021,17100.0
14/04/2021,17350.0
13/04/2021,17200.0
12/04/2021,17550.0
09/04/2021,17000.0
08/04/2021,17200.0
07/04/2021,17250.0
06/04/2021,17150.0
05/04/2021,17550.0
02/04/2021,17300.0
01/04/2021,17200.0
31/03/2021,16550.0
30/03/2021,16250.0
29/03/2021,16000.0
26/03/2021,15650.0
25/03/2021,15350.0
24/03/2021,15550.0
23/03/2021,16300.0
22/03/2021,16850.0
19/03/2021,17250.0
18/03/2021,17200.0
17/03/2021,16800.0
16/03/2021,16400.0
15/03/2021,16900.0
12/03/2021,16800.0
11/03/2021,16650.0
10/03/2021,15600.0
09/03/2021,15600.0
08/03/2021,15750.0
05/03/2021,15400.0
04/03/2021,14750.0
03/03/2021,15550.0
02/03/2021,15450.0
01/03/2021,15700.0
26/02/2021,14950.0
25/02/2021,15100.0
24/02/2021,15200.0
23/02/2021,14850.0
22/02/2021,14500.0
19/02/2021,14500.0
18/02/2021,14500.0
17/02/2021,15000.0
09/02/2021,14600.0
08/02/2021,14100.0
05/02/2021,14550.0
04/02/2021,13600.0
03/02/2021,12750.0
02/02/2021,11950.0
01/02/2021,12000.0
29/01/2021,12850.0
28/01/2021,12700.0
27/01/2021,13650.0
26/01/2021,14650.0
25/01/2021,15750.0
22/01/2021,16000.0
21/01/2021,16700.0
20/01/2021,16000.0
19/01/2021,16650.0
18/01/2021,17850.0
15/01/2021,18200.0
14/01/2021,17200.0
13/01/2021,16100.000000000002
12/01/2021,17050.0
11/01/2021,17100.0
08/01/2021,17500.0
07/01/2021,17850.0
06/01/2021,17800.0
05/01/2021,17950.0
04/01/2021,16900.0
31/12/2020,15800.0
30/12/2020,14800.0
29/12/2020,15400.0
28/12/2020,15100.0
25/12/2020,14150.0
24/12/2020,13250.0
23/12/2020,13000.0
22/12/2020,13300.0
21/12/2020,12450.0
18/12/2020,11650.0
17/12/2020,11100.0
16/12/2020,11000.0
15/12/2020,11000.0
14/12/2020,11100.0
11/12/2020,10400.0
10/12/2020,9900.0
09/12/2020,10400.0
08/12/2020,9760.0
07/12/2020,9500.0
04/12/2020,9250.0
03/12/2020,9410.0
02/12/2020,9200.0
01/12/2020,8600.0
30/11/2020,8560.0
27/11/2020,8700.0
26/11/2020,8650.0
25/11/2020,8370.0
24/11/2020,8500.0
23/11/2020,8790.0
20/11/2020,8580.0
19/11/2020,8900.0
18/11/2020,8420.0
17/11/2020,7870.0
16/11/2020,7360.0
13/11/2020,7220.0
12/11/2020,7270.0
11/11/2020,7280.0
10/11/2020,7300.0
09/11/2020,7200.0
06/11/2020,7170.0
05/11/2020,7190.0
04/11/2020,7250.0
03/11/2020,7190.0
02/11/2020,7150.0
30/10/2020,7150.0
29/10/2020,7150.0
28/10/2020,7100.0
27/10/2020,7340.0
26/10/2020,7410.0
23/10/2020,7540.0
22/10/2020,7600.0
21/10/2020,7670.0
20/10/2020,7740.0
19/10/2020,7750.0
16/10/2020,7600.0
15/10/2020,7560.0
14/10/2020,7600.0
13/10/2020,7560.0
12/10/2020,7560.0
09/10/2020,7700.0
08/10/2020,7760.0
07/10/2020,7770.0
06/10/2020,7880.0
05/10/2020,7900.0
02/10/2020,7880.0
01/10/2020,7800.0
30/09/2020,7480.0
29/09/2020,7500.0
28/09/2020,7530.0
25/09/2020,7510.0
24/09/2020,7550.0
23/09/2020,7550.0
22/09/2020,7570.0
21/09/2020,7710.0
18/09/2020,7680.0
17/09/2020,7460.0
16/09/2020,7390.0
15/09/2020,7430.0
14/09/2020,7350.0
11/09/2020,7300.0
10/09/2020,7260.0
09/09/2020,7250.0
08/09/2020,7300.0
07/09/2020,7310.0
04/09/2020,7270.0
03/09/2020,6800.0
01/09/2020,6800.0
31/08/2020,6750.0
28/08/2020,6800.0
27/08/2020,6790.0
26/08/2020,6770.0
25/08/2020,6750.0
24/08/2020,6750.0
21/08/2020,6650.0
20/08/2020,6520.0
19/08/2020,6500.0
18/08/2020,6370.0
17/08/2020,6380.0
14/08/2020,6380.0
13/08/2020,6480.0
12/08/2020,6400.0
11/08/2020,6440.0
10/08/2020,6440.0
07/08/2020,6410.0
06/08/2020,6410.0
05/08/2020,6400.0
04/08/2020,6350.0
03/08/2020,6370.0
31/07/2020,6280.0
30/07/2020,6300.0
29/07/2020,6280.0
28/07/2020,6400.0
27/07/2020,6230.0
24/07/2020,6690.0
23/07/2020,7190.0
22/07/2020,7200.0
21/07/2020,7260.0
20/07/2020,7250.0
17/07/2020,7350.0
16/07/2020,7320.0
15/07/2020,7390.0
14/07/2020,7370.0
13/07/2020,7370.0
10/07/2020,7370.0
09/07/2020,7400.0
08/07/2020,7380.0
07/07/2020,7380.0
06/07/2020,7380.0
03/07/2020,7370.0
02/07/2020,7380.0
01/07/2020,7400.0
30/06/2020,7300.0
29/06/2020,7300.0
26/06/2020,7650.0
25/06/2020,7690.0
24/06/2020,7590.0
23/06/2020,7550.0
22/06/2020,7390.0
19/06/2020,7150.0
18/06/2020,7100.0
17/06/2020,7050.0
16/06/2020,7110.0
15/06/2020,6800.0
12/06/2020,7190.0
11/06/2020,7400.0
10/06/2020,7750.0
09/06/2020,7750.0
08/06/2020,7980.0
05/06/2020,7600.0
04/06/2020,7320.0
