Date,Closing price
31/05/2022,8070.0
30/05/2022,8070.0
27/05/2022,7770.0
26/05/2022,7750.0
25/05/2022,7710.0
24/05/2022,7410.0
23/05/2022,7520.0
20/05/2022,7560.0
19/05/2022,7690.0
18/05/2022,7800.0
17/05/2022,7980.0
16/05/2022,7500.0
13/05/2022,7490.0
12/05/2022,8050.000000000001
11/05/2022,8650.0
10/05/2022,8090.0
09/05/2022,7570.0
06/05/2022,8130.000000000001
05/05/2022,8450.0
04/05/2022,8700.0
29/04/2022,9050.0
28/04/2022,8460.0
27/04/2022,7930.0
26/04/2022,7420.0
25/04/2022,6940.0
22/04/2022,7460.0
21/04/2022,7650.0
20/04/2022,8220.0
19/04/2022,8830.0
18/04/2022,9490.0
15/04/2022,10200.0
14/04/2022,10700.0
13/04/2022,10600.0
12/04/2022,10550.0
08/04/2022,11100.0
07/04/2022,11500.0
06/04/2022,11850.0
05/04/2022,12400.0
04/04/2022,12800.0
01/04/2022,12650.0
31/03/2022,12700.0
30/03/2022,12950.0
29/03/2022,13700.0
28/03/2022,13100.0
25/03/2022,13850.0
24/03/2022,14000.0
23/03/2022,13600.0
22/03/2022,14000.0
21/03/2022,13800.0
18/03/2022,14100.0
17/03/2022,13200.0
16/03/2022,13350.0
15/03/2022,13200.0
14/03/2022,13450.0
11/03/2022,14450.0
10/03/2022,13550.0
09/03/2022,12700.0
08/03/2022,12800.0
07/03/2022,13050.0
04/03/2022,12950.0
03/03/2022,12950.0
02/03/2022,12900.0
01/03/2022,13000.0
28/02/2022,13050.0
25/02/2022,13100.0
24/02/2022,13150.0
23/02/2022,13600.0
22/02/2022,13400.0
21/02/2022,12550.0
18/02/2022,12700.0
17/02/2022,12550.0
16/02/2022,12700.0
15/02/2022,12600.0
14/02/2022,13000.0
11/02/2022,13200.0
10/02/2022,12350.0
09/02/2022,11550.0
08/02/2022,10800.0
07/02/2022,10850.0
28/01/2022,10500.0
27/01/2022,10500.0
26/01/2022,10900.0
25/01/2022,11000.0
24/01/2022,10500.0
21/01/2022,11250.0
20/01/2022,10550.0
19/01/2022,9860.0
18/01/2022,10600.0
17/01/2022,11350.0
14/01/2022,12200.0
13/01/2022,13050.0
12/01/2022,14000.0
11/01/2022,14650.0
10/01/2022,15250.0
07/01/2022,16350.000000000002
06/01/2022,16600.0
05/01/2022,16400.0
04/01/2022,16350.000000000002
31/12/2021,15300.0
30/12/2021,14950.0
29/12/2021,15050.0
28/12/2021,15100.0
27/12/2021,15100.0
24/12/2021,15250.0
23/12/2021,15350.0
22/12/2021,15800.0
21/12/2021,16149.999999999998
20/12/2021,15800.0
17/12/2021,14800.0
16/12/2021,14350.0
15/12/2021,14750.0
14/12/2021,14800.0
13/12/2021,15200.0
10/12/2021,14950.0
09/12/2021,15150.0
08/12/2021,15000.0
07/12/2021,15700.0
06/12/2021,14750.0
03/12/2021,15850.0
02/12/2021,17000.0
01/12/2021,17650.0
30/11/2021,18100.0
29/11/2021,17000.0
26/11/2021,17000.0
25/11/2021,17500.0
24/11/2021,17500.0
23/11/2021,16400.0
22/11/2021,15350.0
19/11/2021,15150.0
18/11/2021,14200.0
17/11/2021,13300.0
16/11/2021,12450.0
15/11/2021,11650.0
12/11/2021,10900.0
11/11/2021,10200.0
10/11/2021,9540.0
09/11/2021,8920.0
08/11/2021,8340.0
05/11/2021,7800.0
04/11/2021,7710.0
03/11/2021,7650.0
02/11/2021,7240.0
01/11/2021,7050.0
29/10/2021,6780.0
28/10/2021,6770.0
27/10/2021,6730.0
26/10/2021,6520.0
25/10/2021,6500.0
22/10/2021,6360.0
21/10/2021,6410.0
20/10/2021,6400.0
19/10/2021,6100.0
18/10/2021,6130.0
15/10/2021,6170.0
14/10/2021,6220.0
13/10/2021,6150.0
12/10/2021,6190.0
11/10/2021,6170.0
08/10/2021,6250.0
07/10/2021,6300.0
06/10/2021,6200.0
05/10/2021,6120.0
04/10/2021,6130.0
01/10/2021,6130.0
30/09/2021,6120.0
29/09/2021,6060.0
28/09/2021,5900.0
27/09/2021,5750.0
24/09/2021,6150.0
23/09/2021,6560.0
22/09/2021,6950.0
21/09/2021,6500.0
20/09/2021,6170.0
17/09/2021,5770.0
16/09/2021,5730.0
15/09/2021,5860.0
14/09/2021,5700.0
13/09/2021,5530.0
10/09/2021,5500.0
09/09/2021,5430.0
08/09/2021,5470.0
07/09/2021,5540.0
06/09/2021,5630.0
01/09/2021,5470.0
31/08/2021,5380.0
30/08/2021,5480.0
27/08/2021,5300.0
26/08/2021,5320.0
25/08/2021,5410.0
24/08/2021,5540.0
23/08/2021,5700.0
20/08/2021,5660.0
19/08/2021,5430.0
18/08/2021,5390.0
17/08/2021,5420.0
16/08/2021,5450.0
13/08/2021,5460.0
12/08/2021,5580.0
11/08/2021,5640.0
10/08/2021,5410.0
09/08/2021,5410.0
06/08/2021,5390.0
05/08/2021,5340.0
