Date,Closing price
31/05/2022,9350.0
30/05/2022,9220.0
27/05/2022,9220.0
26/05/2022,8870.0
25/05/2022,8910.0
24/05/2022,8690.0
23/05/2022,8770.0
20/05/2022,8880.0
19/05/2022,8880.0
18/05/2022,8900.0
17/05/2022,8790.0
16/05/2022,8220.0
13/05/2022,8830.0
12/05/2022,9490.0
11/05/2022,10200.0
10/05/2022,10000.0
09/05/2022,9960.0
06/05/2022,10700.0
05/05/2022,11450.0
04/05/2022,11750.0
29/04/2022,11600.0
28/04/2022,11600.0
27/04/2022,11650.0
26/04/2022,10900.0
25/04/2022,10200.0
22/04/2022,10900.0
21/04/2022,10600.0
20/04/2022,10600.0
19/04/2022,11250.0
18/04/2022,12050.0
15/04/2022,12950.0
14/04/2022,13250.0
13/04/2022,13500.0
12/04/2022,12800.0
08/04/2022,12900.0
07/04/2022,12650.0
06/04/2022,13100.0
05/04/2022,13300.0
04/04/2022,13450.0
01/04/2022,13050.0
31/03/2022,12800.0
30/03/2022,12950.0
29/03/2022,13750.0
28/03/2022,13500.0
25/03/2022,14150.0
24/03/2022,14000.0
23/03/2022,13900.0
22/03/2022,13850.0
21/03/2022,13900.0
18/03/2022,14300.0
17/03/2022,14400.0
16/03/2022,14300.0
15/03/2022,14200.0
14/03/2022,14750.0
11/03/2022,14200.0
10/03/2022,14100.0
09/03/2022,13550.0
08/03/2022,13800.0
07/03/2022,12900.0
04/03/2022,13600.0
03/03/2022,13400.0
02/03/2022,13700.0
01/03/2022,13700.0
28/02/2022,14100.0
25/02/2022,13400.0
24/02/2022,12550.0
23/02/2022,13300.0
22/02/2022,13450.0
21/02/2022,12600.0
18/02/2022,12300.0
17/02/2022,11500.0
16/02/2022,10750.0
15/02/2022,11000.0
14/02/2022,11250.0
11/02/2022,11050.0
10/02/2022,11100.0
09/02/2022,10850.0
08/02/2022,11200.0
07/02/2022,10500.0
28/01/2022,9840.0
27/01/2022,9610.0
26/01/2022,9570.0
25/01/2022,9910.0
24/01/2022,9620.0
21/01/2022,10150.0
20/01/2022,10000.0
19/01/2022,9570.0
18/01/2022,9500.0
17/01/2022,10100.0
14/01/2022,10850.0
13/01/2022,10850.0
12/01/2022,11650.0
11/01/2022,11700.0
10/01/2022,12350.0
07/01/2022,12800.0
06/01/2022,12000.0
05/01/2022,11850.0
04/01/2022,12000.0
31/12/2021,11950.0
30/12/2021,12350.0
29/12/2021,11600.0
28/12/2021,12000.0
27/12/2021,11950.0
24/12/2021,12400.0
23/12/2021,12300.0
22/12/2021,11500.0
21/12/2021,10750.0
20/12/2021,10900.0
17/12/2021,11100.0
16/12/2021,10700.0
15/12/2021,10400.0
14/12/2021,10550.0
13/12/2021,10350.0
10/12/2021,10150.0
09/12/2021,10050.0
08/12/2021,10100.0
07/12/2021,10050.0
06/12/2021,9840.0
03/12/2021,10350.0
02/12/2021,10800.0
01/12/2021,10700.0
30/11/2021,10000.0
29/11/2021,10050.0
26/11/2021,10100.0
25/11/2021,10400.0
24/11/2021,10450.0
23/11/2021,10400.0
22/11/2021,10450.0
19/11/2021,11200.0
18/11/2021,10700.0
17/11/2021,10450.0
16/11/2021,10400.0
15/11/2021,10650.0
12/11/2021,10750.0
11/11/2021,10050.0
10/11/2021,9980.0
09/11/2021,9990.0
08/11/2021,9950.0
05/11/2021,9910.0
04/11/2021,9540.0
03/11/2021,10250.0
02/11/2021,10250.0
01/11/2021,9620.0
29/10/2021,9300.0
28/10/2021,9380.0
27/10/2021,9400.0
26/10/2021,9100.0
25/10/2021,9130.0
22/10/2021,9140.0
21/10/2021,9140.0
20/10/2021,9190.0
19/10/2021,9070.0
18/10/2021,8970.0
15/10/2021,9020.0
14/10/2021,9020.0
13/10/2021,8960.0
12/10/2021,9000.0
11/10/2021,8930.0
08/10/2021,9600.0
07/10/2021,9600.0
06/10/2021,9050.0
05/10/2021,8920.0
04/10/2021,8850.0
