Date,Closing price
31/05/2022,26000.0
30/05/2022,26200.0
27/05/2022,26200.0
26/05/2022,25300.0
25/05/2022,23650.0
24/05/2022,23250.0
23/05/2022,23200.0
20/05/2022,23800.0
19/05/2022,22950.0
18/05/2022,22850.0
17/05/2022,22450.0
16/05/2022,21000.0
13/05/2022,21850.0
12/05/2022,23450.0
11/05/2022,25200.0
10/05/2022,24900.0
09/05/2022,25900.0
06/05/2022,27800.0
05/05/2022,28950.0
04/05/2022,28950.0
29/04/2022,31100.0
28/04/2022,31000.0
27/04/2022,30700.0
26/04/2022,29000.0
25/04/2022,28550.0
22/04/2022,30650.0
21/04/2022,29900.0
20/04/2022,29500.0
19/04/2022,31300.0
18/04/2022,32700.000000000004
15/04/2022,35000.0
14/04/2022,35850.0
13/04/2022,35800.0
12/04/2022,35600.0
08/04/2022,36450.0
07/04/2022,37500.0
06/04/2022,38450.0
05/04/2022,39000.0
04/04/2022,74800.0
01/04/2022,74600.0
31/03/2022,75000.0
30/03/2022,75100.0
29/03/2022,75800.0
28/03/2022,76300.0
25/03/2022,78200.0
24/03/2022,78100.0
23/03/2022,77000.0
22/03/2022,74900.0
21/03/2022,74000.0
18/03/2022,73900.0
17/03/2022,74400.0
16/03/2022,74300.0
15/03/2022,73700.0
14/03/2022,74400.0
11/03/2022,73000.0
10/03/2022,73200.0
09/03/2022,73500.0
08/03/2022,74900.0
07/03/2022,78500.0
04/03/2022,78000.0
03/03/2022,79500.0
02/03/2022,77000.0
01/03/2022,78000.0
28/02/2022,76800.0
25/02/2022,78100.0
24/02/2022,76800.0
23/02/2022,79100.0
22/02/2022,79400.0
21/02/2022,77500.0
18/02/2022,76900.0
17/02/2022,76500.0
16/02/2022,77300.0
15/02/2022,74000.0
14/02/2022,74000.0
11/02/2022,74000.0
10/02/2022,72100.0
09/02/2022,71000.0
08/02/2022,71500.0
07/02/2022,70300.0
28/01/2022,71500.0
27/01/2022,72000.0
26/01/2022,73300.0
25/01/2022,73700.0
24/01/2022,73000.0
21/01/2022,76400.0
20/01/2022,74000.0
19/01/2022,72000.0
18/01/2022,72000.0
17/01/2022,71700.0
14/01/2022,71900.0
13/01/2022,71400.0
12/01/2022,72000.0
11/01/2022,71000.0
10/01/2022,71600.0
07/01/2022,74800.0
06/01/2022,74100.0
05/01/2022,74500.0
04/01/2022,74000.0
31/12/2021,73000.0
30/12/2021,72000.0
29/12/2021,71500.0
28/12/2021,73000.0
27/12/2021,70700.0
24/12/2021,71400.0
23/12/2021,70400.0
22/12/2021,72500.0
21/12/2021,74500.0
20/12/2021,72300.0
17/12/2021,75500.0
16/12/2021,76500.0
15/12/2021,76100.0
14/12/2021,78300.0
13/12/2021,79100.0
10/12/2021,79500.0
09/12/2021,76400.0
08/12/2021,76200.0
07/12/2021,75200.0
06/12/2021,73900.0
03/12/2021,74900.0
02/12/2021,78200.0
01/12/2021,78000.0
30/11/2021,78300.0
29/11/2021,79500.0
26/11/2021,76800.0
25/11/2021,75000.0
24/11/2021,75500.0
23/11/2021,70600.0
22/11/2021,66000.0
19/11/2021,65000.0
18/11/2021,67800.0
17/11/2021,68400.0
16/11/2021,68000.0
15/11/2021,68100.0
12/11/2021,69500.0
11/11/2021,69400.0
10/11/2021,68000.0
09/11/2021,65700.0
08/11/2021,66200.0
05/11/2021,63800.0
04/11/2021,59700.0
03/11/2021,59500.0
02/11/2021,60800.0
01/11/2021,59500.0
29/10/2021,60200.0
28/10/2021,61000.0
27/10/2021,61400.0
26/10/2021,60900.0
25/10/2021,58500.0
22/10/2021,57500.0
21/10/2021,56800.0
20/10/2021,56200.0
19/10/2021,56100.0
18/10/2021,56400.0
15/10/2021,56800.0
14/10/2021,57000.0
13/10/2021,56800.0
12/10/2021,57200.0
11/10/2021,56800.0
08/10/2021,58600.0
07/10/2021,59000.0
06/10/2021,58400.0
05/10/2021,58800.0
