Date,Closing price
31/05/2022,27050.0
30/05/2022,27000.0
27/05/2022,27000.0
26/05/2022,27200.0
25/05/2022,26750.0
24/05/2022,26700.0
23/05/2022,26800.0
20/05/2022,26800.0
19/05/2022,26800.0
18/05/2022,27000.0
17/05/2022,27000.0
16/05/2022,27000.0
13/05/2022,28000.0
12/05/2022,28150.0
11/05/2022,28500.0
10/05/2022,29500.0
09/05/2022,28000.0
06/05/2022,29400.0
05/05/2022,30000.0
04/05/2022,29400.0
29/04/2022,29950.0
28/04/2022,28800.0
27/04/2022,28900.0
26/04/2022,28900.0
25/04/2022,27900.0
22/04/2022,30000.0
21/04/2022,29000.0
20/04/2022,30000.0
19/04/2022,30000.0
18/04/2022,31900.0
15/04/2022,33250.0
14/04/2022,34000.0
13/04/2022,34000.0
12/04/2022,34750.0
08/04/2022,34850.0
07/04/2022,34850.0
06/04/2022,35300.0
05/04/2022,35350.0
04/04/2022,35500.0
01/04/2022,35500.0
31/03/2022,35200.0
30/03/2022,34500.0
29/03/2022,36200.0
28/03/2022,36950.0
25/03/2022,37000.0
24/03/2022,36000.0
23/03/2022,35300.0
22/03/2022,35600.0
21/03/2022,35300.0
18/03/2022,35500.0
17/03/2022,36000.0
16/03/2022,36200.0
15/03/2022,36500.0
14/03/2022,36150.0
11/03/2022,36150.0
10/03/2022,37500.0
09/03/2022,38000.0
08/03/2022,36450.0
07/03/2022,37000.0
04/03/2022,38000.0
03/03/2022,38000.0
02/03/2022,38700.0
01/03/2022,39300.0
28/02/2022,40250.0
25/02/2022,38200.0
24/02/2022,37300.0
23/02/2022,38200.0
22/02/2022,38500.0
21/02/2022,38800.0
18/02/2022,39000.0
17/02/2022,38200.0
16/02/2022,38400.0
15/02/2022,38400.0
14/02/2022,38500.0
11/02/2022,38800.0
10/02/2022,38800.0
09/02/2022,38800.0
08/02/2022,38550.0
07/02/2022,38400.0
28/01/2022,40200.0
27/01/2022,37600.0
26/01/2022,37200.0
25/01/2022,36800.0
24/01/2022,36850.0
21/01/2022,38000.0
20/01/2022,38200.0
19/01/2022,37900.0
18/01/2022,38400.0
17/01/2022,38000.0
14/01/2022,38800.0
13/01/2022,38600.0
12/01/2022,38000.0
11/01/2022,39000.0
10/01/2022,39700.0
07/01/2022,40350.0
06/01/2022,40400.0
05/01/2022,39500.0
04/01/2022,39450.0
31/12/2021,39800.0
30/12/2021,40500.0
29/12/2021,40800.0
28/12/2021,40500.0
27/12/2021,40250.0
24/12/2021,39300.0
23/12/2021,39950.0
22/12/2021,40050.0
21/12/2021,41300.0
20/12/2021,43900.0
17/12/2021,44800.0
16/12/2021,44500.0
15/12/2021,42800.0
14/12/2021,40000.0
13/12/2021,38650.0
10/12/2021,38900.0
09/12/2021,39400.0
08/12/2021,39450.0
07/12/2021,39000.0
06/12/2021,39200.0
03/12/2021,41500.0
02/12/2021,43800.0
01/12/2021,43500.0
30/11/2021,44900.0
29/11/2021,45250.0
26/11/2021,43500.0
25/11/2021,40700.0
24/11/2021,40200.0
23/11/2021,40200.0
22/11/2021,39050.0
19/11/2021,40200.0
18/11/2021,41100.0
17/11/2021,40800.0
16/11/2021,40900.0
15/11/2021,41300.0
12/11/2021,41200.0
11/11/2021,41000.0
10/11/2021,41500.0
09/11/2021,41000.0
08/11/2021,39100.0
05/11/2021,39000.0
04/11/2021,39000.0
03/11/2021,37600.0
02/11/2021,39450.0
01/11/2021,36900.0
