Date,Closing price
31/05/2022,37250.0
30/05/2022,34850.0
27/05/2022,35300.0
26/05/2022,35300.0
25/05/2022,36450.0
24/05/2022,34100.0
23/05/2022,33300.0
20/05/2022,32600.0
19/05/2022,31400.0
18/05/2022,29850.0
17/05/2022,27900.0
16/05/2022,26100.0
13/05/2022,28050.0
12/05/2022,30150.0
11/05/2022,32400.0
10/05/2022,31000.0
09/05/2022,33300.0
06/05/2022,35800.0
05/05/2022,36500.0
04/05/2022,35950.0
29/04/2022,38650.0
28/04/2022,38000.0
27/04/2022,36700.0
26/04/2022,38000.0
25/04/2022,35900.0
22/04/2022,38550.0
21/04/2022,41400.0
20/04/2022,41500.0
19/04/2022,44500.0
18/04/2022,43500.0
15/04/2022,42750.0
14/04/2022,43650.0
13/04/2022,40800.0
12/04/2022,39500.0
08/04/2022,39750.0
07/04/2022,41250.0
06/04/2022,39700.0
05/04/2022,42400.0
04/04/2022,41900.0
01/04/2022,44100.0
31/03/2022,42950.0
30/03/2022,44500.0
29/03/2022,47800.0
28/03/2022,48450.0
25/03/2022,46600.0
24/03/2022,45200.0
23/03/2022,44900.0
22/03/2022,44450.0
21/03/2022,42600.0
18/03/2022,42400.0
17/03/2022,40800.0
16/03/2022,43800.0
15/03/2022,42800.0
14/03/2022,43250.0
11/03/2022,46500.0
10/03/2022,44850.0
09/03/2022,44550.0
08/03/2022,42200.0
07/03/2022,43100.0
04/03/2022,40300.0
03/03/2022,39800.0
02/03/2022,39000.0
01/03/2022,36900.0
28/02/2022,37000.0
25/02/2022,34600.0
24/02/2022,34450.0
23/02/2022,32200.000000000004
22/02/2022,30100.0
21/02/2022,31200.0
18/02/2022,30700.0
17/02/2022,30500.0
16/02/2022,30700.0
15/02/2022,29800.0
14/02/2022,29300.0
11/02/2022,30450.0
10/02/2022,29750.0
09/02/2022,28700.0
08/02/2022,28500.0
07/02/2022,28000.0
28/01/2022,27000.0
27/01/2022,26900.0
26/01/2022,26150.0
25/01/2022,26650.0
24/01/2022,26250.0
21/01/2022,28200.0
20/01/2022,28950.0
19/01/2022,29400.0
18/01/2022,29100.0
17/01/2022,27200.0
14/01/2022,28950.0
13/01/2022,31100.0
12/01/2022,31200.0
11/01/2022,31800.0
10/01/2022,32650.0
07/01/2022,35100.0
06/01/2022,36800.0
05/01/2022,37200.0
04/01/2022,37100.0
31/12/2021,36700.0
