Date,Closing price
31/05/2022,128000.0
30/05/2022,127000.0
27/05/2022,127000.0
26/05/2022,121900.0
25/05/2022,119800.0
24/05/2022,112000.0
23/05/2022,108200.0
20/05/2022,108000.0
19/05/2022,106900.0
18/05/2022,106600.0
17/05/2022,99700.0
16/05/2022,93200.0
13/05/2022,100200.0
12/05/2022,107700.0
11/05/2022,115800.0
10/05/2022,117000.0
09/05/2022,115900.0
06/05/2022,124600.0
05/05/2022,133900.0
04/05/2022,136600.0
29/04/2022,139000.0
28/04/2022,135000.0
27/04/2022,134100.0
26/04/2022,130000.0
25/04/2022,132000.0
22/04/2022,141900.0
21/04/2022,152500.0
20/04/2022,148000.0
19/04/2022,158000.0
18/04/2022,155500.0
15/04/2022,145400.0
14/04/2022,144700.0
13/04/2022,137800.0
12/04/2022,132800.0
08/04/2022,137500.0
07/04/2022,137200.0
06/04/2022,147500.0
05/04/2022,146600.0
04/04/2022,146600.0
01/04/2022,147400.0
31/03/2022,142000.0
30/03/2022,146200.0
29/03/2022,142000.0
28/03/2022,148000.0
25/03/2022,141800.0
24/03/2022,132600.0
23/03/2022,131700.0
22/03/2022,123100.0
21/03/2022,126500.0
18/03/2022,124600.0
17/03/2022,125000.0
16/03/2022,116900.0
15/03/2022,112500.0
14/03/2022,114200.0
11/03/2022,119000.0
10/03/2022,120400.0
09/03/2022,118000.0
08/03/2022,118700.0
07/03/2022,119300.0
04/03/2022,121300.0
03/03/2022,123500.0
02/03/2022,123900.0
01/03/2022,127000.0
28/02/2022,122900.0
25/02/2022,120900.0
24/02/2022,113000.0
23/02/2022,111600.0
22/02/2022,111900.0
21/02/2022,113500.0
18/02/2022,114000.0
17/02/2022,113100.0
16/02/2022,115000.0
15/02/2022,115900.0
14/02/2022,110300.0
11/02/2022,110000.0
10/02/2022,108000.0
09/02/2022,110000.0
08/02/2022,109500.0
07/02/2022,111100.0
28/01/2022,105000.0
27/01/2022,100000.0
26/01/2022,101600.0
25/01/2022,95000.0
24/01/2022,88800.0
21/01/2022,95400.0
20/01/2022,102500.0
19/01/2022,110200.0
18/01/2022,111500.0
17/01/2022,117600.0
14/01/2022,123000.0
13/01/2022,121600.0
12/01/2022,121000.0
11/01/2022,120100.0
10/01/2022,121800.0
07/01/2022,125000.0
06/01/2022,123200.0
05/01/2022,125000.0
04/01/2022,126500.0
31/12/2021,123900.0
30/12/2021,124200.0
29/12/2021,126900.0
28/12/2021,129000.0
27/12/2021,129800.00000000001
24/12/2021,121500.0
23/12/2021,118100.0
22/12/2021,121000.0
21/12/2021,122200.0
20/12/2021,123800.0
17/12/2021,124900.0
16/12/2021,122700.0
15/12/2021,123600.0
14/12/2021,123700.0
13/12/2021,127000.0
10/12/2021,129000.0
09/12/2021,130400.0
08/12/2021,126100.0
07/12/2021,129199.99999999999
06/12/2021,121000.0
03/12/2021,123600.0
02/12/2021,128000.0
01/12/2021,130000.0
30/11/2021,129000.0
29/11/2021,135900.0
26/11/2021,134500.0
25/11/2021,136400.0
24/11/2021,137300.0
23/11/2021,134500.0
22/11/2021,140000.0
19/11/2021,136000.0
18/11/2021,131000.0
17/11/2021,124900.0
16/11/2021,125500.0
15/11/2021,119500.0
12/11/2021,111700.0
11/11/2021,109600.0
10/11/2021,110400.0
09/11/2021,112000.0
08/11/2021,112000.0
05/11/2021,113800.0
04/11/2021,111000.0
03/11/2021,110000.0
02/11/2021,112200.0
01/11/2021,113500.0
29/10/2021,113500.0
28/10/2021,115000.0
27/10/2021,116400.0
26/10/2021,112300.0
25/10/2021,111900.0
22/10/2021,111600.0
21/10/2021,112900.0
20/10/2021,112800.0
19/10/2021,114400.0
18/10/2021,112300.0
15/10/2021,114300.0
14/10/2021,112800.0
13/10/2021,113900.0
12/10/2021,115700.0
11/10/2021,115700.0
08/10/2021,115900.0
07/10/2021,117000.0
06/10/2021,117900.0
05/10/2021,116500.0
04/10/2021,117000.0
01/10/2021,119900.0
30/09/2021,118700.0
29/09/2021,113200.0
28/09/2021,116000.0
27/09/2021,112000.0
24/09/2021,116200.0
23/09/2021,116500.0
22/09/2021,118000.0
21/09/2021,117200.0
20/09/2021,117000.0
17/09/2021,115000.0
16/09/2021,109700.0
15/09/2021,117500.0
14/09/2021,116700.0
13/09/2021,109100.0
10/09/2021,102000.0
09/09/2021,95700.0
08/09/2021,93000.0
07/09/2021,92800.0
06/09/2021,91200.0
01/09/2021,85300.0
31/08/2021,86700.0
30/08/2021,85300.0
27/08/2021,85300.0
26/08/2021,86000.0
25/08/2021,85000.0
24/08/2021,86800.0
23/08/2021,169000.0
20/08/2021,167600.0
19/08/2021,164000.0
18/08/2021,164000.0
17/08/2021,164400.0
16/08/2021,163000.0
13/08/2021,159700.0
12/08/2021,159600.0
