Date,Closing price
31/05/2022,70800.0
30/05/2022,71400.0
27/05/2022,71500.0
26/05/2022,72000.0
25/05/2022,72000.0
24/05/2022,71900.0
23/05/2022,72100.0
20/05/2022,74000.0
19/05/2022,73800.0
18/05/2022,74000.0
17/05/2022,73400.0
16/05/2022,73000.0
13/05/2022,73300.0
12/05/2022,74500.0
11/05/2022,75300.0
10/05/2022,75000.0
09/05/2022,72100.0
06/05/2022,77100.0
05/05/2022,77900.0
04/05/2022,77900.0
29/04/2022,80600.0
28/04/2022,80000.0
27/04/2022,80000.0
26/04/2022,81000.0
25/04/2022,77500.0
22/04/2022,81000.0
21/04/2022,83000.0
20/04/2022,82900.0
19/04/2022,84500.0
18/04/2022,83000.0
15/04/2022,82500.0
14/04/2022,79000.0
13/04/2022,80000.0
12/04/2022,78000.0
08/04/2022,82100.0
07/04/2022,83500.0
06/04/2022,83300.0
05/04/2022,85000.0
04/04/2022,85100.0
01/04/2022,82800.0
31/03/2022,79700.0
30/03/2022,79000.0
29/03/2022,73900.0
28/03/2022,73700.0
25/03/2022,74100.0
24/03/2022,73500.0
23/03/2022,74100.0
22/03/2022,73600.0
21/03/2022,73600.0
18/03/2022,73500.0
17/03/2022,73500.0
16/03/2022,73400.0
15/03/2022,73200.0
14/03/2022,73000.0
11/03/2022,74600.0
10/03/2022,73500.0
09/03/2022,75000.0
08/03/2022,77000.0
07/03/2022,78900.0
04/03/2022,78600.0
03/03/2022,79000.0
02/03/2022,79600.0
01/03/2022,81000.0
28/02/2022,80200.0
25/02/2022,79600.0
24/02/2022,80400.0
23/02/2022,81700.0
22/02/2022,80200.0
21/02/2022,80100.0
18/02/2022,78200.0
17/02/2022,78000.0
16/02/2022,78100.0
15/02/2022,78800.0
14/02/2022,78500.0
11/02/2022,79000.0
10/02/2022,78000.0
09/02/2022,78000.0
08/02/2022,77000.0
07/02/2022,75700.0
28/01/2022,78000.0
27/01/2022,76200.0
26/01/2022,76200.0
25/01/2022,73000.0
24/01/2022,76000.0
21/01/2022,78500.0
20/01/2022,80400.0
19/01/2022,79900.0
18/01/2022,79900.0
17/01/2022,80600.0
