Date,Closing price
31/05/2022,93900.0
30/05/2022,93500.0
27/05/2022,93800.0
26/05/2022,93000.0
25/05/2022,93000.0
24/05/2022,91600.0
23/05/2022,90500.0
20/05/2022,91000.0
19/05/2022,91400.0
18/05/2022,93000.0
17/05/2022,92000.0
16/05/2022,90500.0
13/05/2022,94000.0
12/05/2022,96500.0
11/05/2022,98000.0
10/05/2022,97400.0
09/05/2022,97400.0
06/05/2022,100800.0
05/05/2022,99000.0
04/05/2022,99500.0
29/04/2022,101100.0
28/04/2022,99900.0
27/04/2022,99300.0
26/04/2022,99700.0
25/04/2022,96000.0
22/04/2022,101700.0
21/04/2022,101600.0
20/04/2022,101600.0
19/04/2022,102000.0
18/04/2022,102000.0
15/04/2022,101900.0
14/04/2022,102100.0
13/04/2022,102800.0
12/04/2022,102000.0
08/04/2022,106200.0
07/04/2022,106700.0
06/04/2022,106800.0
05/04/2022,108000.0
04/04/2022,110300.0
01/04/2022,109400.0
31/03/2022,111200.0
30/03/2022,111000.0
29/03/2022,112000.0
28/03/2022,111500.0
25/03/2022,111300.0
24/03/2022,111300.0
23/03/2022,110400.0
22/03/2022,107500.0
21/03/2022,110100.0
18/03/2022,108800.0
17/03/2022,109000.0
16/03/2022,108700.0
15/03/2022,108700.0
14/03/2022,109300.0
11/03/2022,111900.0
10/03/2022,114400.0
09/03/2022,114500.0
08/03/2022,114500.0
07/03/2022,116700.0
04/03/2022,116000.0
03/03/2022,117900.0
02/03/2022,118000.0
01/03/2022,112100.0
28/02/2022,112500.0
25/02/2022,113800.0
24/02/2022,112700.0
23/02/2022,115000.0
22/02/2022,114000.0
21/02/2022,115000.0
18/02/2022,108900.0
17/02/2022,101900.0
16/02/2022,101800.0
15/02/2022,101200.0
14/02/2022,99600.0
11/02/2022,101500.0
10/02/2022,103700.0
09/02/2022,101000.0
08/02/2022,101300.0
07/02/2022,102900.0
28/01/2022,102900.0
27/01/2022,99500.0
26/01/2022,98500.0
25/01/2022,98500.0
24/01/2022,99000.0
21/01/2022,102100.0
20/01/2022,103200.0
19/01/2022,103300.0
18/01/2022,105000.0
17/01/2022,102000.0
14/01/2022,106000.0
13/01/2022,102500.0
12/01/2022,101200.0
11/01/2022,106900.0
10/01/2022,108500.0
07/01/2022,114600.0
06/01/2022,123000.0
05/01/2022,115000.0
04/01/2022,114600.0
31/12/2021,113000.0
30/12/2021,113900.0
29/12/2021,113400.0
28/12/2021,115900.0
27/12/2021,115600.0
24/12/2021,118100.0
23/12/2021,123300.0
22/12/2021,127900.0
21/12/2021,130000.0
20/12/2021,128500.0
17/12/2021,123600.0
16/12/2021,130000.0
15/12/2021,135800.0
14/12/2021,134200.0
13/12/2021,133200.0
10/12/2021,124500.0
09/12/2021,126400.0
08/12/2021,124000.0
07/12/2021,122000.0
06/12/2021,118500.0
03/12/2021,116700.0
02/12/2021,109100.0
01/12/2021,102000.0
30/11/2021,103000.0
29/11/2021,103900.0
26/11/2021,99500.0
25/11/2021,99600.0
24/11/2021,101000.0
23/11/2021,98700.0
22/11/2021,98500.0
19/11/2021,99800.0
18/11/2021,101000.0
17/11/2021,102100.0
16/11/2021,102100.0
15/11/2021,103200.0
12/11/2021,101600.0
11/11/2021,100900.0
10/11/2021,101200.0
09/11/2021,102000.0
08/11/2021,101200.0
05/11/2021,101200.0
04/11/2021,101300.0
03/11/2021,102000.0
02/11/2021,103200.0
01/11/2021,102300.0
29/10/2021,103800.0
28/10/2021,101700.0
27/10/2021,98900.0
26/10/2021,98800.0
25/10/2021,98100.0
22/10/2021,98300.0
21/10/2021,99200.0
20/10/2021,98700.0
19/10/2021,97400.0
18/10/2021,97900.0
15/10/2021,98100.0
14/10/2021,99000.0
13/10/2021,99500.0
12/10/2021,98300.0
11/10/2021,99000.0
08/10/2021,99700.0
07/10/2021,99900.0
06/10/2021,99600.0
05/10/2021,100000.0
04/10/2021,99600.0
01/10/2021,99800.0
30/09/2021,99900.0
29/09/2021,98400.0
28/09/2021,98800.0
27/09/2021,100000.0
24/09/2021,103000.0
23/09/2021,104300.0
22/09/2021,101800.0
21/09/2021,101000.0
20/09/2021,101000.0
17/09/2021,102200.0
16/09/2021,99000.0
15/09/2021,101900.0
14/09/2021,102700.0
13/09/2021,101200.0
10/09/2021,100200.0
09/09/2021,100900.0
08/09/2021,102500.0
07/09/2021,103600.0
06/09/2021,105000.0
01/09/2021,110000.0
31/08/2021,111500.0
30/08/2021,108600.0
27/08/2021,101500.0
26/08/2021,94900.0
25/08/2021,93500.0
24/08/2021,93700.0
23/08/2021,95100.0
20/08/2021,95600.0
19/08/2021,97500.0
18/08/2021,94000.0
17/08/2021,93200.0
16/08/2021,94300.0
13/08/2021,93600.0
12/08/2021,94000.0
11/08/2021,94200.0
10/08/2021,94800.0
09/08/2021,94300.0
06/08/2021,95600.0
05/08/2021,94900.0
04/08/2021,95000.0
03/08/2021,93800.0
02/08/2021,93900.0
30/07/2021,93600.0
29/07/2021,94100.0
28/07/2021,93500.0
27/07/2021,94000.0
26/07/2021,94900.0
23/07/2021,92800.0
22/07/2021,93500.0
21/07/2021,93000.0
20/07/2021,93000.0
19/07/2021,93900.0
16/07/2021,92000.0
15/07/2021,92000.0
14/07/2021,92100.0
13/07/2021,93900.0
12/07/2021,92000.0
09/07/2021,93300.0
08/07/2021,93900.0
07/07/2021,94500.0
06/07/2021,94800.0
05/07/2021,94500.0
02/07/2021,94100.0
01/07/2021,95700.0
30/06/2021,95600.0
29/06/2021,95300.0
28/06/2021,95600.0
25/06/2021,95600.0
24/06/2021,96000.0
23/06/2021,95600.0
22/06/2021,95800.0
21/06/2021,95500.0
