Date,Closing price
31/05/2022,60400.0
30/05/2022,61400.0
27/05/2022,60200.0
26/05/2022,59000.0
25/05/2022,60100.0
24/05/2022,58000.0
23/05/2022,54800.0
20/05/2022,58900.0
19/05/2022,55400.0
18/05/2022,55400.0
17/05/2022,51800.0
16/05/2022,48500.0
13/05/2022,49150.0
12/05/2022,52800.0
11/05/2022,56700.0
10/05/2022,53000.0
09/05/2022,50400.0
06/05/2022,54100.0
05/05/2022,58100.0
04/05/2022,61000.0
29/04/2022,65000.0
28/04/2022,61800.0
27/04/2022,64400.00000000001
26/04/2022,60200.0
25/04/2022,56300.0
22/04/2022,60500.0
21/04/2022,64700.0
20/04/2022,69500.0
19/04/2022,72200.0
18/04/2022,73200.0
15/04/2022,69300.0
14/04/2022,74500.0
13/04/2022,79500.0
12/04/2022,77800.0
08/04/2022,83600.0
07/04/2022,83000.0
06/04/2022,87000.0
05/04/2022,93500.0
04/04/2022,95000.0
01/04/2022,97400.0
31/03/2022,92500.0
30/03/2022,95000.0
29/03/2022,101500.0
28/03/2022,94900.0
25/03/2022,102000.0
24/03/2022,105200.0
23/03/2022,106200.0
22/03/2022,102500.0
21/03/2022,101600.0
18/03/2022,95000.0
17/03/2022,91600.0
16/03/2022,90400.0
15/03/2022,91300.0
14/03/2022,89500.0
11/03/2022,88000.0
10/03/2022,91000.0
09/03/2022,88100.0
08/03/2022,87600.0
07/03/2022,94100.0
04/03/2022,96200.0
03/03/2022,93400.0
02/03/2022,92300.0
01/03/2022,92000.0
28/02/2022,86000.0
25/02/2022,88100.0
24/02/2022,87400.0
23/02/2022,93000.0
22/02/2022,88400.0
21/02/2022,95000.0
18/02/2022,91500.0
17/02/2022,85700.0
16/02/2022,84400.0
15/02/2022,78900.0
14/02/2022,73800.0
11/02/2022,69000.0
10/02/2022,72900.0
09/02/2022,68200.0
08/02/2022,63800.0
07/02/2022,68500.0
28/01/2022,73600.0
27/01/2022,79100.0
26/01/2022,85000.0
25/01/2022,84000.0
24/01/2022,82900.0
21/01/2022,89100.0
20/01/2022,83300.0
19/01/2022,77900.0
18/01/2022,83700.0
17/01/2022,89900.0
14/01/2022,96600.0
13/01/2022,103700.0
12/01/2022,111500.0
11/01/2022,119800.0
10/01/2022,112000.0
07/01/2022,117100.0
06/01/2022,109500.0
05/01/2022,110600.0
04/01/2022,103400.0
31/12/2021,96700.0
30/12/2021,96000.0
29/12/2021,97000.0
28/12/2021,101500.0
27/12/2021,96300.0
24/12/2021,90000.0
23/12/2021,89600.0
22/12/2021,96300.0
21/12/2021,93000.0
20/12/2021,87000.0
17/12/2021,91000.0
16/12/2021,87200.0
15/12/2021,81500.0
14/12/2021,77900.0
13/12/2021,73200.0
10/12/2021,68500.0
09/12/2021,69400.0
08/12/2021,68300.0
07/12/2021,68000.0
06/12/2021,64400.00000000001
03/12/2021,65000.0
02/12/2021,68300.0
01/12/2021,65400.00000000001
30/11/2021,68500.0
29/11/2021,70100.0
26/11/2021,69900.0
25/11/2021,67500.0
24/11/2021,63100.0
23/11/2021,61000.0
22/11/2021,65099.99999999999
19/11/2021,70000.0
18/11/2021,71900.0
17/11/2021,67200.0
16/11/2021,67000.0
15/11/2021,68000.0
12/11/2021,70900.0
11/11/2021,66300.0
10/11/2021,62000.0
09/11/2021,58000.0
08/11/2021,55600.0
05/11/2021,55600.0
04/11/2021,56100.0
03/11/2021,54200.0
02/11/2021,58200.0
01/11/2021,54400.0
29/10/2021,50900.0
28/10/2021,49000.0
27/10/2021,46200.0
26/10/2021,43300.0
25/10/2021,41200.0
22/10/2021,42600.0
21/10/2021,39900.0
20/10/2021,38350.0
19/10/2021,37350.0
18/10/2021,38150.0
15/10/2021,37400.0
14/10/2021,37400.0
13/10/2021,35400.0
12/10/2021,34800.0
11/10/2021,33600.0
08/10/2021,33600.0
07/10/2021,33250.0
06/10/2021,33250.0
05/10/2021,31100.0
04/10/2021,30050.0
01/10/2021,30500.0
30/09/2021,31000.0
29/09/2021,31000.0
28/09/2021,31000.0
27/09/2021,29400.0
24/09/2021,31600.0
23/09/2021,31800.0
