Date,Closing price
31/05/2022,5500.0
30/05/2022,5680.0
27/05/2022,5790.0
26/05/2022,5510.0
25/05/2022,5300.0
24/05/2022,5100.0
23/05/2022,5090.0
20/05/2022,5060.0
19/05/2022,5000.0
18/05/2022,4990.0
17/05/2022,4800.0
16/05/2022,4490.0
13/05/2022,4390.0
12/05/2022,4700.0
11/05/2022,5040.0
10/05/2022,4860.0
09/05/2022,4550.0
06/05/2022,4890.0
05/05/2022,5250.0
04/05/2022,5360.0
29/04/2022,5450.0
28/04/2022,5100.0
27/04/2022,5020.0
26/04/2022,4700.0
25/04/2022,4400.0
22/04/2022,4550.0
21/04/2022,4810.0
20/04/2022,5170.0
19/04/2022,5550.0
18/04/2022,5960.0
15/04/2022,6400.0
14/04/2022,6680.0
13/04/2022,6660.0
12/04/2022,6530.0
08/04/2022,7020.0
07/04/2022,7200.0
06/04/2022,7200.0
05/04/2022,7540.0
04/04/2022,7550.0
01/04/2022,7310.0
31/03/2022,7240.0
30/03/2022,7590.0
29/03/2022,8140.000000000001
28/03/2022,7720.0
25/03/2022,8250.0
24/03/2022,8340.0
23/03/2022,8100.0
22/03/2022,7900.0
21/03/2022,8180.0
18/03/2022,7930.0
17/03/2022,7720.0
16/03/2022,7350.0
15/03/2022,7240.0
14/03/2022,7200.0
11/03/2022,7500.0
10/03/2022,7470.0
09/03/2022,7410.0
08/03/2022,7530.0
07/03/2022,7770.0
04/03/2022,7500.0
03/03/2022,7500.0
02/03/2022,7300.0
01/03/2022,7250.0
28/02/2022,7210.0
25/02/2022,7170.0
24/02/2022,7050.0
23/02/2022,7580.0
22/02/2022,7440.0
21/02/2022,7720.0
18/02/2022,7220.0
17/02/2022,7170.0
16/02/2022,7240.0
15/02/2022,6790.0
14/02/2022,6800.0
11/02/2022,6990.0
10/02/2022,7090.0
09/02/2022,7050.0
08/02/2022,6910.0
07/02/2022,7120.0
28/01/2022,6660.0
27/01/2022,6400.0
26/01/2022,6600.0
25/01/2022,6960.0
24/01/2022,6950.0
