Date,Closing price
31/05/2022,55900.0
30/05/2022,57500.0
27/05/2022,57000.0
26/05/2022,54800.0
25/05/2022,54500.0
24/05/2022,52400.0
23/05/2022,50900.0
20/05/2022,51800.0
19/05/2022,50300.0
18/05/2022,50800.0
17/05/2022,49600.0
16/05/2022,46400.0
13/05/2022,47200.0
12/05/2022,50700.0
11/05/2022,54500.0
10/05/2022,54000.0
09/05/2022,51200.0
06/05/2022,55000.0
05/05/2022,59000.0
04/05/2022,59500.0
29/04/2022,61500.0
28/04/2022,57800.0
27/04/2022,57700.0
26/04/2022,54000.0
25/04/2022,50700.0
22/04/2022,54500.0
21/04/2022,54000.0
20/04/2022,55400.0
19/04/2022,59500.0
18/04/2022,63900.0
15/04/2022,68700.0
14/04/2022,68600.0
13/04/2022,71800.0
12/04/2022,67500.0
08/04/2022,72500.0
07/04/2022,72800.0
06/04/2022,77500.0
05/04/2022,76700.0
04/04/2022,76900.0
01/04/2022,80300.0
31/03/2022,79000.0
30/03/2022,77200.0
29/03/2022,81000.0
28/03/2022,83200.0
25/03/2022,85500.0
24/03/2022,85000.0
23/03/2022,82000.0
22/03/2022,80500.0
21/03/2022,80600.0
18/03/2022,83200.0
17/03/2022,83200.0
16/03/2022,81500.0
15/03/2022,79500.0
14/03/2022,80000.0
11/03/2022,80500.0
10/03/2022,77500.0
09/03/2022,78400.0
08/03/2022,73700.0
07/03/2022,73800.0
04/03/2022,69300.0
03/03/2022,64800.0
02/03/2022,64200.0
01/03/2022,63000.0
28/02/2022,64900.00000000001
25/02/2022,66600.0
24/02/2022,66700.0
23/02/2022,68000.0
22/02/2022,65000.0
21/02/2022,65500.0
18/02/2022,65099.99999999999
17/02/2022,60900.0
16/02/2022,61300.0
15/02/2022,59300.0
14/02/2022,59500.0
11/02/2022,61400.0
10/02/2022,57600.0
09/02/2022,53900.0
08/02/2022,55000.0
07/02/2022,54000.0
28/01/2022,58000.0
27/01/2022,57900.0
26/01/2022,62200.0
25/01/2022,66800.0
24/01/2022,69300.0
21/01/2022,70400.0
20/01/2022,69900.0
19/01/2022,66400.0
18/01/2022,67900.0
17/01/2022,73000.0
14/01/2022,74500.0
13/01/2022,73100.0
12/01/2022,78500.0
11/01/2022,80000.0
10/01/2022,81500.0
07/01/2022,85000.0
06/01/2022,80000.0
05/01/2022,79700.0
04/01/2022,75000.0
31/12/2021,75000.0
30/12/2021,75200.0
29/12/2021,75600.0
28/12/2021,76000.0
27/12/2021,73700.0
24/12/2021,71500.0
23/12/2021,71800.0
22/12/2021,73900.0
21/12/2021,75500.0
20/12/2021,76000.0
17/12/2021,76300.0
16/12/2021,71400.0
15/12/2021,75000.0
14/12/2021,74400.0
13/12/2021,80000.0
10/12/2021,82500.0
09/12/2021,82800.0
08/12/2021,82800.0
07/12/2021,81900.0
06/12/2021,79000.0
03/12/2021,84900.0
02/12/2021,86400.0
01/12/2021,86000.0
30/11/2021,87400.0
29/11/2021,89400.0
26/11/2021,89000.0
25/11/2021,90500.0
24/11/2021,90900.0
23/11/2021,92800.0
22/11/2021,88200.0
19/11/2021,94800.0
18/11/2021,96000.0
17/11/2021,91600.0
16/11/2021,88400.0
15/11/2021,85800.0
12/11/2021,86900.0
11/11/2021,87600.0
10/11/2021,86900.0
09/11/2021,84800.0
08/11/2021,84900.0
05/11/2021,87100.0
04/11/2021,89000.0
03/11/2021,84700.0
02/11/2021,91000.0
01/11/2021,85900.0
29/10/2021,85000.0
28/10/2021,80000.0
27/10/2021,74900.0
26/10/2021,74000.0
25/10/2021,71000.0
22/10/2021,69800.0
21/10/2021,67600.0
20/10/2021,66900.0
19/10/2021,67000.0
18/10/2021,66800.0
15/10/2021,64800.0
14/10/2021,64500.0
13/10/2021,64000.0
12/10/2021,60500.0
11/10/2021,61500.0
08/10/2021,59400.0
07/10/2021,57600.0
06/10/2021,57000.0
05/10/2021,56000.0
04/10/2021,56800.0
01/10/2021,53500.0
30/09/2021,53800.0
29/09/2021,53800.0
28/09/2021,51500.0
27/09/2021,50300.0
