Date,Closing price
31/05/2022,59600.0
30/05/2022,56500.0
27/05/2022,56800.0
26/05/2022,56500.0
25/05/2022,58800.0
24/05/2022,55000.0
23/05/2022,55000.0
20/05/2022,55500.0
19/05/2022,53500.0
18/05/2022,52400.0
17/05/2022,49250.0
16/05/2022,46050.0
13/05/2022,49500.0
12/05/2022,53200.0
11/05/2022,57200.0
10/05/2022,55200.0
09/05/2022,59300.0
06/05/2022,63700.0
05/05/2022,63100.0
04/05/2022,62700.0
29/04/2022,67400.0
28/04/2022,66400.0
27/04/2022,64500.0
26/04/2022,65900.0
25/04/2022,62000.0
22/04/2022,66600.0
21/04/2022,71600.0
20/04/2022,70000.0
19/04/2022,75100.0
18/04/2022,72000.0
15/04/2022,70700.0
14/04/2022,72200.0
13/04/2022,68000.0
12/04/2022,65200.0
08/04/2022,63800.0
07/04/2022,64700.0
06/04/2022,62100.0
05/04/2022,65200.0
04/04/2022,64200.0
01/04/2022,69000.0
31/03/2022,66900.0
30/03/2022,68200.0
29/03/2022,73300.0
28/03/2022,73900.0
25/03/2022,72700.0
24/03/2022,69400.0
23/03/2022,69000.0
22/03/2022,66000.0
21/03/2022,62400.0
18/03/2022,62500.0
17/03/2022,60500.0
16/03/2022,63100.0
15/03/2022,62300.0
14/03/2022,61800.0
11/03/2022,66400.0
10/03/2022,63900.0
09/03/2022,65300.0
08/03/2022,62000.0
07/03/2022,64500.0
04/03/2022,60300.0
03/03/2022,59600.0
02/03/2022,59800.0
01/03/2022,56800.0
28/02/2022,57600.0
25/02/2022,53900.0
24/02/2022,54200.0
23/02/2022,50700.0
22/02/2022,47400.0
21/02/2022,48600.0
18/02/2022,49100.0
17/02/2022,48000.0
16/02/2022,48400.0
15/02/2022,46600.0
14/02/2022,45700.0
11/02/2022,46450.0
10/02/2022,45000.0
09/02/2022,43800.0
08/02/2022,44200.0
07/02/2022,42650.0
28/01/2022,40200.0
27/01/2022,41300.0
26/01/2022,40800.0
25/01/2022,41400.0
24/01/2022,39850.0
21/01/2022,42800.0
20/01/2022,43250.0
19/01/2022,43000.0
18/01/2022,41900.0
17/01/2022,39200.0
14/01/2022,40200.0
13/01/2022,43200.0
12/01/2022,44500.0
11/01/2022,43500.0
10/01/2022,43650.0
07/01/2022,46850.0
06/01/2022,48800.0
05/01/2022,50000.0
04/01/2022,50800.0
31/12/2021,50000.0
30/12/2021,50400.0
29/12/2021,49000.0
28/12/2021,52300.0
27/12/2021,52600.0
24/12/2021,54800.0
23/12/2021,55500.0
22/12/2021,54000.0
21/12/2021,53900.0
20/12/2021,50400.0
17/12/2021,49900.0
16/12/2021,49800.0
15/12/2021,51000.0
14/12/2021,50500.0
13/12/2021,50000.0
10/12/2021,50500.0
09/12/2021,49000.0
08/12/2021,47800.0
07/12/2021,47300.0
06/12/2021,45250.0
03/12/2021,47800.0
02/12/2021,49750.0
01/12/2021,52200.0
30/11/2021,50400.0
29/11/2021,48900.0
26/11/2021,50300.0
25/11/2021,49000.0
24/11/2021,48500.0
23/11/2021,49300.0
22/11/2021,46500.0
19/11/2021,46000.0
18/11/2021,48600.0
