Date,Closing price
31/05/2022,78200.0
30/05/2022,77100.0
27/05/2022,76000.0
26/05/2022,76000.0
25/05/2022,77400.0
24/05/2022,73700.0
23/05/2022,73700.0
20/05/2022,76200.0
19/05/2022,76300.0
18/05/2022,74700.0
17/05/2022,73200.0
16/05/2022,68500.0
13/05/2022,66900.0
12/05/2022,68300.0
11/05/2022,73000.0
10/05/2022,73000.0
09/05/2022,71400.0
06/05/2022,76700.0
05/05/2022,80200.0
04/05/2022,80700.0
29/04/2022,84000.0
28/04/2022,81400.0
27/04/2022,82500.0
26/04/2022,79100.0
25/04/2022,74000.0
22/04/2022,79000.0
21/04/2022,82800.0
20/04/2022,89000.0
19/04/2022,95600.0
18/04/2022,100000.0
15/04/2022,97800.0
14/04/2022,93100.0
13/04/2022,92800.0
12/04/2022,86800.0
08/04/2022,90800.0
07/04/2022,91600.0
06/04/2022,96500.0
05/04/2022,94600.0
04/04/2022,94000.0
01/04/2022,91000.0
31/03/2022,85100.0
30/03/2022,84400.0
29/03/2022,86900.0
28/03/2022,87000.0
25/03/2022,85600.0
24/03/2022,84400.0
23/03/2022,84400.0
22/03/2022,78900.0
21/03/2022,79800.0
18/03/2022,74600.0
17/03/2022,74700.0
16/03/2022,75000.0
15/03/2022,74000.0
14/03/2022,73600.0
11/03/2022,76100.0
10/03/2022,79500.0
09/03/2022,80000.0
08/03/2022,80000.0
07/03/2022,77600.0
04/03/2022,79100.0
03/03/2022,76000.0
02/03/2022,76000.0
01/03/2022,76800.0
28/02/2022,77000.0
25/02/2022,76600.0
24/02/2022,74700.0
23/02/2022,76300.0
22/02/2022,75900.0
21/02/2022,76800.0
18/02/2022,73900.0
17/02/2022,73500.0
16/02/2022,73500.0
15/02/2022,72900.0
14/02/2022,72800.0
11/02/2022,71200.0
10/02/2022,71300.0
09/02/2022,69900.0
08/02/2022,68600.0
07/02/2022,66500.0
28/01/2022,65000.0
27/01/2022,65900.0
26/01/2022,68100.0
25/01/2022,68200.0
24/01/2022,68200.0
21/01/2022,68000.0
20/01/2022,66300.0
19/01/2022,64800.0
18/01/2022,63800.0
17/01/2022,63400.0
14/01/2022,68100.0
13/01/2022,68900.0
12/01/2022,69300.0
11/01/2022,71400.0
10/01/2022,71500.0
07/01/2022,73600.0
06/01/2022,73100.0
05/01/2022,71800.0
04/01/2022,71500.0
31/12/2021,72500.0
30/12/2021,71900.0
29/12/2021,71900.0
28/12/2021,72500.0
27/12/2021,73300.0
24/12/2021,73000.0
23/12/2021,72200.0
22/12/2021,72800.0
21/12/2021,71300.0
20/12/2021,73300.0
17/12/2021,75900.0
16/12/2021,77100.0
15/12/2021,78300.0
14/12/2021,79000.0
13/12/2021,80500.0
10/12/2021,78200.0
09/12/2021,78500.0
08/12/2021,78100.0
07/12/2021,78400.0
06/12/2021,77600.0
03/12/2021,79700.0
02/12/2021,82000.0
01/12/2021,81500.0
30/11/2021,80000.0
29/11/2021,79800.0
26/11/2021,80700.0
25/11/2021,83000.0
24/11/2021,83300.0
23/11/2021,78900.0
22/11/2021,77100.0
19/11/2021,82800.0
18/11/2021,87200.0
17/11/2021,87200.0
16/11/2021,81500.0
15/11/2021,80200.0
12/11/2021,80600.0
11/11/2021,81900.0
10/11/2021,82800.0
09/11/2021,83200.0
08/11/2021,84000.0
05/11/2021,84000.0
04/11/2021,83000.0
03/11/2021,79700.0
02/11/2021,82500.0
01/11/2021,82100.0
29/10/2021,80200.0
28/10/2021,78600.0
27/10/2021,75500.0
26/10/2021,73500.0
25/10/2021,73500.0
22/10/2021,73000.0
21/10/2021,73600.0
20/10/2021,74000.0
19/10/2021,74500.0
18/10/2021,75000.0
15/10/2021,74500.0
14/10/2021,73700.0
13/10/2021,71600.0
12/10/2021,71300.0
11/10/2021,72000.0
08/10/2021,71800.0
07/10/2021,72400.0
06/10/2021,72700.0
05/10/2021,71600.0
04/10/2021,71100.0
01/10/2021,71600.0
30/09/2021,68800.0
29/09/2021,69500.0
28/09/2021,68700.0
27/09/2021,66400.0
24/09/2021,66900.0
23/09/2021,68000.0
22/09/2021,68700.0
21/09/2021,67400.0
20/09/2021,67800.0
17/09/2021,69600.0
16/09/2021,70000.0
15/09/2021,70500.0
14/09/2021,71000.0
13/09/2021,70500.0
10/09/2021,71100.0
09/09/2021,68500.0
08/09/2021,68000.0
07/09/2021,68200.0
06/09/2021,69000.0
01/09/2021,69800.0
31/08/2021,68300.0
30/08/2021,66500.0
27/08/2021,64000.0
26/08/2021,62000.0
25/08/2021,62000.0
24/08/2021,59100.0
23/08/2021,61500.0
20/08/2021,62800.0
19/08/2021,64000.0
18/08/2021,61600.0
17/08/2021,61000.0
16/08/2021,62300.0
13/08/2021,58400.0
12/08/2021,58100.0
11/08/2021,58200.0
10/08/2021,58000.0
09/08/2021,58600.0
06/08/2021,57500.0
05/08/2021,57900.0
04/08/2021,58200.0
03/08/2021,57500.0
02/08/2021,58200.0
30/07/2021,58300.0
29/07/2021,58800.0
28/07/2021,60000.0
27/07/2021,60400.0
26/07/2021,60000.0
23/07/2021,60400.0
22/07/2021,60500.0
21/07/2021,60800.0
20/07/2021,61500.0
19/07/2021,59500.0
16/07/2021,60700.0
15/07/2021,61800.0
14/07/2021,59600.0
13/07/2021,62000.0
12/07/2021,60400.0
09/07/2021,61600.0
08/07/2021,63000.0
07/07/2021,64800.0
06/07/2021,62100.0
05/07/2021,66200.0
02/07/2021,64700.0
01/07/2021,61400.0
30/06/2021,60500.0
29/06/2021,61000.0
28/06/2021,62000.0
25/06/2021,62000.0
24/06/2021,60700.0
23/06/2021,60600.0
22/06/2021,61300.0
21/06/2021,62500.0
18/06/2021,62500.0
17/06/2021,61800.0
16/06/2021,62900.0
15/06/2021,63800.0
14/06/2021,63800.0
11/06/2021,63000.0
10/06/2021,61500.0
09/06/2021,64700.0
08/06/2021,61000.0
07/06/2021,57200.0
04/06/2021,53500.0
03/06/2021,52200.0
02/06/2021,50700.0
01/06/2021,51200.0
31/05/2021,50500.0
28/05/2021,50000.0
27/05/2021,50400.0
26/05/2021,51000.0
25/05/2021,51000.0
24/05/2021,49600.0
21/05/2021,47800.0
20/05/2021,47600.0
19/05/2021,47800.0
18/05/2021,48000.0
17/05/2021,48000.0
14/05/2021,48000.0
13/05/2021,48000.0
12/05/2021,48500.0
11/05/2021,47800.0
10/05/2021,47600.0
07/05/2021,47400.0
06/05/2021,46900.0
05/05/2021,47150.0
04/05/2021,46900.0
29/04/2021,46900.0
28/04/2021,47400.0
27/04/2021,47300.0
26/04/2021,47000.0
23/04/2021,47100.0
22/04/2021,47300.0
20/04/2021,48300.0
19/04/2021,48550.0
16/04/2021,48550.0
15/04/2021,48600.0
14/04/2021,48900.0
13/04/2021,48700.0
12/04/2021,48200.0
09/04/2021,48800.0
08/04/2021,48100.0
07/04/2021,47900.0
06/04/2021,49200.0
05/04/2021,49200.0
02/04/2021,49200.0
01/04/2021,49550.0
31/03/2021,50000.0
30/03/2021,50000.0
29/03/2021,48800.0
26/03/2021,49800.0
25/03/2021,50000.0
24/03/2021,50000.0
23/03/2021,50600.0
22/03/2021,51000.0
19/03/2021,51000.0
18/03/2021,51500.0
17/03/2021,51500.0
16/03/2021,51000.0
15/03/2021,49850.0
12/03/2021,49100.0
11/03/2021,49100.0
10/03/2021,49200.0
09/03/2021,49250.0
08/03/2021,48650.0
05/03/2021,49300.0
04/03/2021,48650.0
03/03/2021,48300.0
02/03/2021,49000.0
01/03/2021,49000.0
26/02/2021,49000.0
25/02/2021,48500.0
24/02/2021,47950.0
23/02/2021,48100.0
22/02/2021,48400.0
19/02/2021,48000.0
18/02/2021,48300.0
17/02/2021,48200.0
09/02/2021,46150.0
08/02/2021,47000.0
05/02/2021,47450.0
04/02/2021,47500.0
03/02/2021,47500.0
02/02/2021,46500.0
01/02/2021,46000.0
29/01/2021,47000.0
28/01/2021,46500.0
27/01/2021,49950.0
26/01/2021,46700.0
25/01/2021,48800.0
22/01/2021,49600.0
21/01/2021,49700.0
20/01/2021,49100.0
19/01/2021,48800.0
18/01/2021,51400.0
15/01/2021,51800.0
14/01/2021,49750.0
13/01/2021,49000.0
12/01/2021,47400.0
11/01/2021,45500.0
08/01/2021,45300.0
07/01/2021,44650.0
06/01/2021,44650.0
05/01/2021,44600.0
04/01/2021,44500.0
31/12/2020,44350.0
30/12/2020,44500.0
29/12/2020,44500.0
28/12/2020,44500.0
25/12/2020,44950.0
24/12/2020,44500.0
23/12/2020,45150.0
22/12/2020,45750.0
21/12/2020,43650.0
18/12/2020,43200.0
17/12/2020,43500.0
16/12/2020,45500.0
15/12/2020,45500.0
14/12/2020,45450.0
11/12/2020,45250.0
10/12/2020,44500.0
09/12/2020,44850.0
08/12/2020,44000.0
07/12/2020,45300.0
04/12/2020,46700.0
03/12/2020,47000.0
02/12/2020,45500.0
01/12/2020,45500.0
30/11/2020,45500.0
27/11/2020,45100.0
26/11/2020,45100.0
25/11/2020,44800.0
24/11/2020,45200.0
23/11/2020,45400.0
20/11/2020,45700.0
19/11/2020,45700.0
18/11/2020,45700.0
17/11/2020,45800.0
16/11/2020,45400.0
13/11/2020,46000.0
12/11/2020,45600.0
11/11/2020,45500.0
10/11/2020,45000.0
09/11/2020,44700.0
06/11/2020,45200.0
05/11/2020,45200.0
04/11/2020,45800.0
03/11/2020,46000.0
02/11/2020,46000.0
30/10/2020,45000.0
29/10/2020,45100.0
28/10/2020,45200.0
27/10/2020,45350.0
26/10/2020,45000.0
23/10/2020,43200.0
22/10/2020,42000.0
21/10/2020,42300.0
20/10/2020,41900.0
19/10/2020,41400.0
16/10/2020,41100.0
15/10/2020,40550.0
14/10/2020,42000.0
13/10/2020,42800.0
12/10/2020,42800.0
09/10/2020,42800.0
08/10/2020,42750.0
07/10/2020,41800.0
06/10/2020,42000.0
05/10/2020,42000.0
02/10/2020,42000.0
01/10/2020,42000.0
30/09/2020,42750.0
29/09/2020,40850.0
28/09/2020,40000.0
25/09/2020,40050.0
24/09/2020,39900.0
23/09/2020,40050.0
22/09/2020,40050.0
21/09/2020,40000.0
18/09/2020,40000.0
17/09/2020,40000.0
16/09/2020,39950.0
15/09/2020,40000.0
14/09/2020,39800.0
11/09/2020,39900.0
10/09/2020,40100.0
09/09/2020,40000.0
08/09/2020,40000.0
07/09/2020,40000.0
04/09/2020,40800.0
03/09/2020,41200.0
01/09/2020,41500.0
31/08/2020,40000.0
28/08/2020,40000.0
27/08/2020,40500.0
26/08/2020,40500.0
25/08/2020,40600.0
24/08/2020,40900.0
21/08/2020,38800.0
20/08/2020,38300.0
19/08/2020,38900.0
18/08/2020,38500.0
17/08/2020,38500.0
14/08/2020,38500.0
13/08/2020,38500.0
12/08/2020,38900.0
11/08/2020,38900.0
10/08/2020,39000.0
07/08/2020,39000.0
06/08/2020,38200.0
05/08/2020,38200.0
04/08/2020,38000.0
03/08/2020,38000.0
