Date,Closing price
31/05/2022,14000.0
30/05/2022,14750.0
27/05/2022,14600.0
26/05/2022,14550.0
25/05/2022,14800.0
24/05/2022,14500.0
23/05/2022,14000.0
20/05/2022,14300.0
19/05/2022,14100.0
18/05/2022,14200.0
17/05/2022,14200.0
16/05/2022,13350.0
13/05/2022,13350.0
12/05/2022,14350.0
11/05/2022,15400.0
10/05/2022,14700.0
09/05/2022,13800.0
06/05/2022,14800.0
05/05/2022,15900.0
04/05/2022,16400.0
29/04/2022,16700.0
28/04/2022,16300.0
27/04/2022,16500.0
26/04/2022,16000.0
25/04/2022,15300.0
22/04/2022,16400.0
21/04/2022,16900.0
20/04/2022,15850.0
19/04/2022,17000.0
18/04/2022,18250.0
15/04/2022,19600.0
14/04/2022,19800.0
13/04/2022,20000.0
12/04/2022,18900.0
08/04/2022,20300.0
07/04/2022,20200.0
06/04/2022,20200.0
05/04/2022,20350.0
04/04/2022,20350.0
01/04/2022,20200.0
31/03/2022,19800.0
30/03/2022,19900.0
29/03/2022,20600.0
28/03/2022,20300.0
25/03/2022,21700.0
24/03/2022,21050.0
23/03/2022,20500.0
22/03/2022,20600.0
21/03/2022,21100.0
18/03/2022,20300.0
17/03/2022,19650.0
16/03/2022,18400.0
15/03/2022,18400.0
14/03/2022,18250.0
11/03/2022,22200.0
10/03/2022,23100.0
09/03/2022,23800.0
08/03/2022,23700.0
07/03/2022,25150.0
04/03/2022,26000.0
03/03/2022,25800.0
02/03/2022,26000.0
01/03/2022,26150.0
28/02/2022,26050.0
25/02/2022,24350.0
24/02/2022,24300.0
23/02/2022,24750.0
22/02/2022,23950.0
21/02/2022,25750.0
18/02/2022,25800.0
17/02/2022,24550.0
16/02/2022,24150.0
15/02/2022,22600.0
14/02/2022,22400.0
11/02/2022,21850.0
10/02/2022,23100.0
09/02/2022,22300.0
08/02/2022,20850.0
07/02/2022,22400.0
28/01/2022,22200.0
27/01/2022,22550.0
26/01/2022,24200.0
25/01/2022,26000.0
24/01/2022,25650.0
21/01/2022,27550.0
20/01/2022,25750.0
19/01/2022,24100.0
18/01/2022,25900.0
17/01/2022,27800.0
14/01/2022,29850.0
13/01/2022,32049.999999999996
12/01/2022,34450.0
11/01/2022,37000.0
10/01/2022,36000.0
07/01/2022,34900.0
06/01/2022,33500.0
05/01/2022,32250.0
04/01/2022,30150.0
31/12/2021,28200.0
30/12/2021,29000.0
29/12/2021,30100.0
28/12/2021,28150.0
27/12/2021,26350.0
24/12/2021,25100.0
23/12/2021,25450.0
22/12/2021,23800.0
21/12/2021,23500.0
20/12/2021,23250.0
17/12/2021,21750.0
16/12/2021,21550.0
15/12/2021,20650.0
14/12/2021,21500.0
13/12/2021,22350.0
10/12/2021,21350.0
09/12/2021,21100.0
08/12/2021,20750.0
07/12/2021,21000.0
06/12/2021,19800.0
03/12/2021,21250.0
02/12/2021,22600.0
01/12/2021,22450.0
30/11/2021,22900.0
29/11/2021,23400.0
26/11/2021,21900.0
25/11/2021,20500.0
24/11/2021,19200.0
23/11/2021,20500.0
22/11/2021,21250.0
19/11/2021,22800.0
