Date,Closing price
31/05/2022,27650.0
30/05/2022,28200.0
27/05/2022,27300.0
26/05/2022,27200.0
25/05/2022,27550.0
24/05/2022,26500.0
23/05/2022,25300.0
20/05/2022,26950.0
19/05/2022,25500.0
18/05/2022,26700.0
17/05/2022,26200.0
16/05/2022,25000.0
13/05/2022,26850.0
12/05/2022,28850.0
11/05/2022,31000.0
10/05/2022,30400.0
09/05/2022,30300.0
06/05/2022,32549.999999999996
05/05/2022,35000.0
04/05/2022,34700.0
29/04/2022,36600.0
28/04/2022,35700.0
27/04/2022,36000.0
26/04/2022,34700.0
25/04/2022,33450.0
22/04/2022,34650.0
21/04/2022,32400.0
20/04/2022,33500.0
19/04/2022,35800.0
18/04/2022,38300.0
15/04/2022,37500.0
14/04/2022,39750.0
13/04/2022,39800.0
12/04/2022,37200.0
08/04/2022,40000.0
07/04/2022,41500.0
06/04/2022,43300.0
05/04/2022,43900.0
04/04/2022,43600.0
01/04/2022,46500.0
31/03/2022,46600.0
30/03/2022,46100.0
29/03/2022,46750.0
28/03/2022,45700.0
25/03/2022,46500.0
24/03/2022,46150.0
23/03/2022,45300.0
22/03/2022,45200.0
21/03/2022,44800.0
18/03/2022,41900.0
17/03/2022,41600.0
16/03/2022,41600.0
15/03/2022,40150.0
14/03/2022,39900.0
11/03/2022,40600.0
10/03/2022,40100.0
09/03/2022,38850.0
08/03/2022,40000.0
07/03/2022,42000.0
04/03/2022,44000.0
03/03/2022,43900.0
02/03/2022,43500.0
01/03/2022,43200.0
28/02/2022,42300.0
25/02/2022,43200.0
24/02/2022,43200.0
23/02/2022,40400.0
22/02/2022,38800.0
21/02/2022,39500.0
18/02/2022,38900.0
17/02/2022,38100.0
16/02/2022,37450.0
15/02/2022,37300.0
14/02/2022,35000.0
11/02/2022,35100.0
10/02/2022,35100.0
09/02/2022,35600.0
08/02/2022,35300.0
07/02/2022,34600.0
28/01/2022,33850.0
27/01/2022,34700.0
26/01/2022,34150.0
25/01/2022,32299.999999999996
24/01/2022,31450.0
21/01/2022,33800.0
20/01/2022,33900.0
19/01/2022,31700.0
18/01/2022,29950.0
17/01/2022,32200.000000000004
14/01/2022,34600.0
13/01/2022,34600.0
12/01/2022,37200.0
11/01/2022,37900.0
10/01/2022,37000.0
07/01/2022,39200.0
06/01/2022,38050.0
05/01/2022,35600.0
04/01/2022,35200.0
31/12/2021,35000.0
30/12/2021,35000.0
29/12/2021,35700.0
28/12/2021,35850.0
27/12/2021,35200.0
24/12/2021,34400.0
23/12/2021,33950.0
22/12/2021,36500.0
21/12/2021,35850.0
20/12/2021,35500.0
17/12/2021,36200.0
16/12/2021,36200.0
15/12/2021,34000.0
14/12/2021,33300.0
13/12/2021,34100.0
10/12/2021,33050.0
09/12/2021,33050.0
08/12/2021,31150.0
07/12/2021,31200.0
06/12/2021,30200.0
03/12/2021,31100.0
02/12/2021,32200.000000000004
01/12/2021,33250.0
30/11/2021,32700.000000000004
29/11/2021,30600.0
26/11/2021,28600.0
25/11/2021,28500.0
24/11/2021,26650.0
23/11/2021,26000.0
22/11/2021,24700.0
19/11/2021,26550.0
18/11/2021,27300.0
17/11/2021,26650.0
16/11/2021,26400.0
15/11/2021,27000.0
12/11/2021,27000.0
11/11/2021,26300.0
10/11/2021,26500.0
09/11/2021,26400.0
08/11/2021,25850.0
05/11/2021,24200.0
04/11/2021,23300.0
03/11/2021,23300.0
02/11/2021,24950.0
01/11/2021,23750.0
29/10/2021,24150.0
28/10/2021,24100.0
27/10/2021,23450.0
26/10/2021,22300.0
25/10/2021,22200.0
22/10/2021,22500.0
21/10/2021,21750.0
20/10/2021,21200.0
19/10/2021,21400.0
18/10/2021,21400.0
15/10/2021,21550.0
14/10/2021,21600.0
13/10/2021,21500.0
12/10/2021,21700.0
11/10/2021,21600.0
08/10/2021,20800.0
07/10/2021,20900.0
06/10/2021,19750.0
05/10/2021,19000.0
04/10/2021,19000.0
01/10/2021,18800.0
30/09/2021,19100.0
29/09/2021,19050.0
28/09/2021,19200.0
27/09/2021,19000.0
24/09/2021,19650.0
23/09/2021,19800.0
22/09/2021,19350.0
21/09/2021,19050.0
20/09/2021,19200.0
17/09/2021,19250.0
16/09/2021,18700.0
15/09/2021,18750.0
14/09/2021,18550.0
13/09/2021,19200.0
10/09/2021,19250.0
09/09/2021,19700.0
08/09/2021,22000.0
07/09/2021,22000.0
06/09/2021,22900.0
01/09/2021,22100.0
31/08/2021,22200.0
30/08/2021,22250.0
27/08/2021,21650.0
26/08/2021,20900.0
25/08/2021,21100.0
24/08/2021,21100.0
23/08/2021,20950.0
20/08/2021,22000.0
19/08/2021,23500.0
18/08/2021,23500.0
17/08/2021,23800.0
16/08/2021,23800.0
13/08/2021,22850.0
12/08/2021,22700.0
11/08/2021,22200.0
10/08/2021,23150.0
09/08/2021,23450.0
06/08/2021,23100.0
05/08/2021,22650.0
04/08/2021,21800.0
03/08/2021,22000.0
02/08/2021,21700.0
30/07/2021,21550.0
29/07/2021,21250.0
28/07/2021,20750.0
27/07/2021,21000.0
26/07/2021,21100.0
23/07/2021,20700.0
22/07/2021,21950.0
21/07/2021,20600.0
20/07/2021,20300.0
19/07/2021,20100.0
16/07/2021,21600.0
15/07/2021,22300.0
14/07/2021,22350.0
13/07/2021,22400.0
12/07/2021,22000.0
09/07/2021,23000.0
08/07/2021,22950.0
07/07/2021,21900.0
06/07/2021,21300.0
05/07/2021,22900.0
02/07/2021,23800.0
01/07/2021,23800.0
30/06/2021,24000.0
29/06/2021,24050.0
28/06/2021,24350.0
25/06/2021,24150.0
24/06/2021,24200.0
23/06/2021,23700.0
22/06/2021,24400.0
21/06/2021,23700.0
18/06/2021,24150.0
17/06/2021,24150.0
16/06/2021,23900.0
15/06/2021,25000.0
14/06/2021,25200.0
11/06/2021,25250.0
10/06/2021,23600.0
09/06/2021,24100.0
08/06/2021,25900.0
07/06/2021,27800.0
04/06/2021,28800.0
03/06/2021,28900.0
02/06/2021,27550.0
01/06/2021,27850.0
31/05/2021,28000.0
28/05/2021,27100.0
27/05/2021,27000.0
26/05/2021,26100.0
25/05/2021,25400.0
24/05/2021,26050.0
21/05/2021,24350.0
20/05/2021,23350.0
19/05/2021,23150.0
18/05/2021,23150.0
17/05/2021,23950.0
14/05/2021,24350.0
13/05/2021,24800.0
12/05/2021,24650.0
11/05/2021,24100.0
10/05/2021,23400.0
07/05/2021,23350.0
06/05/2021,23300.0
05/05/2021,23050.0
04/05/2021,22900.0
29/04/2021,23450.0
28/04/2021,23200.0
27/04/2021,22950.0
26/04/2021,22550.0
23/04/2021,24050.0
22/04/2021,24000.0
20/04/2021,25650.0
19/04/2021,25650.0
16/04/2021,24250.0
15/04/2021,24400.0
14/04/2021,23850.0
13/04/2021,23950.0
12/04/2021,24900.0
09/04/2021,25000.0
08/04/2021,25200.0
07/04/2021,24200.0
06/04/2021,24200.0
05/04/2021,24400.0
02/04/2021,24500.0
01/04/2021,24600.0
31/03/2021,24000.0
30/03/2021,24050.0
29/03/2021,23650.0
26/03/2021,23400.0
25/03/2021,23950.0
24/03/2021,24150.0
23/03/2021,23950.0
22/03/2021,24650.0
19/03/2021,25400.0
18/03/2021,25200.0
17/03/2021,24500.0
16/03/2021,24500.0
15/03/2021,23900.0
12/03/2021,24000.0
11/03/2021,24150.0
10/03/2021,24300.0
09/03/2021,23600.0
08/03/2021,22450.0
05/03/2021,22250.0
04/03/2021,22600.0
03/03/2021,23300.0
02/03/2021,23100.0
01/03/2021,23850.0
26/02/2021,23500.0
25/02/2021,23000.0
24/02/2021,23850.0
23/02/2021,24750.0
22/02/2021,24900.0
19/02/2021,24150.0
18/02/2021,24300.0
17/02/2021,24550.0
09/02/2021,22950.0
08/02/2021,21450.0
05/02/2021,22500.0
04/02/2021,21300.0
03/02/2021,20850.0
02/02/2021,19500.0
01/02/2021,18250.0
29/01/2021,19600.0
28/01/2021,19550.0
27/01/2021,21000.0
26/01/2021,22000.0
25/01/2021,21400.0
22/01/2021,20000.0
21/01/2021,18700.0
20/01/2021,17500.0
19/01/2021,17300.0
18/01/2021,18150.0
15/01/2021,17400.0
14/01/2021,18250.0
13/01/2021,17600.0
