Date,Closing price
31/05/2022,5620.0
30/05/2022,5620.0
27/05/2022,5560.0
26/05/2022,5600.0
25/05/2022,5480.0
24/05/2022,5400.0
23/05/2022,5400.0
20/05/2022,5530.0
19/05/2022,5250.0
18/05/2022,5600.0
17/05/2022,5480.0
16/05/2022,5200.0
13/05/2022,5100.0
12/05/2022,5400.0
11/05/2022,5800.0
10/05/2022,5770.0
09/05/2022,5680.0
06/05/2022,6100.0
05/05/2022,6390.0
04/05/2022,6200.0
29/04/2022,6470.0
28/04/2022,6350.0
27/04/2022,6350.0
26/04/2022,6300.0
25/04/2022,5890.0
22/04/2022,5510.0
21/04/2022,5600.0
20/04/2022,6000.0
19/04/2022,6250.0
18/04/2022,6710.0
15/04/2022,7210.0
14/04/2022,7370.0
13/04/2022,7550.0
12/04/2022,7550.0
08/04/2022,7750.0
07/04/2022,7850.0
06/04/2022,8100.0
05/04/2022,8140.000000000001
04/04/2022,8200.0
01/04/2022,8220.0
31/03/2022,8250.0
30/03/2022,8350.0
29/03/2022,8480.0
28/03/2022,8450.0
25/03/2022,8280.0
24/03/2022,8250.0
23/03/2022,8240.0
22/03/2022,8250.0
21/03/2022,8260.0
18/03/2022,8320.0
17/03/2022,8270.0
16/03/2022,8240.0
15/03/2022,8340.0
14/03/2022,8350.0
11/03/2022,8900.0
10/03/2022,9360.0
09/03/2022,8750.0
08/03/2022,8180.0
07/03/2022,7650.0
04/03/2022,7380.0
03/03/2022,7350.0
02/03/2022,7390.0
01/03/2022,7400.0
28/02/2022,7400.0
25/02/2022,7320.0
24/02/2022,7340.0
23/02/2022,7630.0
22/02/2022,7650.0
21/02/2022,7750.0
18/02/2022,7720.0
17/02/2022,7430.0
16/02/2022,7600.0
15/02/2022,7680.0
14/02/2022,8250.0
11/02/2022,7910.0
10/02/2022,7400.0
09/02/2022,6920.0
08/02/2022,6470.0
07/02/2022,6050.0
28/01/2022,5660.0
27/01/2022,6050.0
26/01/2022,6500.0
25/01/2022,6500.0
24/01/2022,6980.0
21/01/2022,7500.0
20/01/2022,7010.0
19/01/2022,6560.0
18/01/2022,7050.0
17/01/2022,7580.0
14/01/2022,8140.000000000001
13/01/2022,8750.0
12/01/2022,9400.0
11/01/2022,10100.0
10/01/2022,10850.0
07/01/2022,10150.0
06/01/2022,9550.0
05/01/2022,8930.0
04/01/2022,8350.0
31/12/2021,8400.0
30/12/2021,8039.999999999999
29/12/2021,7520.0
28/12/2021,7490.0
27/12/2021,7500.0
24/12/2021,7590.0
23/12/2021,7580.0
22/12/2021,7700.0
21/12/2021,7490.0
20/12/2021,7400.0
17/12/2021,7700.0
16/12/2021,7800.0
15/12/2021,7700.0
14/12/2021,7670.0
13/12/2021,7210.0
10/12/2021,7210.0
09/12/2021,7260.0
08/12/2021,7300.0
07/12/2021,7400.0
06/12/2021,7410.0
03/12/2021,7720.0
02/12/2021,7850.0
01/12/2021,7700.0
30/11/2021,7700.0
29/11/2021,7600.0
26/11/2021,7880.0
25/11/2021,7660.0
24/11/2021,7660.0
23/11/2021,7600.0
22/11/2021,7870.0
19/11/2021,8250.0
18/11/2021,8250.0
17/11/2021,8130.000000000001
16/11/2021,8500.0
15/11/2021,8560.0
12/11/2021,8050.000000000001
11/11/2021,7700.0
10/11/2021,7800.0
09/11/2021,8000.0
08/11/2021,7670.0
05/11/2021,8240.0
04/11/2021,8860.0
03/11/2021,9520.0
02/11/2021,9040.0
01/11/2021,8450.0
29/10/2021,7900.0
28/10/2021,7390.0
27/10/2021,6910.0
26/10/2021,6460.0
25/10/2021,6040.0
22/10/2021,5650.0
21/10/2021,5500.0
20/10/2021,5260.0
19/10/2021,5340.0
18/10/2021,5100.0
15/10/2021,4900.0
14/10/2021,4900.0
13/10/2021,4900.0
12/10/2021,4620.0
11/10/2021,4820.0
08/10/2021,4950.0
07/10/2021,4800.0
06/10/2021,4790.0
05/10/2021,4700.0
04/10/2021,4600.0
01/10/2021,4650.0
30/09/2021,4970.0
29/09/2021,4700.0
28/09/2021,4740.0
27/09/2021,4750.0
24/09/2021,5100.0
23/09/2021,5370.0
22/09/2021,5020.0
21/09/2021,4700.0
20/09/2021,4710.0
17/09/2021,4850.0
16/09/2021,4850.0
15/09/2021,4570.0
14/09/2021,4350.0
13/09/2021,4150.0
10/09/2021,4100.0
09/09/2021,4019.9999999999995
08/09/2021,4180.0
07/09/2021,4090.0
06/09/2021,4190.0
01/09/2021,4190.0
31/08/2021,4160.0
30/08/2021,4100.0
27/08/2021,4100.0
26/08/2021,3900.0
25/08/2021,3900.0
24/08/2021,3900.0
23/08/2021,3950.0
20/08/2021,4090.0
19/08/2021,4100.0
18/08/2021,4070.0000000000005
17/08/2021,4180.0
16/08/2021,4100.0
13/08/2021,4019.9999999999995
12/08/2021,4190.0
11/08/2021,4300.0
10/08/2021,4200.0
09/08/2021,4000.0
06/08/2021,4000.0
05/08/2021,4000.0
04/08/2021,3950.0
03/08/2021,3950.0
02/08/2021,4000.0
30/07/2021,3850.0
29/07/2021,4000.0
28/07/2021,3900.0
27/07/2021,3900.0
26/07/2021,3780.0
23/07/2021,3780.0
22/07/2021,4000.0
21/07/2021,4000.0
20/07/2021,4200.0
19/07/2021,4100.0
16/07/2021,4270.0
15/07/2021,4000.0
14/07/2021,3920.0
13/07/2021,4050.0
12/07/2021,4050.0
09/07/2021,4350.0
08/07/2021,4350.0
07/07/2021,4450.0
06/07/2021,4580.0
05/07/2021,4600.0
02/07/2021,4630.0
01/07/2021,4710.0
30/06/2021,4500.0
29/06/2021,4700.0
28/06/2021,4510.0
25/06/2021,4550.0
24/06/2021,4600.0
23/06/2021,4690.0
22/06/2021,4550.0
21/06/2021,4600.0
18/06/2021,4680.0
17/06/2021,4520.0
16/06/2021,4580.0
15/06/2021,4580.0
14/06/2021,4790.0
11/06/2021,4800.0
10/06/2021,4800.0
09/06/2021,4700.0
08/06/2021,4700.0
07/06/2021,4620.0
04/06/2021,4620.0
03/06/2021,4800.0
02/06/2021,4800.0
01/06/2021,4750.0
31/05/2021,4750.0
28/05/2021,4850.0
27/05/2021,4800.0
26/05/2021,4800.0
25/05/2021,4800.0
24/05/2021,5060.0
21/05/2021,5050.0
20/05/2021,5430.0
19/05/2021,5830.0
18/05/2021,5450.0
17/05/2021,5100.0
14/05/2021,4770.0
13/05/2021,4600.0
12/05/2021,4300.0
11/05/2021,4500.0
10/05/2021,4300.0
07/05/2021,4600.0
06/05/2021,4550.0
05/05/2021,4600.0
04/05/2021,4800.0
29/04/2021,4500.0
28/04/2021,4620.0
27/04/2021,4820.0
26/04/2021,4830.0
23/04/2021,4540.0
22/04/2021,4840.0
20/04/2021,5200.0
19/04/2021,5360.0
16/04/2021,5670.0
15/04/2021,6090.0
14/04/2021,5700.0
13/04/2021,5330.0
12/04/2021,5000.0
09/04/2021,4680.0
08/04/2021,4680.0
07/04/2021,4640.0
06/04/2021,4660.0
05/04/2021,4670.0
02/04/2021,4610.0
01/04/2021,4400.0
31/03/2021,4690.0
30/03/2021,4690.0
29/03/2021,4600.0
26/03/2021,4600.0
25/03/2021,4690.0
24/03/2021,4690.0
23/03/2021,4700.0
22/03/2021,4680.0
19/03/2021,4380.0
18/03/2021,4690.0
17/03/2021,4690.0
16/03/2021,4550.0
15/03/2021,4550.0
12/03/2021,4550.0
11/03/2021,4550.0
10/03/2021,4550.0
09/03/2021,4570.0
08/03/2021,4570.0
05/03/2021,4350.0
04/03/2021,4510.0
03/03/2021,4500.0
02/03/2021,4380.0
01/03/2021,4330.0
26/02/2021,4300.0
25/02/2021,4300.0
24/02/2021,4410.0
23/02/2021,4500.0
22/02/2021,4400.0
19/02/2021,4400.0
18/02/2021,4120.0
17/02/2021,4170.0
09/02/2021,3900.0
08/02/2021,3950.0
05/02/2021,4210.0
04/02/2021,4200.0
03/02/2021,4100.0
02/02/2021,3960.0
01/02/2021,3900.0
29/01/2021,4000.0
28/01/2021,3920.0
27/01/2021,4210.0
26/01/2021,4480.0
25/01/2021,4490.0
22/01/2021,4400.0
21/01/2021,4280.0
20/01/2021,4010.0
19/01/2021,4300.0
18/01/2021,4530.0
15/01/2021,4250.0
14/01/2021,4150.0
13/01/2021,4150.0
12/01/2021,3950.0
11/01/2021,3900.0
08/01/2021,3900.0
07/01/2021,3710.0
06/01/2021,3700.0
05/01/2021,3700.0
04/01/2021,3700.0
31/12/2020,3700.0
30/12/2020,3600.0
29/12/2020,3700.0
28/12/2020,3700.0
25/12/2020,3700.0
24/12/2020,3520.0
23/12/2020,3510.0
22/12/2020,3490.0
21/12/2020,3470.0
18/12/2020,3470.0
17/12/2020,3420.0
16/12/2020,3470.0
15/12/2020,3460.0
14/12/2020,3460.0
11/12/2020,3460.0
10/12/2020,3430.0
09/12/2020,3420.0
08/12/2020,3570.0
07/12/2020,3500.0
04/12/2020,3500.0
03/12/2020,3400.0
02/12/2020,3490.0
01/12/2020,3500.0
30/11/2020,3500.0
27/11/2020,3500.0
26/11/2020,3500.0
25/11/2020,3500.0
24/11/2020,3300.0
23/11/2020,3450.0
20/11/2020,3450.0
19/11/2020,3350.0
18/11/2020,3400.0
17/11/2020,3450.0
16/11/2020,3600.0
13/11/2020,3600.0
12/11/2020,3600.0
11/11/2020,3650.0
10/11/2020,3650.0
09/11/2020,3450.0
06/11/2020,3700.0
05/11/2020,3720.0
04/11/2020,3720.0
03/11/2020,3700.0
02/11/2020,3700.0
30/10/2020,3650.0
29/10/2020,3500.0
