Date,Closing price
31/05/2022,19100.0
30/05/2022,19500.0
27/05/2022,19300.0
26/05/2022,19000.0
25/05/2022,18400.0
24/05/2022,17800.0
23/05/2022,17600.0
20/05/2022,18200.0
19/05/2022,18000.0
18/05/2022,18000.0
17/05/2022,17650.0
16/05/2022,16500.0
13/05/2022,16050.0
12/05/2022,17050.0
11/05/2022,18100.0
10/05/2022,17950.0
09/05/2022,19250.0
06/05/2022,20650.0
05/05/2022,22200.0
04/05/2022,22600.0
29/04/2022,22250.0
28/04/2022,22300.0
27/04/2022,22300.0
26/04/2022,21050.0
25/04/2022,22600.0
22/04/2022,24250.0
21/04/2022,26050.0
20/04/2022,28000.0
19/04/2022,28400.0
18/04/2022,29400.0
15/04/2022,27500.0
14/04/2022,26900.0
13/04/2022,26900.0
12/04/2022,25350.0
08/04/2022,26050.0
07/04/2022,28000.0
06/04/2022,29100.0
05/04/2022,28850.0
04/04/2022,27000.0
01/04/2022,27500.0
31/03/2022,27900.0
30/03/2022,27600.0
29/03/2022,26800.0
28/03/2022,25200.0
25/03/2022,25750.0
24/03/2022,26000.0
23/03/2022,25000.0
22/03/2022,25600.0
21/03/2022,26000.0
18/03/2022,25900.0
17/03/2022,25500.0
16/03/2022,25400.0
15/03/2022,25350.0
14/03/2022,25650.0
11/03/2022,26100.0
10/03/2022,25550.0
09/03/2022,24400.0
08/03/2022,24600.0
07/03/2022,24300.0
04/03/2022,23900.0
03/03/2022,23400.0
02/03/2022,23400.0
01/03/2022,24000.0
28/02/2022,23550.0
25/02/2022,23700.0
24/02/2022,23100.0
23/02/2022,24500.0
22/02/2022,24550.0
21/02/2022,23650.0
18/02/2022,23500.0
17/02/2022,22000.0
16/02/2022,22050.0
15/02/2022,22350.0
14/02/2022,22500.0
11/02/2022,23000.0
10/02/2022,23350.0
09/02/2022,23400.0
08/02/2022,23500.0
07/02/2022,23000.0
28/01/2022,22500.0
27/01/2022,21750.0
26/01/2022,21700.0
25/01/2022,21650.0
24/01/2022,22050.0
21/01/2022,22650.0
20/01/2022,22650.0
19/01/2022,21250.0
18/01/2022,21100.0
17/01/2022,22400.0
14/01/2022,23650.0
13/01/2022,23650.0
12/01/2022,23500.0
11/01/2022,24000.0
10/01/2022,24400.0
07/01/2022,25800.0
06/01/2022,26000.0
05/01/2022,26000.0
04/01/2022,25900.0
31/12/2021,25800.0
30/12/2021,26600.0
29/12/2021,26550.0
28/12/2021,26500.0
27/12/2021,27200.0
24/12/2021,27800.0
23/12/2021,26000.0
22/12/2021,25650.0
21/12/2021,26800.0
20/12/2021,28700.0
17/12/2021,29000.0
16/12/2021,29400.0
15/12/2021,28000.0
14/12/2021,28200.0
13/12/2021,28500.0
10/12/2021,26900.0
09/12/2021,25150.0
08/12/2021,25150.0
07/12/2021,25100.0
06/12/2021,24700.0
03/12/2021,25100.0
02/12/2021,24650.0
01/12/2021,24600.0
30/11/2021,25100.0
29/11/2021,25300.0
26/11/2021,25600.0
25/11/2021,25750.0
24/11/2021,25600.0
23/11/2021,24500.0
22/11/2021,22900.0
19/11/2021,23850.0
18/11/2021,25600.0
17/11/2021,25900.0
16/11/2021,26450.0
15/11/2021,25700.0
12/11/2021,25250.0
11/11/2021,26600.0
10/11/2021,27650.0
09/11/2021,27800.0
08/11/2021,27900.0
05/11/2021,27600.0
04/11/2021,28150.0
03/11/2021,28800.0
02/11/2021,28850.0
01/11/2021,28500.0
29/10/2021,27500.0
28/10/2021,27800.0
27/10/2021,27500.0
26/10/2021,27850.0
25/10/2021,27900.0
22/10/2021,27400.0
21/10/2021,28050.0
20/10/2021,29600.0
19/10/2021,30000.0
18/10/2021,30100.0
15/10/2021,30200.0
14/10/2021,30650.0
13/10/2021,30300.0
12/10/2021,28600.0
11/10/2021,29100.0
08/10/2021,29500.0
07/10/2021,28850.0
06/10/2021,27000.0
05/10/2021,26200.0
04/10/2021,27250.0
01/10/2021,27200.0
30/09/2021,26950.0
29/09/2021,26000.0
28/09/2021,26300.0
27/09/2021,26450.0
24/09/2021,25750.0
23/09/2021,24950.0
22/09/2021,24300.0
21/09/2021,24100.0
20/09/2021,24350.0
17/09/2021,24300.0
16/09/2021,23500.0
15/09/2021,23300.0
14/09/2021,22600.0
13/09/2021,21150.0
10/09/2021,20450.0
09/09/2021,20350.0
08/09/2021,20300.0
07/09/2021,20400.0
06/09/2021,20400.0
01/09/2021,19900.0
31/08/2021,19700.0
30/08/2021,19800.0
27/08/2021,18950.0
26/08/2021,18300.0
25/08/2021,18300.0
24/08/2021,18200.0
23/08/2021,19200.0
20/08/2021,18000.0
19/08/2021,17950.0
18/08/2021,17650.0
17/08/2021,17750.0
16/08/2021,17900.0
13/08/2021,17400.0
12/08/2021,17000.0
11/08/2021,17100.0
10/08/2021,17550.0
09/08/2021,17350.0
06/08/2021,17100.0
05/08/2021,16450.0
04/08/2021,16500.0
03/08/2021,16650.0
02/08/2021,15950.0
30/07/2021,15900.0
29/07/2021,15700.0
28/07/2021,15700.0
27/07/2021,14700.0
26/07/2021,14000.0
23/07/2021,13700.0
22/07/2021,13950.0
21/07/2021,14150.0
20/07/2021,14150.0
19/07/2021,14000.0
16/07/2021,15100.0
15/07/2021,15100.0
14/07/2021,14700.0
13/07/2021,14200.0
12/07/2021,14000.0
09/07/2021,14700.0
08/07/2021,14950.0
07/07/2021,15450.0
06/07/2021,15850.0
05/07/2021,15900.0
02/07/2021,15900.0
01/07/2021,15900.0
30/06/2021,16000.0
29/06/2021,16100.000000000002
28/06/2021,16100.000000000002
25/06/2021,15900.0
24/06/2021,15750.0
23/06/2021,15600.0
22/06/2021,16050.0
21/06/2021,15550.0
18/06/2021,15600.0
17/06/2021,15800.0
16/06/2021,15250.0
15/06/2021,15350.0
14/06/2021,14500.0
11/06/2021,14650.0
10/06/2021,14350.0
09/06/2021,13450.0
08/06/2021,13000.0
07/06/2021,13400.0
04/06/2021,13450.0
03/06/2021,13450.0
02/06/2021,12800.0
01/06/2021,12400.0
31/05/2021,12700.0
28/05/2021,12900.0
27/05/2021,12800.0
26/05/2021,13300.0
25/05/2021,13050.0
24/05/2021,13050.0
21/05/2021,12200.0
20/05/2021,12000.0
19/05/2021,12050.0
18/05/2021,12200.0
17/05/2021,12300.0
14/05/2021,12250.0
13/05/2021,12450.0
12/05/2021,12100.0
11/05/2021,11850.0
10/05/2021,11700.0
07/05/2021,11900.0
06/05/2021,12050.0
05/05/2021,11800.0
04/05/2021,11550.0
29/04/2021,12050.0
28/04/2021,11800.0
27/04/2021,11800.0
26/04/2021,11850.0
23/04/2021,11800.0
22/04/2021,11250.0
20/04/2021,12050.0
19/04/2021,12400.0
16/04/2021,12600.0
