Date,Closing price
31/05/2022,8000.0
30/05/2022,8119.999999999999
27/05/2022,8119.999999999999
26/05/2022,8119.999999999999
25/05/2022,7930.0
24/05/2022,7780.0
23/05/2022,7710.0
20/05/2022,7810.0
19/05/2022,7950.0
18/05/2022,8100.0
17/05/2022,8020.0
16/05/2022,7500.0
13/05/2022,7860.0
12/05/2022,8450.0
11/05/2022,9000.0
10/05/2022,8880.0
09/05/2022,8890.0
06/05/2022,9550.0
05/05/2022,9800.0
04/05/2022,9970.0
29/04/2022,10550.0
28/04/2022,10500.0
27/04/2022,10500.0
26/04/2022,9900.0
25/04/2022,9260.0
22/04/2022,9950.0
21/04/2022,9820.0
20/04/2022,9820.0
19/04/2022,9820.0
18/04/2022,10550.0
15/04/2022,11300.0
14/04/2022,11600.0
13/04/2022,11450.0
12/04/2022,11400.0
08/04/2022,11750.0
07/04/2022,12150.0
06/04/2022,12450.0
05/04/2022,12700.0
04/04/2022,12850.0
01/04/2022,12950.0
31/03/2022,12650.0
30/03/2022,13000.0
29/03/2022,13900.0
28/03/2022,13500.0
25/03/2022,14050.0
24/03/2022,14200.0
23/03/2022,14100.0
22/03/2022,14600.0
21/03/2022,14550.0
18/03/2022,14700.0
17/03/2022,14000.0
16/03/2022,14000.0
15/03/2022,13800.0
14/03/2022,13700.0
11/03/2022,14000.0
10/03/2022,14200.0
09/03/2022,14300.0
08/03/2022,14400.0
07/03/2022,14900.0
04/03/2022,14700.0
03/03/2022,14400.0
02/03/2022,14400.0
01/03/2022,14900.0
28/02/2022,14550.0
25/02/2022,15500.0
24/02/2022,15400.0
23/02/2022,15600.0
22/02/2022,14600.0
21/02/2022,14600.0
18/02/2022,14450.0
17/02/2022,14450.0
16/02/2022,14450.0
15/02/2022,14450.0
14/02/2022,14200.0
11/02/2022,14000.0
10/02/2022,14200.0
09/02/2022,14200.0
08/02/2022,13550.0
07/02/2022,13350.0
28/01/2022,13150.0
27/01/2022,13000.0
26/01/2022,13800.0
25/01/2022,14200.0
24/01/2022,14400.0
21/01/2022,14100.0
20/01/2022,14100.0
19/01/2022,13200.0
18/01/2022,12650.0
17/01/2022,13550.0
14/01/2022,18900.0
13/01/2022,20300.0
12/01/2022,21800.0
11/01/2022,23400.0
10/01/2022,24800.0
07/01/2022,24300.0
06/01/2022,24800.0
05/01/2022,24000.0
04/01/2022,23300.0
31/12/2021,22000.0
30/12/2021,21800.0
29/12/2021,21600.0
28/12/2021,20200.0
27/12/2021,20050.0
24/12/2021,21300.0
23/12/2021,21000.0
22/12/2021,20700.0
21/12/2021,19650.0
20/12/2021,18400.0
17/12/2021,18400.0
16/12/2021,18400.0
15/12/2021,17850.0
14/12/2021,17600.0
13/12/2021,17950.0
10/12/2021,17100.0
09/12/2021,17400.0
08/12/2021,16800.0
07/12/2021,16650.0
06/12/2021,16500.0
03/12/2021,17100.0
02/12/2021,18100.0
01/12/2021,18150.0
30/11/2021,17000.0
29/11/2021,17000.0
26/11/2021,17000.0
25/11/2021,18000.0
24/11/2021,17800.0
23/11/2021,17400.0
22/11/2021,18700.0
19/11/2021,20100.0
18/11/2021,18800.0
17/11/2021,17600.0
16/11/2021,16450.0
15/11/2021,15400.0
12/11/2021,14400.0
11/11/2021,14400.0
10/11/2021,13500.0
09/11/2021,13650.0
08/11/2021,13750.0
05/11/2021,13300.0
04/11/2021,13800.0
03/11/2021,13700.0
02/11/2021,14650.0
01/11/2021,13700.0
29/10/2021,14050.0
28/10/2021,13150.0
27/10/2021,13300.0
26/10/2021,12900.0
25/10/2021,12800.0
22/10/2021,12950.0
21/10/2021,13200.0
20/10/2021,12900.0
19/10/2021,12100.0
18/10/2021,12100.0
15/10/2021,12000.0
14/10/2021,12350.0
13/10/2021,11800.0
12/10/2021,11800.0
11/10/2021,12000.0
08/10/2021,12350.0
07/10/2021,12350.0
06/10/2021,12600.0
05/10/2021,12450.0
04/10/2021,13150.0
01/10/2021,12950.0
30/09/2021,12150.0
29/09/2021,11400.0
28/09/2021,11400.0
27/09/2021,11400.0
24/09/2021,11450.0
23/09/2021,11800.0
22/09/2021,12400.0
21/09/2021,12100.0
20/09/2021,12300.0
17/09/2021,11500.0
16/09/2021,11200.0
15/09/2021,11300.0
14/09/2021,11200.0
13/09/2021,11500.0
10/09/2021,11000.0
09/09/2021,10300.0
08/09/2021,10400.0
07/09/2021,10200.0
06/09/2021,10450.0
01/09/2021,10250.0
31/08/2021,10200.0
30/08/2021,9900.0
27/08/2021,9400.0
26/08/2021,9220.0
25/08/2021,9380.0
24/08/2021,9230.0
23/08/2021,9400.0
20/08/2021,9700.0
19/08/2021,10100.0
18/08/2021,10400.0
17/08/2021,10450.0
16/08/2021,10500.0
13/08/2021,10100.0
12/08/2021,10200.0
11/08/2021,10200.0
10/08/2021,10200.0
09/08/2021,10450.0
06/08/2021,10350.0
05/08/2021,9890.0
04/08/2021,9250.0
03/08/2021,9200.0
02/08/2021,9200.0
30/07/2021,9250.0
29/07/2021,9390.0
28/07/2021,9490.0
27/07/2021,9300.0
26/07/2021,9180.0
23/07/2021,9150.0
22/07/2021,9300.0
21/07/2021,9300.0
20/07/2021,9880.0
19/07/2021,9770.0
16/07/2021,10500.0
15/07/2021,10450.0
14/07/2021,10450.0
13/07/2021,10650.0
12/07/2021,10650.0
09/07/2021,10800.0
08/07/2021,10800.0
07/07/2021,10900.0
06/07/2021,11000.0
05/07/2021,11450.0
02/07/2021,11500.0
01/07/2021,11600.0
30/06/2021,11500.0
29/06/2021,11500.0
28/06/2021,11750.0
25/06/2021,12400.0
24/06/2021,12400.0
23/06/2021,12800.0
22/06/2021,12800.0
21/06/2021,12000.0
18/06/2021,12100.0
17/06/2021,12500.0
16/06/2021,12450.0
15/06/2021,11850.0
14/06/2021,11100.0
11/06/2021,11200.0
10/06/2021,11200.0
09/06/2021,11600.0
08/06/2021,11450.0
07/06/2021,12050.0
04/06/2021,11800.0
03/06/2021,11250.0
02/06/2021,10800.0
01/06/2021,10750.0
31/05/2021,10900.0
28/05/2021,11000.0
27/05/2021,10900.0
26/05/2021,10800.0
25/05/2021,10800.0
24/05/2021,11300.0
21/05/2021,11400.0
20/05/2021,11700.0
19/05/2021,11100.0
18/05/2021,10400.0
17/05/2021,10400.0
14/05/2021,10700.0
13/05/2021,10500.0
12/05/2021,11000.0
11/05/2021,11100.0
10/05/2021,11200.0
07/05/2021,11150.0
06/05/2021,11550.0
05/05/2021,11900.0
04/05/2021,11700.0
29/04/2021,11800.0
28/04/2021,12500.0
27/04/2021,13000.0
26/04/2021,13350.0
23/04/2021,13000.0
22/04/2021,12850.0
20/04/2021,13300.0
19/04/2021,13250.0
16/04/2021,12800.0
15/04/2021,13300.0
14/04/2021,13400.0
13/04/2021,14000.0
12/04/2021,14300.0
09/04/2021,14050.0
08/04/2021,14500.0
07/04/2021,14800.0
06/04/2021,15000.0
05/04/2021,14250.0
02/04/2021,13350.0
01/04/2021,13800.0
31/03/2021,13600.0
30/03/2021,12750.0
29/03/2021,11950.0
26/03/2021,11200.0
25/03/2021,10500.0
24/03/2021,9820.0
23/03/2021,10200.0
22/03/2021,10500.0
19/03/2021,10500.0
18/03/2021,10400.0
17/03/2021,10800.0
16/03/2021,10800.0
15/03/2021,10700.0
12/03/2021,10300.0
11/03/2021,10500.0
10/03/2021,10300.0
09/03/2021,9640.0
08/03/2021,9740.0
05/03/2021,9740.0
04/03/2021,9890.0
03/03/2021,9700.0
02/03/2021,9600.0
01/03/2021,9140.0
26/02/2021,8550.0
25/02/2021,9000.0
24/02/2021,9000.0
23/02/2021,9390.0
22/02/2021,9200.0
19/02/2021,9890.0
18/02/2021,9900.0
17/02/2021,10050.0
09/02/2021,9640.0
08/02/2021,9010.0
05/02/2021,9410.0
04/02/2021,8800.0
03/02/2021,8230.0
02/02/2021,7850.0
01/02/2021,7580.0
29/01/2021,8140.000000000001
28/01/2021,8620.0
27/01/2021,9260.0
26/01/2021,9950.0
25/01/2021,10000.0
22/01/2021,10350.0
21/01/2021,9900.0
20/01/2021,10000.0
19/01/2021,10100.0
18/01/2021,10800.0
15/01/2021,11500.0
14/01/2021,12400.0
13/01/2021,11600.0
12/01/2021,12000.0
11/01/2021,12000.0
08/01/2021,11250.0
07/01/2021,10550.0
06/01/2021,10500.0
05/01/2021,10300.0
04/01/2021,9650.0
31/12/2020,9020.0
30/12/2020,8430.0
29/12/2020,7880.0
28/12/2020,8070.0
25/12/2020,7780.0
24/12/2020,7740.0
23/12/2020,8000.0
22/12/2020,7720.0
21/12/2020,7220.0
18/12/2020,6750.0
17/12/2020,6310.0
16/12/2020,5900.0
15/12/2020,5860.0
14/12/2020,5850.0
11/12/2020,5850.0
10/12/2020,5850.0
09/12/2020,5970.0
08/12/2020,6040.0
07/12/2020,6110.0
04/12/2020,5870.0
03/12/2020,5860.0
02/12/2020,5900.0
01/12/2020,5800.0
30/11/2020,5970.0
27/11/2020,5970.0
26/11/2020,5980.0
25/11/2020,5840.0
24/11/2020,5840.0
23/11/2020,5800.0
20/11/2020,5610.0
19/11/2020,5730.0
18/11/2020,5980.0
17/11/2020,5950.0
16/11/2020,5930.0
13/11/2020,5640.0
12/11/2020,5280.0
11/11/2020,5290.0
10/11/2020,5290.0
09/11/2020,5290.0
06/11/2020,5270.0
05/11/2020,5200.0
04/11/2020,5200.0
03/11/2020,5100.0
02/11/2020,4970.0
30/10/2020,4650.0
29/10/2020,4700.0
28/10/2020,4770.0
27/10/2020,4880.0
26/10/2020,4980.0
23/10/2020,5050.0
22/10/2020,4940.0
21/10/2020,5000.0
20/10/2020,4950.0
19/10/2020,4920.0
16/10/2020,4870.0
15/10/2020,4990.0
14/10/2020,5070.0
13/10/2020,5190.0
12/10/2020,5180.0
09/10/2020,5250.0
08/10/2020,5220.0
07/10/2020,5220.0
06/10/2020,4880.0
05/10/2020,4940.0
02/10/2020,4890.0
01/10/2020,4820.0
30/09/2020,4820.0
29/09/2020,4700.0
28/09/2020,4970.0
25/09/2020,5000.0
24/09/2020,5100.0
23/09/2020,5000.0
22/09/2020,4900.0
21/09/2020,4840.0
18/09/2020,4830.0
17/09/2020,4790.0
16/09/2020,4700.0
15/09/2020,4700.0
14/09/2020,4850.0
11/09/2020,5000.0
10/09/2020,5010.0
09/09/2020,5080.0
08/09/2020,5100.0
07/09/2020,4860.0
04/09/2020,5000.0
03/09/2020,5100.0
01/09/2020,4770.0
31/08/2020,4460.0
28/08/2020,4400.0
27/08/2020,4310.0
26/08/2020,4210.0
25/08/2020,4280.0
24/08/2020,4410.0
21/08/2020,4130.0
20/08/2020,4110.0
19/08/2020,4350.0
18/08/2020,4290.0
17/08/2020,4010.0
14/08/2020,4200.0
13/08/2020,4370.0
12/08/2020,4090.0
11/08/2020,3830.0
10/08/2020,3580.0
07/08/2020,3520.0
06/08/2020,3520.0
05/08/2020,3520.0
04/08/2020,3540.0
03/08/2020,3390.0
31/07/2020,3230.0
30/07/2020,3460.0
29/07/2020,3460.0
28/07/2020,3710.0
27/07/2020,3700.0
24/07/2020,3970.0
23/07/2020,4040.0
22/07/2020,4030.0000000000005
21/07/2020,4040.0
20/07/2020,3970.0
17/07/2020,4000.0
16/07/2020,4000.0
15/07/2020,4000.0
14/07/2020,4000.0
13/07/2020,4070.0000000000005
10/07/2020,4200.0
09/07/2020,4290.0
08/07/2020,4200.0
07/07/2020,4019.9999999999995
06/07/2020,4150.0
03/07/2020,4150.0
02/07/2020,4150.0
01/07/2020,4280.0
30/06/2020,4180.0
29/06/2020,4480.0
26/06/2020,4800.0
25/06/2020,4860.0
24/06/2020,5000.0
23/06/2020,4900.0
22/06/2020,4580.0
19/06/2020,4880.0
18/06/2020,4890.0
17/06/2020,4850.0
16/06/2020,5130.0
15/06/2020,4800.0
12/06/2020,4490.0
11/06/2020,4200.0
10/06/2020,4460.0
09/06/2020,4170.0
08/06/2020,3900.0
05/06/2020,3650.0
04/06/2020,3420.0
03/06/2020,3210.0
02/06/2020,3450.0
01/06/2020,3230.0
29/05/2020,3020.0
28/05/2020,2830.0
27/05/2020,2650.0
26/05/2020,2480.0
25/05/2020,2550.0
22/05/2020,2480.0
21/05/2020,2430.0
20/05/2020,2540.0
19/05/2020,2500.0
18/05/2020,2590.0
15/05/2020,2570.0
14/05/2020,2420.0
13/05/2020,2420.0
12/05/2020,2410.0
11/05/2020,2430.0
08/05/2020,2430.0
07/05/2020,2420.0
06/05/2020,2430.0
05/05/2020,2430.0
04/05/2020,2430.0
29/04/2020,2430.0
28/04/2020,2430.0
27/04/2020,2420.0
24/04/2020,2430.0
23/04/2020,2440.0
22/04/2020,2440.0
21/04/2020,2400.0
20/04/2020,2400.0
17/04/2020,2490.0
16/04/2020,2500.0
15/04/2020,2490.0
14/04/2020,2460.0
13/04/2020,2440.0
10/04/2020,2430.0
09/04/2020,2420.0
08/04/2020,2410.0
07/04/2020,2380.0
06/04/2020,2490.0
03/04/2020,2470.0
01/04/2020,2390.0
31/03/2020,2240.0
30/03/2020,2200.0
27/03/2020,2340.0
26/03/2020,2360.0
25/03/2020,2350.0
24/03/2020,2320.0
23/03/2020,2270.0
20/03/2020,2400.0
19/03/2020,2410.0
18/03/2020,2450.0
17/03/2020,2400.0
16/03/2020,2350.0
13/03/2020,2310.0
12/03/2020,2310.0
11/03/2020,2440.0
10/03/2020,2430.0
09/03/2020,2420.0
06/03/2020,2570.0
05/03/2020,2610.0
04/03/2020,2550.0
03/03/2020,2570.0
02/03/2020,2570.0
28/02/2020,2570.0
27/02/2020,2530.0
26/02/2020,2390.0
25/02/2020,2420.0
24/02/2020,2550.0
21/02/2020,2550.0
20/02/2020,2390.0
19/02/2020,2240.0
18/02/2020,2350.0
17/02/2020,2370.0
14/02/2020,2400.0
13/02/2020,2420.0
12/02/2020,2430.0
11/02/2020,2430.0
10/02/2020,2450.0
07/02/2020,2450.0
06/02/2020,2470.0
05/02/2020,2410.0
04/02/2020,2480.0
03/02/2020,2490.0
31/01/2020,2500.0
30/01/2020,2520.0
22/01/2020,2540.0
21/01/2020,2570.0
20/01/2020,2450.0
17/01/2020,2500.0
16/01/2020,2500.0
15/01/2020,2500.0
14/01/2020,2500.0
13/01/2020,2500.0
10/01/2020,2500.0
09/01/2020,2500.0
08/01/2020,2540.0
07/01/2020,2540.0
06/01/2020,2560.0
03/01/2020,2550.0
02/01/2020,2510.0
