Date,Closing price
31/05/2022,6600.0
30/05/2022,6720.0
27/05/2022,6500.0
26/05/2022,6470.0
25/05/2022,6240.0
24/05/2022,6000.0
23/05/2022,6180.0
20/05/2022,6170.0
19/05/2022,6200.0
18/05/2022,6300.0
17/05/2022,6250.0
16/05/2022,5940.0
13/05/2022,5890.0
12/05/2022,6330.0
11/05/2022,6800.0
10/05/2022,6790.0
09/05/2022,6960.0
06/05/2022,7480.0
05/05/2022,7490.0
04/05/2022,7590.0
29/04/2022,7760.0
28/04/2022,7610.0
27/04/2022,7600.0
26/04/2022,7260.0
25/04/2022,6790.0
22/04/2022,7290.0
21/04/2022,7390.0
20/04/2022,7940.0
19/04/2022,8530.0
18/04/2022,9170.0
15/04/2022,9850.0
14/04/2022,10000.0
13/04/2022,10100.0
12/04/2022,9780.0
08/04/2022,10500.0
07/04/2022,10900.0
06/04/2022,11000.0
05/04/2022,11300.0
04/04/2022,11150.0
01/04/2022,11100.0
31/03/2022,11100.0
30/03/2022,11200.0
29/03/2022,11600.0
28/03/2022,11500.0
25/03/2022,12100.0
24/03/2022,12100.0
23/03/2022,12150.0
22/03/2022,12100.0
21/03/2022,12400.0
18/03/2022,11600.0
17/03/2022,11400.0
16/03/2022,11700.0
15/03/2022,11800.0
14/03/2022,11450.0
11/03/2022,12300.0
10/03/2022,12300.0
09/03/2022,11500.0
08/03/2022,11500.0
07/03/2022,10750.0
04/03/2022,10050.0
03/03/2022,9900.0
02/03/2022,9760.0
01/03/2022,10200.0
28/02/2022,10000.0
25/02/2022,10100.0
24/02/2022,10000.0
23/02/2022,10400.0
22/02/2022,10150.0
21/02/2022,10500.0
18/02/2022,10200.0
17/02/2022,10150.0
16/02/2022,10100.0
15/02/2022,10000.0
14/02/2022,10150.0
11/02/2022,10200.0
10/02/2022,10500.0
09/02/2022,10300.0
08/02/2022,10250.0
07/02/2022,9630.0
28/01/2022,9280.0
27/01/2022,9120.0
26/01/2022,9310.0
25/01/2022,9760.0
24/01/2022,9550.0
21/01/2022,10250.0
20/01/2022,10400.0
19/01/2022,9750.0
18/01/2022,9970.0
17/01/2022,10700.0
14/01/2022,11500.0
13/01/2022,11900.0
12/01/2022,12750.0
11/01/2022,13050.0
10/01/2022,13000.0
07/01/2022,13150.0
06/01/2022,13150.0
05/01/2022,13100.0
04/01/2022,12800.0
31/12/2021,12000.0
30/12/2021,12300.0
29/12/2021,12500.0
28/12/2021,12050.0
27/12/2021,11300.0
24/12/2021,11200.0
23/12/2021,11700.0
22/12/2021,10950.0
21/12/2021,10450.0
20/12/2021,10300.0
17/12/2021,10300.0
16/12/2021,9660.0
15/12/2021,9800.0
14/12/2021,9900.0
13/12/2021,10050.0
10/12/2021,9800.0
09/12/2021,9770.0
08/12/2021,9480.0
07/12/2021,9630.0
06/12/2021,9310.0
03/12/2021,10000.0
02/12/2021,10300.0
01/12/2021,10150.0
30/11/2021,10450.0
29/11/2021,10350.0
26/11/2021,10900.0
25/11/2021,10500.0
24/11/2021,10400.0
23/11/2021,10500.0
22/11/2021,10150.0
19/11/2021,10850.0
18/11/2021,11100.0
17/11/2021,11100.0
16/11/2021,10900.0
15/11/2021,11100.0
12/11/2021,10450.0
11/11/2021,10600.0
10/11/2021,10350.0
09/11/2021,9700.0
08/11/2021,9970.0
05/11/2021,9980.0
04/11/2021,9330.0
03/11/2021,8970.0
02/11/2021,9250.0
01/11/2021,8850.0
29/10/2021,8880.0
28/10/2021,8800.0
27/10/2021,8850.0
26/10/2021,8720.0
25/10/2021,8720.0
22/10/2021,8600.0
21/10/2021,8130.000000000001
20/10/2021,8100.0
19/10/2021,7850.0
18/10/2021,7690.0
15/10/2021,7660.0
14/10/2021,7800.0
13/10/2021,7700.0
12/10/2021,7770.0
11/10/2021,7770.0
08/10/2021,7940.0
07/10/2021,8080.0
06/10/2021,7880.0
05/10/2021,7370.0
04/10/2021,7370.0
01/10/2021,7260.0
30/09/2021,7380.0
29/09/2021,7300.0
28/09/2021,7230.0
27/09/2021,7440.0
24/09/2021,8000.0
23/09/2021,8380.0
22/09/2021,7840.0
21/09/2021,7330.0
20/09/2021,7350.0
17/09/2021,7670.0
16/09/2021,7800.0
15/09/2021,7490.0
14/09/2021,7000.0
13/09/2021,6990.0
10/09/2021,6940.0
09/09/2021,6900.0
08/09/2021,6870.0
07/09/2021,6820.0
06/09/2021,7000.0
01/09/2021,6710.0
31/08/2021,6700.0
30/08/2021,6720.0
27/08/2021,6600.0
26/08/2021,6660.0
25/08/2021,6670.0
24/08/2021,6680.0
23/08/2021,6450.0
20/08/2021,6550.0
19/08/2021,6700.0
18/08/2021,6760.0
17/08/2021,6760.0
16/08/2021,6810.0
13/08/2021,6710.0
12/08/2021,6680.0
11/08/2021,6490.0
10/08/2021,6350.0
09/08/2021,6410.0
06/08/2021,6380.0
05/08/2021,6400.0
04/08/2021,6450.0
03/08/2021,6450.0
02/08/2021,6400.0
30/07/2021,6200.0
29/07/2021,6200.0
28/07/2021,6160.0
27/07/2021,6170.0
26/07/2021,6170.0
23/07/2021,6280.0
22/07/2021,6300.0
21/07/2021,6230.0
20/07/2021,6250.0
19/07/2021,6280.0
16/07/2021,6360.0
15/07/2021,6190.0
14/07/2021,6150.0
13/07/2021,6380.0
12/07/2021,6440.0
09/07/2021,6690.0
08/07/2021,6720.0
07/07/2021,6710.0
06/07/2021,6790.0
05/07/2021,6800.0
02/07/2021,6900.0
01/07/2021,6960.0
30/06/2021,6810.0
29/06/2021,6680.0
28/06/2021,6700.0
25/06/2021,6700.0
24/06/2021,6700.0
23/06/2021,6710.0
22/06/2021,6900.0
21/06/2021,6890.0
18/06/2021,6630.0
17/06/2021,6590.0
16/06/2021,6590.0
15/06/2021,6520.0
14/06/2021,6500.0
11/06/2021,6610.0
10/06/2021,6630.0
09/06/2021,6500.0
08/06/2021,6500.0
07/06/2021,6460.0
04/06/2021,6530.0
03/06/2021,6600.0
02/06/2021,6600.0
01/06/2021,6400.0
31/05/2021,6400.0
28/05/2021,6530.0
27/05/2021,6700.0
26/05/2021,6450.0
25/05/2021,6500.0
24/05/2021,6500.0
21/05/2021,6480.0
20/05/2021,6400.0
19/05/2021,6370.0
18/05/2021,6500.0
17/05/2021,6450.0
14/05/2021,6450.0
13/05/2021,6500.0
12/05/2021,6550.0
11/05/2021,6490.0
10/05/2021,6490.0
07/05/2021,6790.0
06/05/2021,6790.0
05/05/2021,6860.0
04/05/2021,6600.0
29/04/2021,6800.0
28/04/2021,6700.0
27/04/2021,6800.0
26/04/2021,6750.0
23/04/2021,7000.0
22/04/2021,6900.0
20/04/2021,6900.0
19/04/2021,7400.0
16/04/2021,7600.0
15/04/2021,7410.0
14/04/2021,7700.0
13/04/2021,7600.0
12/04/2021,7800.0
09/04/2021,7800.0
08/04/2021,7590.0
07/04/2021,7510.0
06/04/2021,7310.0
05/04/2021,6840.0
02/04/2021,6990.0
01/04/2021,7030.0
31/03/2021,6860.0
30/03/2021,6900.0
29/03/2021,6800.0
26/03/2021,6720.0
25/03/2021,6900.0
24/03/2021,7000.0
23/03/2021,7050.0
22/03/2021,6800.0
19/03/2021,7000.0
18/03/2021,7110.0
17/03/2021,7140.0
16/03/2021,7100.0
15/03/2021,7180.0
12/03/2021,7100.0
11/03/2021,7150.0
10/03/2021,7300.0
09/03/2021,7000.0
08/03/2021,6990.0
05/03/2021,6600.0
04/03/2021,6720.0
03/03/2021,6700.0
02/03/2021,6700.0
01/03/2021,6700.0
26/02/2021,6550.0
25/02/2021,6840.0
24/02/2021,6550.0
23/02/2021,6500.0
22/02/2021,6590.0
19/02/2021,6470.0
18/02/2021,6470.0
17/02/2021,6470.0
09/02/2021,6150.0
08/02/2021,6100.0
05/02/2021,6300.0
04/02/2021,6300.0
03/02/2021,6300.0
02/02/2021,6200.0
01/02/2021,6340.0
29/01/2021,6460.0
28/01/2021,6140.0
27/01/2021,6600.0
26/01/2021,6680.0
25/01/2021,6990.0
22/01/2021,7190.0
21/01/2021,7080.0
20/01/2021,6940.0
19/01/2021,6880.0
18/01/2021,7390.0
15/01/2021,7500.0
14/01/2021,7700.0
13/01/2021,7410.0
12/01/2021,6930.0
11/01/2021,6900.0
08/01/2021,6900.0
07/01/2021,7250.0
06/01/2021,7090.0
05/01/2021,6630.0
04/01/2021,6200.0
31/12/2020,6140.0
30/12/2020,6110.0
29/12/2020,6050.0
28/12/2020,6000.0
25/12/2020,5980.0
24/12/2020,5900.0
23/12/2020,5950.0
22/12/2020,5920.0
21/12/2020,5800.0
18/12/2020,6000.0
17/12/2020,6000.0
16/12/2020,6000.0
15/12/2020,5970.0
14/12/2020,5980.0
11/12/2020,6000.0
10/12/2020,5800.0
09/12/2020,5870.0
08/12/2020,5800.0
07/12/2020,5970.0
04/12/2020,5800.0
03/12/2020,5800.0
02/12/2020,5880.0
01/12/2020,5900.0
30/11/2020,5850.0
27/11/2020,5900.0
26/11/2020,5800.0
25/11/2020,5940.0
24/11/2020,5990.0
23/11/2020,5830.0
20/11/2020,5940.0
19/11/2020,5990.0
18/11/2020,5990.0
17/11/2020,5990.0
16/11/2020,5970.0
13/11/2020,5990.0
12/11/2020,6000.0
11/11/2020,6000.0
10/11/2020,5800.0
09/11/2020,5990.0
06/11/2020,5800.0
05/11/2020,6170.0
04/11/2020,6000.0
03/11/2020,5710.0
02/11/2020,5900.0
30/10/2020,5980.0
29/10/2020,6100.0
28/10/2020,6100.0
27/10/2020,6100.0
26/10/2020,6100.0
23/10/2020,6130.0
22/10/2020,6150.0
21/10/2020,6150.0
20/10/2020,6170.0
19/10/2020,6170.0
16/10/2020,6150.0
15/10/2020,6180.0
14/10/2020,6200.0
13/10/2020,6180.0
12/10/2020,6180.0
09/10/2020,6170.0
08/10/2020,6170.0
07/10/2020,6170.0
06/10/2020,6200.0
05/10/2020,6240.0
02/10/2020,6140.0
01/10/2020,6130.0
30/09/2020,6130.0
29/09/2020,6130.0
28/09/2020,6120.0
25/09/2020,6150.0
24/09/2020,6240.0
23/09/2020,6110.0
22/09/2020,6110.0
21/09/2020,6180.0
18/09/2020,6180.0
17/09/2020,6200.0
16/09/2020,6190.0
15/09/2020,6100.0
14/09/2020,6140.0
11/09/2020,6120.0
10/09/2020,6170.0
09/09/2020,6150.0
08/09/2020,6190.0
07/09/2020,6190.0
04/09/2020,6200.0
03/09/2020,6100.0
01/09/2020,6210.0
31/08/2020,6250.0
28/08/2020,6280.0
27/08/2020,6280.0
26/08/2020,6220.0
25/08/2020,6190.0
24/08/2020,6200.0
21/08/2020,6180.0
20/08/2020,6150.0
19/08/2020,6150.0
18/08/2020,6110.0
17/08/2020,6020.0
14/08/2020,6150.0
13/08/2020,6010.0
12/08/2020,6000.0
11/08/2020,6000.0
10/08/2020,6200.0
07/08/2020,6200.0
06/08/2020,6150.0
05/08/2020,6400.0
04/08/2020,6400.0
03/08/2020,6390.0
31/07/2020,6130.0
30/07/2020,6440.0
29/07/2020,6400.0
28/07/2020,6110.0
27/07/2020,6020.0
24/07/2020,6370.0
23/07/2020,6420.0
22/07/2020,6320.0
21/07/2020,6410.0
20/07/2020,6500.0
17/07/2020,6550.0
16/07/2020,6550.0
15/07/2020,6550.0
14/07/2020,6500.0
13/07/2020,6500.0
10/07/2020,6620.0
09/07/2020,6620.0
08/07/2020,6500.0
07/07/2020,6380.0
06/07/2020,6490.0
03/07/2020,6340.0
02/07/2020,6390.0
01/07/2020,6390.0
30/06/2020,6380.0
29/06/2020,6350.0
26/06/2020,6600.0
25/06/2020,6600.0
24/06/2020,6830.0
23/06/2020,6400.0
