Date,Closing price
31/05/2022,18100.0
30/05/2022,17600.0
27/05/2022,17400.0
26/05/2022,17400.0
25/05/2022,17800.0
24/05/2022,17200.0
23/05/2022,16900.0
20/05/2022,16650.0
19/05/2022,15600.0
18/05/2022,15600.0
17/05/2022,15300.0
16/05/2022,14300.0
13/05/2022,15300.0
12/05/2022,16400.0
11/05/2022,17600.0
10/05/2022,17600.0
09/05/2022,18200.0
06/05/2022,19550.0
05/05/2022,21000.0
04/05/2022,21450.0
29/04/2022,20300.0
28/04/2022,20050.0
27/04/2022,20400.0
26/04/2022,19500.0
25/04/2022,18600.0
22/04/2022,20000.0
21/04/2022,21450.0
20/04/2022,23050.0
19/04/2022,24750.0
18/04/2022,26600.0
15/04/2022,28600.0
14/04/2022,28800.0
13/04/2022,29250.0
12/04/2022,28250.0
08/04/2022,28050.0
07/04/2022,27800.0
06/04/2022,28550.0
05/04/2022,29700.0
04/04/2022,28400.0
01/04/2022,27850.0
31/03/2022,27200.0
30/03/2022,27300.0
29/03/2022,27700.0
28/03/2022,27050.0
25/03/2022,27900.0
24/03/2022,28100.0
23/03/2022,27000.0
22/03/2022,27600.0
21/03/2022,28100.0
18/03/2022,27350.0
17/03/2022,26300.0
16/03/2022,26250.0
15/03/2022,26250.0
14/03/2022,24550.0
11/03/2022,24200.0
10/03/2022,24300.0
09/03/2022,23650.0
08/03/2022,24200.0
07/03/2022,25400.0
04/03/2022,25800.0
03/03/2022,24800.0
02/03/2022,24400.0
01/03/2022,24900.0
28/02/2022,24800.0
25/02/2022,24100.0
24/02/2022,24250.0
23/02/2022,25450.0
22/02/2022,24850.0
21/02/2022,25900.0
18/02/2022,25200.0
17/02/2022,24200.0
16/02/2022,24550.0
15/02/2022,23500.0
14/02/2022,23300.0
11/02/2022,22900.0
10/02/2022,23550.0
09/02/2022,23300.0
08/02/2022,21800.0
07/02/2022,23200.0
28/01/2022,22000.0
27/01/2022,21300.0
26/01/2022,22850.0
25/01/2022,24550.0
24/01/2022,26350.0
21/01/2022,28300.0
20/01/2022,28100.0
19/01/2022,26300.0
18/01/2022,28250.0
17/01/2022,30350.0
14/01/2022,32600.0
13/01/2022,33500.0
12/01/2022,36000.0
11/01/2022,34600.0
10/01/2022,32450.000000000004
07/01/2022,32200.000000000004
06/01/2022,31900.0
05/01/2022,31450.0
04/01/2022,29400.0
31/12/2021,27500.0
30/12/2021,28300.0
29/12/2021,28550.0
28/12/2021,29950.0
27/12/2021,29400.0
24/12/2021,29500.0
23/12/2021,30300.0
22/12/2021,28350.0
21/12/2021,26500.0
20/12/2021,26650.0
17/12/2021,27850.0
16/12/2021,27750.0
15/12/2021,26700.0
14/12/2021,26850.0
13/12/2021,25900.0
10/12/2021,24550.0
09/12/2021,23950.0
08/12/2021,22400.0
07/12/2021,22950.0
