Date,Closing price
31/05/2022,109900.0
30/05/2022,111300.0
27/05/2022,111800.0
26/05/2022,105600.0
25/05/2022,105000.0
24/05/2022,98200.0
23/05/2022,96500.0
20/05/2022,97500.0
19/05/2022,97000.0
18/05/2022,97700.0
17/05/2022,99700.0
16/05/2022,93200.0
13/05/2022,93600.0
12/05/2022,95600.0
11/05/2022,101900.0
10/05/2022,98400.0
09/05/2022,94000.0
06/05/2022,100200.0
05/05/2022,104700.0
04/05/2022,104500.0
29/04/2022,105000.0
28/04/2022,105500.0
27/04/2022,103000.0
26/04/2022,104300.0
25/04/2022,103400.0
22/04/2022,111100.0
21/04/2022,112000.0
20/04/2022,112000.0
19/04/2022,112000.0
18/04/2022,115500.0
15/04/2022,115000.0
14/04/2022,116600.0
13/04/2022,115100.0
12/04/2022,109800.0
08/04/2022,108500.0
07/04/2022,113300.0
06/04/2022,113000.0
05/04/2022,109000.0
04/04/2022,109300.0
01/04/2022,111000.0
31/03/2022,107000.0
30/03/2022,106000.0
29/03/2022,104900.0
28/03/2022,98100.0
25/03/2022,95700.0
24/03/2022,96000.0
23/03/2022,96500.0
22/03/2022,96400.0
21/03/2022,95300.0
18/03/2022,95100.0
17/03/2022,92000.0
16/03/2022,91600.0
15/03/2022,91000.0
14/03/2022,91800.0
11/03/2022,93200.0
10/03/2022,94600.0
09/03/2022,95500.0
08/03/2022,94800.0
07/03/2022,93800.0
04/03/2022,93500.0
03/03/2022,93400.0
02/03/2022,93100.0
01/03/2022,93400.0
28/02/2022,93300.0
25/02/2022,92300.0
24/02/2022,92000.0
23/02/2022,93000.0
22/02/2022,92900.0
21/02/2022,93500.0
18/02/2022,92200.0
17/02/2022,92800.0
16/02/2022,91300.0
15/02/2022,91100.0
14/02/2022,91000.0
11/02/2022,91600.0
10/02/2022,92000.0
09/02/2022,90700.0
08/02/2022,90600.0
07/02/2022,89500.0
28/01/2022,89500.0
27/01/2022,85900.0
26/01/2022,86000.0
25/01/2022,86500.0
24/01/2022,85300.0
21/01/2022,88200.0
20/01/2022,88800.0
19/01/2022,88300.0
18/01/2022,88100.0
17/01/2022,89000.0
14/01/2022,91300.0
13/01/2022,92100.0
12/01/2022,89600.0
11/01/2022,89500.0
10/01/2022,92000.0
07/01/2022,93400.0
06/01/2022,93500.0
05/01/2022,93600.0
04/01/2022,93500.0
31/12/2021,93000.0
30/12/2021,93600.0
29/12/2021,93600.0
28/12/2021,94500.0
27/12/2021,94500.0
24/12/2021,93800.0
23/12/2021,93200.0
22/12/2021,95000.0
21/12/2021,95200.0
20/12/2021,95800.0
17/12/2021,96400.0
16/12/2021,95500.0
15/12/2021,95900.0
14/12/2021,95700.0
13/12/2021,96000.0
10/12/2021,95800.0
09/12/2021,97000.0
08/12/2021,95600.0
07/12/2021,96000.0
06/12/2021,94500.0
03/12/2021,95500.0
02/12/2021,97200.0
01/12/2021,98200.0
30/11/2021,97100.0
29/11/2021,98100.0
26/11/2021,98900.0
25/11/2021,100000.0
24/11/2021,97900.0
23/11/2021,96600.0
22/11/2021,95000.0
19/11/2021,95300.0
18/11/2021,96500.0
17/11/2021,98300.0
16/11/2021,98300.0
15/11/2021,97300.0
12/11/2021,98000.0
11/11/2021,96000.0
10/11/2021,97000.0
09/11/2021,96400.0
08/11/2021,97400.0
05/11/2021,97600.0
04/11/2021,96000.0
03/11/2021,96100.0
02/11/2021,96100.0
01/11/2021,95800.0
29/10/2021,96900.0
28/10/2021,98000.0
27/10/2021,98200.0
26/10/2021,96900.0
25/10/2021,94900.0
22/10/2021,96200.0
21/10/2021,96700.0
20/10/2021,97600.0
19/10/2021,98600.0
18/10/2021,99000.0
15/10/2021,98900.0
14/10/2021,98800.0
13/10/2021,99400.0
12/10/2021,99000.0
11/10/2021,99200.0
08/10/2021,98900.0
07/10/2021,94300.0
06/10/2021,94400.0
05/10/2021,94400.0
04/10/2021,94600.0
01/10/2021,92900.0
30/09/2021,93000.0
29/09/2021,93200.0
28/09/2021,93000.0
27/09/2021,92100.0
24/09/2021,92700.0
23/09/2021,93100.0
22/09/2021,93200.0
21/09/2021,93500.0
20/09/2021,94400.0
17/09/2021,95700.0
16/09/2021,94700.0
15/09/2021,94100.0
14/09/2021,93800.0
13/09/2021,93000.0
10/09/2021,93500.0
09/09/2021,93200.0
08/09/2021,93100.0
07/09/2021,93500.0
06/09/2021,94900.0
01/09/2021,92400.0
31/08/2021,92400.0
30/08/2021,92200.0
27/08/2021,92000.0
26/08/2021,91400.0
25/08/2021,91900.0
24/08/2021,91900.0
23/08/2021,91000.0
20/08/2021,92800.0
19/08/2021,94500.0
18/08/2021,94000.0
17/08/2021,93800.0
16/08/2021,94600.0
13/08/2021,95000.0
12/08/2021,93800.0
11/08/2021,96100.0
10/08/2021,97800.0
09/08/2021,97500.0
06/08/2021,96600.0
05/08/2021,96600.0
04/08/2021,95600.0
03/08/2021,95800.0
02/08/2021,95600.0
30/07/2021,94000.0
29/07/2021,93400.0
28/07/2021,92000.0
27/07/2021,93200.0
26/07/2021,93700.0
23/07/2021,90500.0
22/07/2021,89400.0
21/07/2021,86600.0
20/07/2021,86800.0
19/07/2021,84700.0
16/07/2021,86800.0
15/07/2021,85400.0
14/07/2021,85200.0
13/07/2021,87000.0
12/07/2021,86100.0
09/07/2021,89700.0
08/07/2021,89800.0
07/07/2021,90500.0
06/07/2021,87000.0
05/07/2021,92700.0
02/07/2021,91900.0
01/07/2021,88900.0
30/06/2021,88000.0
29/06/2021,88600.0
28/06/2021,85700.0
25/06/2021,85200.0
24/06/2021,84700.0
23/06/2021,84900.0
22/06/2021,85400.0
21/06/2021,85600.0
18/06/2021,83800.0
17/06/2021,82600.0
16/06/2021,83100.0
15/06/2021,83200.0
14/06/2021,83800.0
11/06/2021,83500.0
10/06/2021,81900.0
09/06/2021,81700.0
08/06/2021,80800.0
07/06/2021,82700.0
04/06/2021,84700.0
03/06/2021,85200.0
02/06/2021,85500.0
01/06/2021,87100.0
31/05/2021,97900.0
28/05/2021,94800.0
27/05/2021,93800.0
26/05/2021,95300.0
25/05/2021,93800.0
24/05/2021,93500.0
21/05/2021,93800.0
20/05/2021,95500.0
19/05/2021,90800.0
18/05/2021,87000.0
17/05/2021,85700.0
14/05/2021,84800.0
13/05/2021,84000.0
12/05/2021,85400.0
11/05/2021,85200.0
10/05/2021,85800.0
07/05/2021,83000.0
06/05/2021,82700.0
05/05/2021,82900.0
04/05/2021,82900.0
29/04/2021,80900.0
28/04/2021,80800.0
27/04/2021,80700.0
26/04/2021,81000.0
23/04/2021,83000.0
22/04/2021,80000.0
20/04/2021,82900.0
19/04/2021,81500.0
16/04/2021,79700.0
15/04/2021,80000.0
14/04/2021,81000.0
13/04/2021,80700.0
12/04/2021,82100.0
09/04/2021,82100.0
08/04/2021,79600.0
07/04/2021,79600.0
06/04/2021,79400.0
05/04/2021,79600.0
02/04/2021,79800.0
01/04/2021,79700.0
