Date,Closing price
31/05/2022,123900.0
30/05/2022,130800.00000000001
27/05/2022,132800.0
26/05/2022,124500.0
25/05/2022,121800.0
24/05/2022,113900.0
23/05/2022,111500.0
20/05/2022,108500.0
19/05/2022,110000.0
18/05/2022,113500.0
17/05/2022,108700.0
16/05/2022,101600.0
13/05/2022,109200.0
12/05/2022,117400.0
11/05/2022,126200.0
10/05/2022,123000.0
09/05/2022,132000.0
06/05/2022,141900.0
05/05/2022,152500.0
04/05/2022,157700.0
29/04/2022,156500.0
28/04/2022,149300.0
27/04/2022,146000.0
26/04/2022,145000.0
25/04/2022,143600.0
22/04/2022,154400.0
21/04/2022,166000.0
20/04/2022,168100.0
19/04/2022,169800.0
18/04/2022,161500.0
15/04/2022,164500.0
14/04/2022,165300.0
13/04/2022,155000.0
12/04/2022,145000.0
08/04/2022,147700.0
07/04/2022,152000.0
06/04/2022,156400.0
05/04/2022,153500.0
04/04/2022,153000.0
01/04/2022,152200.0
31/03/2022,150100.0
30/03/2022,156000.0
29/03/2022,156000.0
28/03/2022,154500.0
25/03/2022,155500.0
24/03/2022,150000.0
23/03/2022,149000.0
22/03/2022,143000.0
21/03/2022,147100.0
18/03/2022,144800.0
17/03/2022,145800.0
16/03/2022,136400.0
15/03/2022,127500.0
14/03/2022,124800.0
11/03/2022,128699.99999999999
10/03/2022,128199.99999999999
09/03/2022,119900.0
08/03/2022,120900.0
07/03/2022,130000.0
04/03/2022,130000.0
03/03/2022,127400.0
02/03/2022,127000.0
01/03/2022,124000.0
28/02/2022,122300.0
25/02/2022,125000.0
24/02/2022,124700.0
23/02/2022,116600.0
22/02/2022,116000.0
21/02/2022,108500.0
18/02/2022,102500.0
17/02/2022,95800.0
16/02/2022,94200.0
15/02/2022,98200.0
14/02/2022,98100.0
11/02/2022,99000.0
10/02/2022,97000.0
09/02/2022,95800.0
08/02/2022,94000.0
07/02/2022,93800.0
28/01/2022,87700.0
27/01/2022,83000.0
26/01/2022,80600.0
25/01/2022,80600.0
24/01/2022,79700.0
21/01/2022,83000.0
20/01/2022,83000.0
19/01/2022,82600.0
18/01/2022,78000.0
17/01/2022,81900.0
14/01/2022,88000.0
13/01/2022,83000.0
12/01/2022,80600.0
11/01/2022,79800.0
10/01/2022,85800.0
07/01/2022,88800.0
06/01/2022,87500.0
05/01/2022,94000.0
04/01/2022,95000.0
31/12/2021,100200.0
30/12/2021,104500.0
29/12/2021,104000.0
28/12/2021,101000.0
27/12/2021,98000.0
24/12/2021,94100.0
23/12/2021,88000.0
22/12/2021,87500.0
