Date,Closing price
31/05/2022,15900.0
30/05/2022,16350.000000000002
27/05/2022,16450.0
26/05/2022,16450.0
25/05/2022,15400.0
24/05/2022,14400.0
23/05/2022,14400.0
20/05/2022,14400.0
19/05/2022,14200.0
18/05/2022,14400.0
17/05/2022,13950.0
16/05/2022,13050.0
13/05/2022,14000.0
12/05/2022,15050.0
11/05/2022,16149.999999999998
10/05/2022,16000.0
09/05/2022,15800.0
06/05/2022,16950.0
05/05/2022,18200.0
04/05/2022,18650.0
29/04/2022,18950.0
28/04/2022,18400.0
27/04/2022,18550.0
26/04/2022,18300.0
25/04/2022,17950.0
22/04/2022,19250.0
21/04/2022,18700.0
20/04/2022,20100.0
19/04/2022,21600.0
18/04/2022,23200.0
15/04/2022,24900.0
14/04/2022,25750.0
13/04/2022,26150.0
12/04/2022,25600.0
08/04/2022,26650.0
07/04/2022,26250.0
06/04/2022,27700.0
05/04/2022,28150.0
04/04/2022,28700.0
01/04/2022,29000.0
31/03/2022,27800.0
30/03/2022,28600.0
29/03/2022,30500.0
28/03/2022,29300.0
25/03/2022,30100.0
24/03/2022,28750.0
23/03/2022,26900.0
22/03/2022,26300.0
21/03/2022,26100.0
18/03/2022,25800.0
17/03/2022,26700.0
16/03/2022,26600.0
15/03/2022,24900.0
14/03/2022,24800.0
11/03/2022,25250.0
10/03/2022,25700.0
09/03/2022,25950.0
08/03/2022,26250.0
07/03/2022,26350.0
04/03/2022,26750.0
03/03/2022,27100.0
02/03/2022,26800.0
01/03/2022,27000.0
28/02/2022,26250.0
25/02/2022,26900.0
24/02/2022,26800.0
23/02/2022,28100.0
22/02/2022,28150.0
21/02/2022,28600.0
18/02/2022,28600.0
17/02/2022,28800.0
16/02/2022,28600.0
15/02/2022,28550.0
14/02/2022,28200.0
11/02/2022,29500.0
10/02/2022,29350.0
09/02/2022,34300.0
08/02/2022,33100.0
07/02/2022,32299.999999999996
28/01/2022,31200.0
27/01/2022,31000.0
26/01/2022,31600.0
25/01/2022,30950.0
24/01/2022,30900.0
21/01/2022,32000.0
20/01/2022,31600.0
19/01/2022,32000.0
18/01/2022,32500.0
17/01/2022,33050.0
14/01/2022,33950.0
13/01/2022,33950.0
12/01/2022,34700.0
11/01/2022,34500.0
10/01/2022,35950.0
07/01/2022,37000.0
06/01/2022,37250.0
05/01/2022,37150.0
04/01/2022,37650.0
31/12/2021,37150.0
30/12/2021,37400.0
29/12/2021,38100.0
28/12/2021,38400.0
27/12/2021,37300.0
24/12/2021,36700.0
23/12/2021,37500.0
22/12/2021,37500.0
21/12/2021,36150.0
20/12/2021,33800.0
17/12/2021,34650.0
16/12/2021,35550.0
15/12/2021,36000.0
14/12/2021,35900.0
13/12/2021,36400.0
10/12/2021,36800.0
09/12/2021,37300.0
08/12/2021,36350.0
07/12/2021,35800.0
06/12/2021,34450.0
03/12/2021,37000.0
02/12/2021,38700.0
01/12/2021,38400.0
30/11/2021,39700.0
29/11/2021,40300.0
26/11/2021,40450.0
25/11/2021,40750.0
24/11/2021,40950.0
23/11/2021,40700.0
22/11/2021,40600.0
19/11/2021,42100.0
18/11/2021,43650.0
17/11/2021,43850.0
16/11/2021,43300.0
15/11/2021,44700.0
12/11/2021,45400.0
11/11/2021,44950.0
10/11/2021,43500.0
09/11/2021,42000.0
08/11/2021,42300.0
05/11/2021,42200.0
04/11/2021,41400.0
03/11/2021,42000.0
