Date,Closing price
31/05/2022,73100.0
30/05/2022,73000.0
27/05/2022,73500.0
26/05/2022,74400.0
25/05/2022,74600.0
24/05/2022,74000.0
23/05/2022,71100.0
20/05/2022,76000.0
19/05/2022,75800.0
18/05/2022,74900.0
17/05/2022,70000.0
16/05/2022,68200.0
13/05/2022,73300.0
12/05/2022,78800.0
11/05/2022,84700.0
10/05/2022,80100.0
09/05/2022,74900.0
06/05/2022,80500.0
05/05/2022,86000.0
04/05/2022,84000.0
29/04/2022,85900.0
28/04/2022,83000.0
27/04/2022,78200.0
26/04/2022,78300.0
25/04/2022,76500.0
22/04/2022,75500.0
21/04/2022,73000.0
20/04/2022,76500.0
19/04/2022,79900.0
18/04/2022,79800.0
15/04/2022,79000.0
14/04/2022,76800.0
13/04/2022,75800.0
12/04/2022,74000.0
08/04/2022,74000.0
07/04/2022,72600.0
06/04/2022,74500.0
05/04/2022,74300.0
04/04/2022,73800.0
01/04/2022,72500.0
31/03/2022,73400.0
30/03/2022,72000.0
29/03/2022,72000.0
28/03/2022,72500.0
25/03/2022,73900.0
24/03/2022,74600.0
23/03/2022,75700.0
22/03/2022,75800.0
21/03/2022,76900.0
18/03/2022,76000.0
17/03/2022,74000.0
16/03/2022,74000.0
15/03/2022,72500.0
14/03/2022,70700.0
11/03/2022,72400.0
10/03/2022,73400.0
09/03/2022,71500.0
08/03/2022,74800.0
07/03/2022,76600.0
04/03/2022,78900.0
03/03/2022,80000.0
02/03/2022,78500.0
01/03/2022,76900.0
28/02/2022,79000.0
25/02/2022,82100.0
24/02/2022,82900.0
23/02/2022,83200.0
22/02/2022,81700.0
21/02/2022,82400.0
18/02/2022,83700.0
17/02/2022,84500.0
16/02/2022,81800.0
15/02/2022,82000.0
14/02/2022,78900.0
11/02/2022,79100.0
10/02/2022,80800.0
09/02/2022,80800.0
08/02/2022,81000.0
07/02/2022,79700.0
28/01/2022,79200.0
27/01/2022,77400.0
26/01/2022,77200.0
25/01/2022,77000.0
24/01/2022,72000.0
21/01/2022,75300.0
20/01/2022,75800.0
19/01/2022,72700.0
18/01/2022,68000.0
17/01/2022,70700.0
14/01/2022,76000.0
13/01/2022,77900.0
12/01/2022,79900.0
11/01/2022,75200.0
10/01/2022,70300.0
07/01/2022,75500.0
06/01/2022,70600.0
05/01/2022,66000.0
04/01/2022,65800.0
31/12/2021,64000.0
30/12/2021,64000.0
29/12/2021,64000.0
28/12/2021,65900.0
27/12/2021,65000.0
24/12/2021,65500.0
23/12/2021,67400.0
22/12/2021,68300.0
21/12/2021,67900.0
20/12/2021,68000.0
17/12/2021,67900.0
16/12/2021,67300.0
15/12/2021,63000.0
14/12/2021,58900.0
13/12/2021,55500.0
10/12/2021,53800.0
09/12/2021,53600.0
08/12/2021,50100.0
07/12/2021,49900.0
06/12/2021,49000.0
03/12/2021,49300.0
02/12/2021,53000.0
01/12/2021,54600.0
30/11/2021,53700.0
29/11/2021,53100.0
26/11/2021,54000.0
25/11/2021,54700.0
24/11/2021,54100.0
23/11/2021,55000.0
22/11/2021,53900.0
19/11/2021,57000.0
18/11/2021,59200.0
17/11/2021,59000.0
16/11/2021,56400.0
15/11/2021,55200.0
12/11/2021,54700.0
11/11/2021,54100.0
10/11/2021,54200.0
09/11/2021,56000.0
08/11/2021,56000.0
05/11/2021,54000.0
04/11/2021,52900.0
03/11/2021,53000.0
02/11/2021,53700.0
01/11/2021,52100.0
29/10/2021,53000.0
28/10/2021,53300.0
27/10/2021,50000.0
26/10/2021,47500.0
25/10/2021,47700.0
22/10/2021,46150.0
21/10/2021,45000.0
20/10/2021,44800.0
19/10/2021,44550.0
18/10/2021,44600.0
15/10/2021,45250.0
14/10/2021,45900.0
13/10/2021,46500.0
12/10/2021,44700.0
11/10/2021,44550.0
08/10/2021,44950.0
07/10/2021,45000.0
06/10/2021,44400.0
05/10/2021,44400.0
04/10/2021,44500.0
01/10/2021,44000.0
30/09/2021,44600.0
29/09/2021,44400.0
28/09/2021,44200.0
27/09/2021,45000.0
24/09/2021,45500.0
23/09/2021,45500.0
22/09/2021,45400.0
21/09/2021,45200.0
20/09/2021,46700.0
17/09/2021,47750.0
16/09/2021,48000.0
15/09/2021,48000.0
14/09/2021,48500.0
13/09/2021,48500.0
10/09/2021,48350.0
09/09/2021,48600.0
08/09/2021,48700.0
07/09/2021,48000.0
06/09/2021,48500.0
01/09/2021,48000.0
31/08/2021,46900.0
30/08/2021,44500.0
27/08/2021,43800.0
26/08/2021,44400.0
25/08/2021,44500.0
24/08/2021,44500.0
23/08/2021,44950.0
20/08/2021,45500.0
19/08/2021,45500.0
18/08/2021,45000.0
17/08/2021,44500.0
16/08/2021,44500.0
13/08/2021,44100.0
12/08/2021,45000.0
11/08/2021,44500.0
10/08/2021,45850.0
09/08/2021,46800.0
06/08/2021,44700.0
05/08/2021,41800.0
04/08/2021,41700.0
03/08/2021,41800.0
02/08/2021,41800.0
30/07/2021,41800.0
29/07/2021,41500.0
28/07/2021,40550.0
27/07/2021,41200.0
26/07/2021,41000.0
23/07/2021,41650.0
22/07/2021,41500.0
21/07/2021,39200.0
20/07/2021,40100.0
19/07/2021,40700.0
16/07/2021,43100.0
15/07/2021,45250.0
14/07/2021,48650.0
13/07/2021,52300.0
12/07/2021,50500.0
09/07/2021,53500.0
08/07/2021,53700.0
07/07/2021,53700.0
06/07/2021,53900.0
05/07/2021,54000.0
02/07/2021,54000.0
01/07/2021,54200.0
30/06/2021,54400.0
29/06/2021,54400.0
28/06/2021,54400.0
25/06/2021,54600.0
24/06/2021,54600.0
23/06/2021,54600.0
22/06/2021,54800.0
21/06/2021,54500.0
18/06/2021,55000.0
17/06/2021,55000.0
16/06/2021,54900.0
15/06/2021,55000.0
14/06/2021,53000.0
11/06/2021,52000.0
10/06/2021,50200.0
09/06/2021,50200.0
08/06/2021,51100.0
07/06/2021,51200.0
04/06/2021,52000.0
03/06/2021,52000.0
02/06/2021,52000.0
01/06/2021,52600.0
31/05/2021,53000.0
28/05/2021,54000.0
27/05/2021,53500.0
26/05/2021,55400.0
25/05/2021,55400.0
24/05/2021,55400.0
21/05/2021,52700.0
20/05/2021,53500.0
19/05/2021,53900.0
18/05/2021,54000.0
17/05/2021,54000.0
14/05/2021,54400.0
13/05/2021,54500.0
12/05/2021,54700.0
11/05/2021,54700.0
10/05/2021,55000.0
07/05/2021,55800.0
06/05/2021,56200.0
05/05/2021,56200.0
04/05/2021,56000.0
29/04/2021,56000.0
28/04/2021,56000.0
27/04/2021,56000.0
26/04/2021,56000.0
23/04/2021,56000.0
22/04/2021,56000.0
20/04/2021,56900.0
19/04/2021,56900.0
16/04/2021,56100.0
15/04/2021,52500.0
14/04/2021,56300.0
13/04/2021,56300.0
12/04/2021,56300.0
09/04/2021,57100.0
08/04/2021,57400.0
07/04/2021,57000.0
06/04/2021,57500.0
05/04/2021,57400.0
02/04/2021,57400.0
01/04/2021,57400.0
31/03/2021,57500.0
30/03/2021,57800.0
29/03/2021,57500.0
26/03/2021,57000.0
25/03/2021,55800.0
24/03/2021,55000.0
23/03/2021,57400.0
22/03/2021,57800.0
19/03/2021,57900.0
18/03/2021,57900.0
17/03/2021,57500.0
16/03/2021,57300.0
15/03/2021,58300.0
12/03/2021,57700.0
11/03/2021,59000.0
10/03/2021,58900.0
09/03/2021,57900.0
08/03/2021,58000.0
05/03/2021,58200.0
04/03/2021,58500.0
03/03/2021,61000.0
02/03/2021,57900.0
01/03/2021,57500.0
26/02/2021,57500.0
25/02/2021,58500.0
24/02/2021,59000.0
23/02/2021,61000.0
22/02/2021,61000.0
19/02/2021,60700.0
18/02/2021,59800.0
17/02/2021,58500.0
09/02/2021,57000.0
08/02/2021,55900.0
05/02/2021,58700.0
04/02/2021,56000.0
03/02/2021,56500.0
02/02/2021,55000.0
01/02/2021,54000.0
29/01/2021,56000.0
28/01/2021,54000.0
27/01/2021,58000.0
26/01/2021,57900.0
25/01/2021,58000.0
22/01/2021,56700.0
21/01/2021,53000.0
20/01/2021,51800.0
19/01/2021,51900.0
18/01/2021,53600.0
15/01/2021,51700.0
14/01/2021,52000.0
13/01/2021,51100.0
12/01/2021,52100.0
11/01/2021,50300.0
08/01/2021,47050.0
07/01/2021,44000.0
06/01/2021,44600.0
05/01/2021,42700.0
04/01/2021,43000.0
31/12/2020,41200.0
30/12/2020,41200.0
29/12/2020,41600.0
28/12/2020,41850.0
25/12/2020,42400.0
24/12/2020,42500.0
23/12/2020,42800.0
22/12/2020,40900.0
21/12/2020,40900.0
18/12/2020,40900.0
17/12/2020,41000.0
16/12/2020,41200.0
15/12/2020,41150.0
14/12/2020,40500.0
11/12/2020,40200.0
10/12/2020,40900.0
09/12/2020,39850.0
08/12/2020,40000.0
07/12/2020,40900.0
04/12/2020,41300.0
03/12/2020,41600.0
02/12/2020,40300.0
01/12/2020,42050.0
30/11/2020,43850.0
27/11/2020,42900.0
26/11/2020,40100.0
25/11/2020,37500.0
24/11/2020,37900.0
23/11/2020,38000.0
20/11/2020,38200.0
19/11/2020,38200.0
18/11/2020,38300.0
17/11/2020,38500.0
16/11/2020,38600.0
13/11/2020,39000.0
12/11/2020,39200.0
11/11/2020,39200.0
10/11/2020,39500.0
09/11/2020,39600.0
06/11/2020,39400.0
05/11/2020,39300.0
04/11/2020,39450.0
03/11/2020,39400.0
02/11/2020,39900.0
30/10/2020,39500.0
29/10/2020,39500.0
28/10/2020,39850.0
27/10/2020,39700.0
26/10/2020,39800.0
23/10/2020,39900.0
22/10/2020,39900.0
21/10/2020,39900.0
20/10/2020,39900.0
19/10/2020,39900.0
16/10/2020,39900.0
15/10/2020,40000.0
14/10/2020,40000.0
13/10/2020,40000.0
12/10/2020,40100.0
09/10/2020,39900.0
08/10/2020,40250.0
07/10/2020,40300.0
06/10/2020,40300.0
05/10/2020,40400.0
02/10/2020,40400.0
01/10/2020,40500.0
30/09/2020,40500.0
29/09/2020,40600.0
28/09/2020,40800.0
25/09/2020,40800.0
24/09/2020,41500.0
23/09/2020,41500.0
22/09/2020,41650.0
21/09/2020,41500.0
18/09/2020,41700.0
17/09/2020,41800.0
16/09/2020,42100.0
15/09/2020,43150.0
14/09/2020,41800.0
11/09/2020,43300.0
10/09/2020,45000.0
09/09/2020,48000.0
08/09/2020,47000.0
07/09/2020,43950.0
04/09/2020,41100.0
03/09/2020,38450.0
01/09/2020,35950.0
31/08/2020,33600.0
19/08/2020,30100.0
18/08/2020,30300.0
17/08/2020,30300.0
14/08/2020,29200.0
13/08/2020,29800.0
12/08/2020,30200.0
11/08/2020,30200.0
10/08/2020,30500.0
07/08/2020,29000.0
06/08/2020,28900.0
05/08/2020,29300.0
04/08/2020,29000.0
03/08/2020,26300.0
31/07/2020,26100.0
30/07/2020,26100.0
29/07/2020,26000.0
28/07/2020,26200.0
27/07/2020,26100.0
24/07/2020,26600.0
23/07/2020,26600.0
22/07/2020,26600.0
21/07/2020,26600.0
20/07/2020,26600.0
17/07/2020,26500.0
16/07/2020,26500.0
15/07/2020,26500.0
14/07/2020,26700.0
13/07/2020,26800.0
10/07/2020,26900.0
09/07/2020,26900.0
08/07/2020,26800.0
07/07/2020,26800.0
06/07/2020,26800.0
03/07/2020,26700.0
02/07/2020,26700.0
01/07/2020,26600.0
30/06/2020,26600.0
29/06/2020,26300.0
26/06/2020,26800.0
25/06/2020,26900.0
24/06/2020,26900.0
23/06/2020,26900.0
22/06/2020,26700.0
19/06/2020,26500.0
18/06/2020,26500.0
17/06/2020,25700.0
16/06/2020,26900.0
15/06/2020,25000.0
12/06/2020,26600.0
11/06/2020,26800.0
10/06/2020,26600.0
09/06/2020,26600.0
08/06/2020,26500.0
05/06/2020,26200.0
04/06/2020,26200.0
03/06/2020,26300.0
02/06/2020,25700.0
01/06/2020,26900.0
29/05/2020,26500.0
28/05/2020,26500.0
27/05/2020,26700.0
26/05/2020,27000.0
25/05/2020,25500.0
22/05/2020,23500.0
21/05/2020,23600.0
20/05/2020,23500.0
19/05/2020,23500.0
18/05/2020,22900.0
15/05/2020,23400.0
14/05/2020,23400.0
13/05/2020,23900.0
12/05/2020,23700.0
11/05/2020,24400.0
08/05/2020,23700.0
07/05/2020,22800.0
06/05/2020,22800.0
05/05/2020,22600.0
04/05/2020,23500.0
29/04/2020,23900.0
28/04/2020,23600.0
27/04/2020,23400.0
24/04/2020,21800.0
23/04/2020,21000.0
22/04/2020,21300.0
21/04/2020,20500.0
20/04/2020,23000.0
17/04/2020,24000.0
16/04/2020,21500.0
15/04/2020,19100.0
14/04/2020,18400.0
13/04/2020,19000.0
10/04/2020,18800.0
09/04/2020,19000.0
08/04/2020,19000.0
07/04/2020,19000.0
06/04/2020,19000.0
03/04/2020,18000.0
01/04/2020,17000.0
31/03/2020,16600.0
30/03/2020,17000.0
27/03/2020,17900.0
26/03/2020,18000.0
25/03/2020,17900.0
24/03/2020,16100.000000000002
23/03/2020,17000.0
20/03/2020,18600.0
19/03/2020,20000.0
18/03/2020,21200.0
17/03/2020,21300.0
16/03/2020,20000.0
13/03/2020,19900.0
12/03/2020,21300.0
11/03/2020,22500.0
10/03/2020,24900.0
09/03/2020,23300.0
06/03/2020,25000.0
05/03/2020,25000.0
04/03/2020,24600.0
03/03/2020,25000.0
02/03/2020,25600.0
28/02/2020,25000.0
27/02/2020,24600.0
26/02/2020,24400.0
25/02/2020,24400.0
24/02/2020,25000.0
21/02/2020,26500.0
20/02/2020,26600.0
19/02/2020,27100.0
18/02/2020,25700.0
