Date,Closing price
31/05/2022,28450.0
30/05/2022,28600.0
27/05/2022,28250.0
26/05/2022,28700.0
25/05/2022,29000.0
24/05/2022,27250.0
23/05/2022,25500.0
20/05/2022,26500.0
19/05/2022,24800.0
18/05/2022,23200.0
17/05/2022,23000.0
16/05/2022,21500.0
13/05/2022,22600.0
12/05/2022,24250.0
11/05/2022,26050.0
10/05/2022,25900.0
09/05/2022,25250.0
06/05/2022,27100.0
05/05/2022,29000.0
04/05/2022,29100.0
29/04/2022,30800.0
28/04/2022,29200.0
27/04/2022,29400.0
26/04/2022,29800.0
25/04/2022,29800.0
22/04/2022,31900.0
21/04/2022,32100.0
20/04/2022,31000.0
19/04/2022,32500.0
18/04/2022,31900.0
15/04/2022,34300.0
14/04/2022,34650.0
13/04/2022,34800.0
12/04/2022,34000.0
08/04/2022,36500.0
07/04/2022,37650.0
06/04/2022,38400.0
05/04/2022,38800.0
04/04/2022,39450.0
01/04/2022,38000.0
31/03/2022,37400.0
30/03/2022,38100.0
29/03/2022,39350.0
28/03/2022,39000.0
25/03/2022,40600.0
24/03/2022,40000.0
23/03/2022,40550.0
22/03/2022,40800.0
21/03/2022,40600.0
18/03/2022,40550.0
17/03/2022,40550.0
16/03/2022,40500.0
15/03/2022,40600.0
14/03/2022,40700.0
11/03/2022,42300.0
10/03/2022,41250.0
09/03/2022,40000.0
08/03/2022,40200.0
07/03/2022,42700.0
04/03/2022,44000.0
03/03/2022,43900.0
02/03/2022,43400.0
01/03/2022,44900.0
28/02/2022,43050.0
25/02/2022,42850.0
24/02/2022,41800.0
23/02/2022,42250.0
22/02/2022,42150.0
21/02/2022,43800.0
18/02/2022,43200.0
17/02/2022,41000.0
16/02/2022,40700.0
15/02/2022,40500.0
14/02/2022,40100.0
11/02/2022,41900.0
10/02/2022,41500.0
09/02/2022,40350.0
08/02/2022,40800.0
07/02/2022,39500.0
28/01/2022,39000.0
27/01/2022,36450.0
26/01/2022,34100.0
25/01/2022,34700.0
24/01/2022,34500.0
21/01/2022,36900.0
20/01/2022,36300.0
19/01/2022,35300.0
18/01/2022,34550.0
17/01/2022,37100.0
14/01/2022,39850.0
13/01/2022,38300.0
12/01/2022,39900.0
11/01/2022,38700.0
10/01/2022,39700.0
07/01/2022,41750.0
06/01/2022,41100.0
05/01/2022,42650.0
04/01/2022,42500.0
31/12/2021,42400.0
30/12/2021,42300.0
29/12/2021,39550.0
28/12/2021,38000.0
27/12/2021,38800.0
24/12/2021,38400.0
23/12/2021,38200.0
22/12/2021,40550.0
21/12/2021,42400.0
20/12/2021,43200.0
17/12/2021,42500.0
16/12/2021,40900.0
15/12/2021,41200.0
14/12/2021,42000.0
13/12/2021,42050.0
10/12/2021,42000.0
09/12/2021,43000.0
08/12/2021,42100.0
07/12/2021,41650.0
06/12/2021,41150.0
03/12/2021,44200.0
02/12/2021,47500.0
01/12/2021,48300.0
30/11/2021,49500.0
29/11/2021,49950.0
26/11/2021,48700.0
25/11/2021,49750.0
24/11/2021,46500.0
23/11/2021,48400.0
22/11/2021,48500.0
19/11/2021,52100.0
18/11/2021,52100.0
17/11/2021,48750.0
16/11/2021,46900.0
15/11/2021,47900.0
12/11/2021,45400.0
11/11/2021,44900.0
10/11/2021,42800.0
09/11/2021,42100.0
08/11/2021,42100.0
05/11/2021,41800.0
04/11/2021,41500.0
03/11/2021,38800.0
02/11/2021,38500.0
01/11/2021,36000.0
29/10/2021,34900.0
28/10/2021,34700.0
27/10/2021,33450.0
26/10/2021,31950.0
25/10/2021,31400.0
22/10/2021,32000.0
21/10/2021,31600.0
20/10/2021,31700.0
19/10/2021,32600.0
18/10/2021,32600.0
15/10/2021,31400.0
14/10/2021,31200.0
13/10/2021,30700.0
12/10/2021,31400.0
11/10/2021,31800.0
08/10/2021,30500.0
07/10/2021,30700.0
06/10/2021,29000.0
05/10/2021,28550.0
04/10/2021,26700.0
01/10/2021,26300.0
30/09/2021,26800.0
29/09/2021,26900.0
28/09/2021,26900.0
27/09/2021,26400.0
24/09/2021,27550.0
23/09/2021,27800.0
22/09/2021,27950.0
21/09/2021,27450.0
20/09/2021,27500.0
17/09/2021,28100.0
16/09/2021,27200.0
15/09/2021,27300.0
14/09/2021,26200.0
13/09/2021,27200.0
10/09/2021,28100.0
09/09/2021,28500.0
08/09/2021,28100.0
07/09/2021,28550.0
06/09/2021,28400.0
27/08/2021,27800.0
26/08/2021,26700.0
25/08/2021,27900.0
24/08/2021,27500.0
23/08/2021,29300.0
20/08/2021,27300.0
19/08/2021,28400.0
18/08/2021,27700.0
17/08/2021,27100.0
16/08/2021,27500.0
13/08/2021,25000.0
12/08/2021,24000.0
11/08/2021,23000.0
10/08/2021,23800.0
09/08/2021,23700.0
06/08/2021,22300.0
05/08/2021,22700.0
04/08/2021,22500.0
03/08/2021,22100.0
02/08/2021,21500.0
30/07/2021,21800.0
29/07/2021,21500.0
28/07/2021,20800.0
27/07/2021,21000.0
26/07/2021,20400.0
23/07/2021,20400.0
22/07/2021,20600.0
21/07/2021,20400.0
20/07/2021,21000.0
19/07/2021,19800.0
16/07/2021,21200.0
15/07/2021,21500.0
14/07/2021,20600.0
13/07/2021,20800.0
12/07/2021,19400.0
09/07/2021,21500.0
08/07/2021,23400.0
07/07/2021,23700.0
06/07/2021,23000.0
05/07/2021,25500.0
02/07/2021,25800.0
01/07/2021,24700.0
30/06/2021,22500.0
29/06/2021,22800.0
28/06/2021,22800.0
25/06/2021,22700.0
24/06/2021,21500.0
23/06/2021,21400.0
22/06/2021,21300.0
21/06/2021,21000.0
18/06/2021,22000.0
17/06/2021,22100.0
16/06/2021,21800.0
15/06/2021,21900.0
14/06/2021,21600.0
11/06/2021,20400.0
10/06/2021,19700.0
09/06/2021,20000.0
08/06/2021,18200.0
07/06/2021,20200.0
04/06/2021,22300.0
03/06/2021,23500.0
02/06/2021,21600.0
01/06/2021,21400.0
31/05/2021,20000.0
28/05/2021,18200.0
27/05/2021,16600.0
26/05/2021,17200.0
25/05/2021,17300.0
24/05/2021,16700.0
21/05/2021,16600.0
20/05/2021,16300.0
19/05/2021,14900.0
18/05/2021,15100.0
17/05/2021,15300.0
14/05/2021,15100.0
13/05/2021,15200.0
12/05/2021,15100.0
11/05/2021,15000.0
10/05/2021,15200.0
07/05/2021,14000.0
06/05/2021,14200.0
28/04/2021,13900.0
27/04/2021,13700.0
26/04/2021,13700.0
23/04/2021,14350.0
22/04/2021,14000.0
20/04/2021,14800.0
19/04/2021,15050.0
16/04/2021,14500.0
15/04/2021,15150.0
14/04/2021,15650.0
13/04/2021,15700.0
12/04/2021,15950.0
09/04/2021,15600.0
08/04/2021,15500.0
07/04/2021,15500.0
06/04/2021,15050.0
05/04/2021,15300.0
02/04/2021,15500.0
01/04/2021,15300.0
31/03/2021,14700.0
30/03/2021,14500.0
29/03/2021,14500.0
26/03/2021,14200.0
25/03/2021,14200.0
24/03/2021,14300.0
23/03/2021,14800.0
22/03/2021,15300.0
19/03/2021,15400.0
18/03/2021,15300.0
17/03/2021,15200.0
16/03/2021,15000.0
15/03/2021,15300.0
12/03/2021,15000.0
11/03/2021,15500.0
10/03/2021,14900.0
09/03/2021,15200.0
08/03/2021,15100.0
05/03/2021,14150.0
04/03/2021,13850.0
03/03/2021,14300.0
02/03/2021,14200.0
01/03/2021,14400.0
26/02/2021,13900.0
25/02/2021,13950.0
24/02/2021,13950.0
23/02/2021,14050.0
22/02/2021,13800.0
19/02/2021,13850.0
18/02/2021,13900.0
17/02/2021,14350.0
09/02/2021,13800.0
08/02/2021,13500.0
05/02/2021,13800.0
04/02/2021,12900.0
03/02/2021,12100.0
02/02/2021,11350.0
01/02/2021,11300.0
29/01/2021,12150.0
28/01/2021,12100.0
27/01/2021,13000.0
26/01/2021,13950.0
25/01/2021,15000.0
22/01/2021,15100.0
21/01/2021,15600.0
20/01/2021,15100.0
19/01/2021,15750.0
18/01/2021,16900.0
15/01/2021,17400.0
14/01/2021,16750.0
13/01/2021,15700.0
12/01/2021,15900.0
11/01/2021,15950.0
08/01/2021,16800.0
07/01/2021,16200.0
06/01/2021,15150.0
05/01/2021,14200.0
04/01/2021,13300.0
31/12/2020,12450.0
30/12/2020,12050.0
29/12/2020,12250.0
28/12/2020,12250.0
25/12/2020,12000.0
24/12/2020,11700.0
23/12/2020,12050.0
22/12/2020,12600.0
21/12/2020,12500.0
18/12/2020,11800.0
