Date,Closing price
31/05/2022,81700.0
30/05/2022,81900.0
27/05/2022,82400.0
26/05/2022,81900.0
25/05/2022,82800.0
24/05/2022,78000.0
23/05/2022,77500.0
20/05/2022,78800.0
19/05/2022,76900.0
18/05/2022,75900.0
17/05/2022,74000.0
16/05/2022,69200.0
13/05/2022,69200.0
12/05/2022,74400.0
11/05/2022,80000.0
10/05/2022,80500.0
09/05/2022,77200.0
06/05/2022,83000.0
05/05/2022,88400.0
04/05/2022,95000.0
29/04/2022,99500.0
28/04/2022,98000.0
27/04/2022,98000.0
26/04/2022,94100.0
25/04/2022,101100.0
22/04/2022,108700.0
21/04/2022,116800.0
20/04/2022,119000.0
19/04/2022,120000.0
18/04/2022,117000.0
15/04/2022,117800.0
14/04/2022,116300.0
13/04/2022,109500.0
12/04/2022,104700.0
08/04/2022,107700.0
07/04/2022,109500.0
06/04/2022,111000.0
05/04/2022,111200.0
04/04/2022,109500.0
01/04/2022,110900.0
31/03/2022,109000.0
30/03/2022,107700.0
29/03/2022,108900.0
28/03/2022,102000.0
25/03/2022,103000.0
24/03/2022,96900.0
23/03/2022,97800.0
22/03/2022,96900.0
21/03/2022,97300.0
18/03/2022,97600.0
17/03/2022,97700.0
16/03/2022,97200.0
15/03/2022,94600.0
14/03/2022,92000.0
11/03/2022,92800.0
10/03/2022,91800.0
09/03/2022,86700.0
08/03/2022,85400.0
07/03/2022,86000.0
04/03/2022,87700.0
03/03/2022,87800.0
02/03/2022,85600.0
01/03/2022,86300.0
28/02/2022,87900.0
25/02/2022,89600.0
24/02/2022,89400.0
23/02/2022,91400.0
14/02/2022,87000.0
11/02/2022,88900.0
10/02/2022,90500.0
09/02/2022,90000.0
08/02/2022,87800.0
07/02/2022,85300.0
28/01/2022,84500.0
27/01/2022,82900.0
26/01/2022,83300.0
25/01/2022,83700.0
24/01/2022,83200.0
21/01/2022,84800.0
20/01/2022,84200.0
19/01/2022,82800.0
18/01/2022,82500.0
17/01/2022,83400.0
14/01/2022,83900.0
13/01/2022,84000.0
12/01/2022,85500.0
11/01/2022,86300.0
10/01/2022,86700.0
07/01/2022,88500.0
06/01/2022,89200.0
05/01/2022,87600.0
04/01/2022,87600.0
31/12/2021,87600.0
30/12/2021,87600.0
29/12/2021,87000.0
28/12/2021,84500.0
27/12/2021,83800.0
24/12/2021,82300.0
23/12/2021,81500.0
22/12/2021,82000.0
21/12/2021,82100.0
20/12/2021,82600.0
17/12/2021,83000.0
16/12/2021,82900.0
15/12/2021,83100.0
14/12/2021,84600.0
13/12/2021,85400.0
10/12/2021,84500.0
09/12/2021,81900.0
08/12/2021,81300.0
07/12/2021,81900.0
06/12/2021,80500.0
03/12/2021,81900.0
02/12/2021,82900.0
01/12/2021,82600.0
