Date,Closing price
31/05/2022,223600.0
30/05/2022,215000.0
27/05/2022,214000.0
26/05/2022,224900.0
25/05/2022,228500.0
24/05/2022,223000.0
23/05/2022,214600.0
20/05/2022,213000.0
19/05/2022,215000.0
18/05/2022,203000.0
17/05/2022,192700.0
16/05/2022,180100.0
13/05/2022,183400.0
12/05/2022,197200.0
11/05/2022,212000.0
10/05/2022,212000.0
09/05/2022,214900.0
06/05/2022,231000.0
05/05/2022,236800.0
04/05/2022,239400.0
29/04/2022,240900.0
28/04/2022,228000.0
27/04/2022,227000.0
26/04/2022,223000.0
25/04/2022,221400.0
22/04/2022,238000.0
21/04/2022,247000.0
20/04/2022,243000.0
19/04/2022,254800.0
18/04/2022,245000.0
15/04/2022,248000.0
14/04/2022,247200.0
13/04/2022,231100.0
12/04/2022,216000.0
08/04/2022,216000.0
07/04/2022,223000.0
06/04/2022,216800.0
05/04/2022,215000.0
04/04/2022,221000.0
01/04/2022,228000.0
31/03/2022,228000.0
30/03/2022,232000.0
29/03/2022,228500.0
28/03/2022,234900.0
25/03/2022,225000.0
24/03/2022,222500.0
23/03/2022,227100.0
22/03/2022,213400.0
21/03/2022,199500.0
18/03/2022,189100.0
17/03/2022,185600.0
16/03/2022,189000.0
15/03/2022,178700.0
14/03/2022,180000.0
11/03/2022,188100.0
10/03/2022,187000.0
09/03/2022,189000.0
08/03/2022,182000.0
07/03/2022,189900.0
04/03/2022,177600.0
03/03/2022,177600.0
02/03/2022,166000.0
01/03/2022,163200.0
28/02/2022,163100.0
25/02/2022,161800.0
24/02/2022,161900.0
23/02/2022,157000.0
22/02/2022,153000.0
21/02/2022,151500.0
18/02/2022,151200.0
17/02/2022,147000.0
16/02/2022,143000.0
15/02/2022,141400.0
14/02/2022,141100.0
11/02/2022,146000.0
10/02/2022,143000.0
09/02/2022,147000.0
08/02/2022,147500.0
07/02/2022,143000.0
28/01/2022,138000.0
27/01/2022,134000.0
26/01/2022,138500.0
25/01/2022,144200.0
24/01/2022,140000.0
21/01/2022,148000.0
20/01/2022,147800.0
19/01/2022,138200.0
18/01/2022,129199.99999999999
17/01/2022,134100.0
14/01/2022,144100.0
13/01/2022,146500.0
12/01/2022,149900.0
11/01/2022,143000.0
10/01/2022,145000.0
07/01/2022,153200.0
06/01/2022,155700.0
05/01/2022,156700.0
04/01/2022,159300.0
31/12/2021,159900.0
30/12/2021,158000.0
29/12/2021,159000.0
28/12/2021,161800.0
27/12/2021,161800.0
24/12/2021,159900.0
23/12/2021,159000.0
